Country,L1,L2,L3,Demographic,Date,Value,Source,Source URL
SL,Eastern,,,Average Household Size,2004,5.6,Open Data for Africa,opendataforafrica.org
SL,Eastern,,,"Dependency Ratio, Child",2004,73.5,Open Data for Africa,opendataforafrica.org
SL,Eastern,,,"Dependency Ratio, Old Age",2004,7.8,Open Data for Africa,opendataforafrica.org
SL,Eastern,,,"Dependency Ratio, Total",2004,81.3,Open Data for Africa,opendataforafrica.org
SL,Eastern,,,Number of households,2004,212308,Open Data for Africa,opendataforafrica.org
SL,Eastern,,,Population Total,2004,1181870,Open Data for Africa,opendataforafrica.org
SL,Eastern,,,"Population, 0-14 years - Total %",2004,40.6,Open Data for Africa,opendataforafrica.org
SL,Eastern,,,"Population, 0-4 years - Total %",2004,15.6,Open Data for Africa,opendataforafrica.org
SL,Eastern,,,"Population, 15-64 years - Total %",2004,55.1,Open Data for Africa,opendataforafrica.org
SL,Eastern,,,"Population, 65 years and over - Total %",2004,4.3,Open Data for Africa,opendataforafrica.org
SL,Eastern,,,"Population, Female Total",2004,589215,Open Data for Africa,opendataforafrica.org
SL,Eastern,,,"Population, Male Total",2004,592655,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kailahun,,Average Household Size,2004,5.5,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kailahun,,"Dependency Ratio, Child",2004,80.6,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kailahun,,"Dependency Ratio, Old Age",2004,8.8,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kailahun,,"Dependency Ratio, Total",2004,89.4,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kailahun,,Number of households,2004,64926,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kailahun,,Population Total,2004,357175,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kailahun,,"Population, 0-14 years - Total %",2004,42.6,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kailahun,,"Population, 0-4 years - Total %",2004,15.9,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kailahun,,"Population, 15-64 years - Total %",2004,52.8,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kailahun,,"Population, 65 years and over - Total %",2004,4.7,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kailahun,,"Population, Female Total",2004,184465,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kailahun,,"Population, Male Total",2004,172710,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kenema,Kenema Town,Average Household Size,2004,6.2,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kenema,Kenema Town,Number of households,2004,20383,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kenema,Kenema Town,Population Total,2004,126966,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kenema,Kenema Town,"Population, Female Total",2004,64541,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kenema,Kenema Town,"Population, Male Total",2004,62425,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kenema,,Average Household Size,2004,5.3,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kenema,,"Dependency Ratio, Child",2004,70.4,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kenema,,"Dependency Ratio, Old Age",2004,7.8,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kenema,,"Dependency Ratio, Total",2004,78.2,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kenema,,Number of households,2004,68173,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kenema,,Population Total,2004,363463,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kenema,,"Population, 0-14 years - Total %",2004,39.5,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kenema,,"Population, 0-4 years - Total %",2004,15.5,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kenema,,"Population, 15-64 years - Total %",2004,56.1,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kenema,,"Population, 65 years and over - Total %",2004,4.3,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kenema,,"Population, Female Total",2004,177909,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kenema,,"Population, Male Total",2004,185554,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kono,Koidu Town,Average Household Size,2004,5.5,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kono,Koidu Town,Number of households,2004,14429,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kono,Koidu Town,Population Total,2004,79981,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kono,Koidu Town,"Population, Female Total",2004,37695,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kono,Koidu Town,"Population, Male Total",2004,42286,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kono,,Average Household Size,2004,5.7,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kono,,"Dependency Ratio, Child",2004,70.9,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kono,,"Dependency Ratio, Old Age",2004,6.7,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kono,,"Dependency Ratio, Total",2004,77.6,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kono,,Number of households,2004,44397,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kono,,Population Total,2004,254285,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kono,,"Population, 0-14 years - Total %",2004,39.9,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kono,,"Population, 0-4 years - Total %",2004,15.4,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kono,,"Population, 15-64 years - Total %",2004,56.3,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kono,,"Population, 65 years and over - Total %",2004,3.8,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kono,,"Population, Female Total",2004,124605,Open Data for Africa,opendataforafrica.org
SL,Eastern,Kono,,"Population, Male Total",2004,129680,Open Data for Africa,opendataforafrica.org
SL,Northern,,,Average Household Size,2004,6.7,Open Data for Africa,opendataforafrica.org
SL,Northern,,,"Dependency Ratio, Child",2004,87.9,Open Data for Africa,opendataforafrica.org
SL,Northern,,,"Dependency Ratio, Old Age",2004,9.2,Open Data for Africa,opendataforafrica.org
SL,Northern,,,"Dependency Ratio, Total",2004,97.1,Open Data for Africa,opendataforafrica.org
SL,Northern,,,Number of households,2004,261201,Open Data for Africa,opendataforafrica.org
SL,Northern,,,Population Total,2004,1741926,Open Data for Africa,opendataforafrica.org
SL,Northern,,,"Population, 0-14 years - Total %",2004,44.6,Open Data for Africa,opendataforafrica.org
SL,Northern,,,"Population, 0-4 years - Total %",2004,16.2,Open Data for Africa,opendataforafrica.org
SL,Northern,,,"Population, 15-64 years - Total %",2004,50.7,Open Data for Africa,opendataforafrica.org
SL,Northern,,,"Population, 65 years and over - Total %",2004,4.7,Open Data for Africa,opendataforafrica.org
SL,Northern,,,"Population, Female Total",2004,920570,Open Data for Africa,opendataforafrica.org
SL,Northern,,,"Population, Male Total",2004,821356,Open Data for Africa,opendataforafrica.org
SL,Northern,Bombali,Makeni Town,Average Household Size,2004,6.7,Open Data for Africa,opendataforafrica.org
SL,Northern,Bombali,Makeni Town,Number of households,2004,12260,Open Data for Africa,opendataforafrica.org
SL,Northern,Bombali,Makeni Town,Population Total,2004,81715,Open Data for Africa,opendataforafrica.org
SL,Northern,Bombali,Makeni Town,"Population, Female Total",2004,42347,Open Data for Africa,opendataforafrica.org
SL,Northern,Bombali,Makeni Town,"Population, Male Total",2004,39368,Open Data for Africa,opendataforafrica.org
SL,Northern,Bombali,,Average Household Size,2004,6.5,Open Data for Africa,opendataforafrica.org
SL,Northern,Bombali,,"Dependency Ratio, Child",2004,83.9,Open Data for Africa,opendataforafrica.org
SL,Northern,Bombali,,"Dependency Ratio, Old Age",2004,9.1,Open Data for Africa,opendataforafrica.org
