"Template","Template Description","Section","Section Position","Question","Question Type","Question Notes","Question Position","Question Code","metaD1","metaV1","metaD2","metaV2","metaD3","metaV3"
"24Hour","Rapid onset disaster. First 24 hours, rapid field assessment form (B)","Background Info",1,"Experience coordinating International response without assistance","YesNo",,1,"24H-BI-1",,,,,,
"24Hour",,"Background Info",1,"Capacity to respond quickly","YesNo",,2,"24H-BI-2",,,,,,
"24Hour",,"Background Info",1,"Type of disaster","String",,3,"24H-BI-3","Length",80,,,,
"24Hour",,"Background Info",1,"GPS coordinates","Numeric",,4,"24H-BI-4",,,,,,
"24Hour",,"Background Info",1,"Geographic area","String",,5,"24H-BI-5","Length",80,,,,
"24Hour",,"Background Info",1,"Geographic area approximate number of inhabitants","Numeric",,6,"24H-BI-6","Format","n",,,,
"24Hour",,"Background Info",1,"Community assessed","String",,7,"24H-BI-7","Length",80,,,,
"24Hour",,"Background Info",1,"Community assessed approximate number of inhabitants","Numeric",,8,"24H-BI-8","Format","n",,,,
"24Hour",,"Background Info",1,"Name of assessment team leader","String",,9,"24H-BI-9","Length",80,,,,
"24Hour",,"Background Info",1,"Name of contact person in the community","String",,10,"24H-BI-10","Length",80,,,,
"24Hour",,"Background Info",1,"Contact Person contact Info","String",,11,"24H-BI-11","Length",80,,,,
"24Hour",,"Background Info",1,"Date","Date",,12,"24H-BI-12",,,,,,
"24Hour",,"Background Info",1,"Time","Numeric",,13,"24H-BI-13",,,,,,
"24Hour",,"Human",2,"Persons # Injured","Numeric",,1,"24H-H-1","Format","n",,,,
"24Hour",,"Human",2,"Persons # Dead","Numeric",,2,"24H-H-2","Format","n",,,,
"24Hour",,"Human",2,"Persons # Missing","Numeric",,3,"24H-H-3","Format","n",,,,
"24Hour",,"Human",2,"Currently known families displaced","Numeric",,4,"24H-H-4","Format","n",,,,
"24Hour",,"Human",2,"Currently known families evacuated","Numeric",,5,"24H-H-5","Format","n",,,,
"24Hour",,"Human",2,"Families displaced projected","Numeric",,6,"24H-H-6","Format","n",,,,
"24Hour",,"Human",2,"Families evacuated projected","Numeric",,7,"24H-H-7","Format","n",,,,
"24Hour",,"Infrastructure",4,"Status of roads","Text",,1,"24H-I-1",,,,,,
