"Name","Country","State","District","Lat","Lon","Address","Phone","Email","Comments"
"VN-Test-Warehouse#01","Viet Nam","Hanoi","Hoam Kiem",21.02262,105.85024,"43 Ba Trieu",123456,"warehouse1@example.com","Road Access"
"VN-Test-Warehouse#02","Viet Nam","Hanoi","Cau Giay",21.03804,105.77219,"32B Ho Tung Mau",123457,"warehouse2@example.com","Road Access"
"VN-Test-Warehouse#03","Viet Nam","","Hai Phong",20.85587,106.70002,"Le Hong Phong",123458,"warehouse3@example.com","Road Access"
"VN-Test-Warehouse#04","Viet Nam","","Tay Son",18.46916,105.29595,"",123459,"warehouse4@example.com","Road Access"
"VN-Test-Warehouse#05","Viet Nam","HCMC","District 5",10.72726,106.59031,"34 Tran Dai Nghia",123460,"warehouse10@example.com","Road Access"

"LA-Test-Warehouse#01","Lao People's Democratic Republic","","Ba Nachia",18.325,105.10373,"",234567,"warehouse5@example.com","Road Access"
"LA-Test-Warehouse#02","Lao People's Democratic Republic","Vientiane","",17.97078,102.57067,"34 Souphanouvong Av",234568,"warehouse6@example.com","Road & River Access"
"LA-Test-Warehouse#03","Lao People's Democratic Republic","","Thakhek",17.406,104.82284,"",234569,"warehouse7@example.com","Road & River Access"
"LA-Test-Warehouse#04","Lao People's Democratic Republic","","Nakay",17.71432,105.14876,"",234570,"warehouse11@example.com","Off road and Lake Access only"
"LA-Test-Warehouse#05","Lao People's Democratic Republic","","Prakse",15.12445,105.80259,"",2345671,"warehouse12@example.com","Road Access"
"KH-Test-Warehouse#01","Cambodia","Phnom Phen","",11.521,104.85863,"Veng Sreng Blvd",345678,"warehouse8@example.com","Road and River Access"
"KH-Test-Warehouse#02","Cambodia","","Prek Prasap",12.42044,106.02295,"",345679,"warehouse9@example.com","Road Access"
