"Catalog","Category Code","Category","Item Name","Unit of Measure","Pack","Pack Quantity","Pack2","Pack2 Quantity","Pack3","Pack3 Quantity","Comments"
"Standard","CLOTHING","Appliances, Clothing, and Furniture","Childrens Clothing","ea",,,,,,,"priority"
"Standard","CLOTHING","Appliances, Clothing, and Furniture","Furniture","ea",,,,,,,
"Standard","CLOTHING","Appliances, Clothing, and Furniture","Household appliance","ea",,,,,,,
"Standard","CLOTHING","Appliances, Clothing, and Furniture","Linens","ea",,,,,,,"priority"
"Standard","CLOTHING","Appliances, Clothing, and Furniture","Mens Clothing","ea",,,,,,,"priority"
"Standard","CLOTHING","Appliances, Clothing, and Furniture","Womens Clothing","ea",,,,,,,"priority"
"Standard","MATERIALS","Building Materials","Asphalt","cy",,,,,,,
"Standard","MATERIALS","Building Materials","Blinds","ea",,,,,,,
"Standard","MATERIALS","Building Materials","Cabinet","ea",,,,,,,
"Standard","MATERIALS","Building Materials","Carpeting","sy",,,,,,,
"Standard","MATERIALS","Building Materials","Concrete","cy",,,,,,,
"Standard","MATERIALS","Building Materials","Counter Top","ea",,,,,,,
"Standard","MATERIALS","Building Materials","Door","ea",,,,,,,
"Standard","MATERIALS","Building Materials","Drywall","sf",,,,,,,
"Standard","MATERIALS","Building Materials","Ducting","lf",,,,,,,
"Standard","MATERIALS","Building Materials","Electrical Materials","ea",,,,,,,
"Standard","MATERIALS","Building Materials","Faucet","ea",,,,,,,
"Standard","MATERIALS","Building Materials","Fencing","lf",,,,,,,
"Standard","MATERIALS","Building Materials","Grips & Handles","ea",,,,,,,
"Standard","MATERIALS","Building Materials","HVAC Tools","ea",,,,,,,
"Standard","MATERIALS","Building Materials","Levels","ea",,,,,,,
"Standard","MATERIALS","Building Materials","Loader","ea",,,,,,,
"Standard","MATERIALS","Building Materials","Lumber","ea",,,,,,,
"Standard","MATERIALS","Building Materials","Manholes","ea",,,,,,,
"Standard","MATERIALS","Building Materials","Paint","gal",,,,,,,
"Standard","MATERIALS","Building Materials","PayLoader","ea",,,,,,,
"Standard","MATERIALS","Building Materials","Pipe","lf",,,,,,,
"Standard","MATERIALS","Building Materials","Pipe Accessories","ea",,,,,,,
"Standard","MATERIALS","Building Materials","Pipe Repair Kits","ea",,,,,,,
"Standard","MATERIALS","Building Materials","Polymer/Setting Aid","ea",,,,,,,
"Standard","MATERIALS","Building Materials","Roofing Materials","sq",,,,,,,
"Standard","MATERIALS","Building Materials","Sand","cy",,,,,,,
"Standard","MATERIALS","Building Materials","Sand Bags","ea",,,,,,,
"Standard","MATERIALS","Building Materials","Screens","ea",,,,,,,
"Standard","MATERIALS","Building Materials","Sink","ea",,,,,,,
"Standard","MATERIALS","Building Materials","Steel","lbs",,,,,,,
"Standard","MATERIALS","Building Materials","Sulfur Dioxide","cy",,,,,,,
"Standard","MATERIALS","Building Materials","Tarps","ea",,,,,,,
"Standard","MATERIALS","Building Materials","Tile","sf",,,,,,,
"Standard","MATERIALS","Building Materials","Toilet","ea",,,,,,,
"Standard","MATERIALS","Building Materials","Tub","ea",,,,,,,
"Standard","MATERIALS","Building Materials","Windows","ea",,,,,,,
"Standard","$","Cash","Bank Cards","$",,,,,,,
"Standard","$","Cash","Check","$",,,,,,,
"Standard","$","Cash","Domestic Currency","$",,,,,,,"priority"
"Standard","$","Cash","Foreign currency","$ equivalent",,,,,,,
"Standard","$","Cash","Vouchers","$",,,,,,,
"Standard","EQUIP","Equipment & Tools","Aerator","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Air Compressor","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Air Conditioner/Heater","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Air Cooled Chiller Unit","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Air Curtain Burner","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Air Supply","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Aircraft","ea",,,,,,,
