"Template","Series","Organisation","24H-BI-1","24H-BI-2","STD-DATE","STD-L0","STD-L1","STD-L3","24H-BI-3","24H-BI-4","24H-H-1","24H-H-2","24H-H-3","24H-H-4","24H-H-5","24H-H-6","24H-H-7","24H-I-1","24H-I-10","24H-I-11","24H-I-12","24H-I-13","24H-I-14","24H-I-15","24H-I-2","24H-I-3","24H-I-4","24H-I-5","24H-I-6","24H-I-7","24H-I-8","24H-I-9","24H-L-1","24H-L-2","24H-L-3","24H-L-4","24H-L-5","24H-L-6","24H-L-7","24H-Re-1","24H-Re-2","24H-Re-3","24H-Re-4","24H-Re-5","24H-Ri-1","24H-Ri-2","24H-Ri-3","24H-Ri-4","24H-Ri-5","24H-S-1","24H-S-2","24H-S-3","24H-S-4","24H-S-5","24H-S-6","24H-S-7","24H-S-8","24H-S-9"
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Oro Bay Rural LLG","Nembadi",,,0,"nil",,50,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","No","No","No",,2,,,2,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Oro Bay Rural LLG","Sariri",,,8,1,,,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","No","No","No",,5,,,5,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Oro Bay Rural LLG","Ginei",,,2,"nil",,,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","No","No","No",,4,,,4,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",06/11/05,"Papua New Guinea","Oro Bay Rural LLG","Ungoda",,,23,4,,,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Oro Bay Rural LLG","Gora",,,57,8,,,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Yes",,,,"Rural","No","No","No","No",,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",06/11/05,"Papua New Guinea","Oro Bay Rural LLG","Bareji",,,21,,,800,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Yes",,,,"Rural","No","No","No","No",,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",07/11/05,"Papua New Guinea","Oro Bay Rural LLG","Pongani",,,56,,,2352,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","No","No","No",,55,,,55,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Oro Bay Rural LLG","Songade",,,29,8,,119,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","No","No","No",,16,,,16,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",07/11/05,"Papua New Guinea","Oro Bay Rural LLG","Emo",,,149,9,,,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","No","No","No",,34,,,34,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",08/11/05,"Papua New Guinea","Oro Bay Rural LLG","Bandari",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,2,,,2,,,,,
