"Template","Template Description","Complete Question","Date Question","Time Question","Location Detail","Priority Question","Section","Section Position","Question","Question Type","Question Notes","Question Position","Question Code","Meta Data"
"PHT","PHT","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","PHT-36","Assessment Team",2,"Name of team leader:","String",,1,"PHT-1",
"PHT","PHT","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","PHT-36","Assessment Team",2,"Organization of team leader:","String",,2,"PHT-2",
"PHT","PHT","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","PHT-36","Assessment Team",2,"The assessment team is:","Option",,3,"PHT-3","{'Length': '5', '1': 'Only men', '3': 'Equal men and women', '2': 'Mostly men', '5': 'Only women', '4': 'Mostly women'}"
"PHT","PHT","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","PHT-36","Assessment Team",2,"Team members come from:","Option",,4,"PHT-4","{'Length': '5', '1': 'Government', '3': 'NGO/National Red Cross', '2': 'INGO/International Red Cross', '5': 'UN/Donor', '4': 'CBO (Comty Based Org.)'}"
"PHT","PHT","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","PHT-36","Community and persons interviewed",3,"Province:","String",,5,"PHT-5",
"PHT","PHT","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","PHT-36","Community and persons interviewed",3,"Constituency:","String",,6,"PHT-6",
"PHT","PHT","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","PHT-36","Community and persons interviewed",3,"Ward:","String",,7,"PHT-7",
"PHT","PHT","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","PHT-36","Community and persons interviewed",3,"Cluster village:","String",,8,"PHT-8",
"PHT","PHT","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","PHT-36","Community and persons interviewed",3,"Associated village:","String",,9,"PHT-9",
"PHT","PHT","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","PHT-36","Community and persons interviewed",3,"Village/Settlement:","String",,10,"PHT-10",
"PHT","PHT","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","PHT-36","Community and persons interviewed",3,"Type","Option",,11,"PHT-11","{'1': 'Urban', '3': 'Rural', '2': 'Peri-Urban', 'Length': '3'}"
"PHT","PHT","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","PHT-36","Community and persons interviewed",3,"Longitude:","String",,12,"PHT-12",
"PHT","PHT","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","PHT-36","Community and persons interviewed",3,"Latitude:","String",,13,"PHT-13",
"PHT","PHT","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","PHT-36","Community and persons interviewed",3,"Village Chief: ","Option",,14,"PHT-14","{'1': 'Male', '3': 'N/A', '2': 'Female', 'Length': '3'}"
"PHT","PHT","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","PHT-36","Community and persons interviewed",3,"Rep. for women:","Option",,15,"PHT-15","{'1': 'Male', '3': 'N/A', '2': 'Female', 'Length': '3'}"
"PHT","PHT","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","PHT-36","Community and persons interviewed",3,"Nurse: ","Option",,16,"PHT-16","{'1': 'Male', '3': 'N/A', '2': 'Female', 'Length': '3'}"
"PHT","PHT","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","PHT-36","Community and persons interviewed",3,"Teacher:","Option",,17,"PHT-17","{'1': 'Male', '3': 'N/A', '2': 'Female', 'Length': '3'}"
