"Template","Template Description","Complete Question","Date Question","Time Question","Location Question","Priority Question","Section","Section Position","Question","Question Type","Question Notes","Question Position","Question Code","Meta Data"
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"Type of disaster","String",,1,"72Bd.1",
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"Geographic area","Location",,3,"72B1.1",
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"Geographic area approximate number of inhabitants","Link",,4,"72B1.2","{'Parent': '72B1.1','Type': 'Numeric','Relation': 'groupby','Format': 'n'}"
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"Community assessed","Location",,5,"72B2.1","{'Length': '80', 'Parent':'72B1.1','Hierarchy':'True'}"
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"Community assessed approximate number of inhabitants","Link",,6,"72B2.2","{'Parent': '72B2.1','Type': 'Numeric','Relation': 'groupby','Format': 'n'}"
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"Name of assessment team leader","String",,7,"72B3",
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"Name of contact person in the community","String",,8,"72B4",
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"Contact person contact info","String",,9,"72B4.1",
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"Date","Date",,10,"72B5",
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"Time","Numeric",,11,"72B6",
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"Persons # Injured","Numeric",,12,"72B7.1","{'Format': 'n'}"
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"Persons # Dead","Numeric",,13,"72B7.2","{'Format': 'n'}"
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"Persons # Missing","Numeric",,14,"72B7.3","{'Format': 'n'}"
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"Homes # affected","Numeric",,15,"72B8.1","{'Format': 'n'}"
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"Homes # Minor damage","Numeric","Minor damage: Building can be safely occupied but needs minor repairs.",16,"72B8.2","{'Format': 'n'}"
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"Homes # Moderate damage","Numeric","Moderate damage: Building cannot be safely occupied and requires major repairs.",17,"72B8.3","{'Format': 'n'}"
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"Homes # Destroyed","Numeric","Destroyed: Obviously destroyed and requires rebuilding.",18,"72B8.4","{'Format': 'n'}"
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"Number of Families","Numeric",,19,"72B9.1","{'Format': 'n'}"
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"Currently known families displaced","Numeric",,20,"72B9.2","{'Format': 'n'}"
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"Currently known families evacuated","Numeric",,21,"72B9.3","{'Format': 'n'}"
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"Projected number of families displaced","Numeric","provide percentage if number is not possible within 4 hours",22,"72B9.4","{'Format': 'n'}"
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"Projected number of families evacuated","Numeric","provide percentage if number is not possible within 4 hours",23,"72B9.5","{'Format': 'n'}"
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"How are the means of communication functioning? Land line, mobile phone, VHF, HF, etc.","String",,24,"72B10",
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Relief",2,"What are the climatic factors?","String",,25,"72B11.1",
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Relief",2,"Is the current shelter resistant to rain, wind, sun, cold?","String",,26,"72B11.2",
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Relief",2,"What is the physical status of existing structures?","String",,27,"72B11.3",
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Relief",2,"How many people lack adequate shelter?","Numeric",,28,"72B11.4","{'Format': 'n'}"
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Relief",2,"What is the customary provision of clothing, blankets and bedding for women, men, children and infants, pregnant and lactating women, and older people?","String",,29,"72B11.5",
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Relief",2,"What is the immediate risk to life?","String",,30,"72B11.6",
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Relief",2,"How many are at risk?","Numeric",,31,"72B11.7","{'Format': 'n'}"
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Relief",2,"Which social groups are most at risk and why?","String",,32,"72B11.8",
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Relief",2,"What did a typical household used to have?","String",,33,"72B11.9",
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Food and Nutrition",3,"Is there enough food for the potential number of people potentially affected?","YesNo",,34,"72B12.1",
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Food and Nutrition",3,"Explain","String",,35,"72B12.1.1",
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Food and Nutrition",3,"Is food available in the disaster area? ","YesNo",,36,"72B12.2",
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Food and Nutrition",3,"What kind? ","String",,37,"72B12.2.1",
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Food and Nutrition",3,"Is this food accessible to all the affected people, or do only a few have access?","String",,38,"72B12.4",
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Food and Nutrition",3,"Do people have access to cooking facilities? ","YesNo",,39,"72B12.5",
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Food and Nutrition",3,"Utensils:","Option",,40,"72B12.5.1","{'Length': '3', '1': 'None', '2': 'Few', '3': 'Many'}"
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Food and Nutrition",3,"Fuel","Option",,41,"72B12.5.2","{'Length': '3', '1': 'None', '2': 'Few', '3': 'Many'}"
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Food and Nutrition",3,"Pots","Option",,42,"72B12.5.3","{'Length': '3', '1': 'None', '2': 'Few', '3': 'Many'}"
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Food and Nutrition",3,"Other","String",,43,"72B12.5.4",
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Food and Nutrition",3,"Do people have access to a safe place to prepare food and eat it?","YesNo",,44,"72B12.6",
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Food and Nutrition",3,"Describe","Text",,45,"72B12.6.1",
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Food and Nutrition",3,"What are people’s dietary habits (main food products they normally consume)?","String",,46,"72B12.7",
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Food and Nutrition",3,"Are there specific groups that face difficulties in obtaining food in this site?","String",,47,"72B12.8",
