"Template","Template Description","Complete Question","Date Question","Time Question","Location Question","Priority Question","Section","Section Position","Question","Question Type","Question Notes","Question Position","Question Code","Meta Data"
"PMI","Emergency assessment form PMI","PMI-Dem-18","PMI-Ass-1",,"PMI-Gen-6","PMI-Health-2","Assessment data",1,"Date","Date",,1,"PMI-Ass-1",
"PMI","Emergency assessment form PMI","PMI-Dem-18","PMI-Ass-1",,"PMI-Gen-6","PMI-Health-2","Assessment data",1,"Name","String",,2,"PMI-Ass-2",
"PMI","Emergency assessment form PMI","PMI-Dem-18","PMI-Ass-1",,"PMI-Gen-6","PMI-Health-2","Assessment data",1,"Type of assessment","OptionOther",,3,"PMI-Ass-3","{'Length':'2','1':'Early','2':'Continue'}"
"PMI","Emergency assessment form PMI","PMI-Dem-18","PMI-Ass-1",,"PMI-Gen-6","PMI-Health-2","Assessment data",1,"Location","Option",,4,"PMI-Ass-4","{'Length':'5','1':'Where the disaster happened','2':'IDPs camp','3':'Relocation camp','4':'Return to origin place','5':'Local community - in situ'}"
"PMI","Emergency assessment form PMI","PMI-Dem-18","PMI-Ass-1",,"PMI-Gen-6","PMI-Health-2","General",2,"Name of Location","Location",,10,"PMI-Gen-6","{'Length': '80', 'Hierarchy':'True'}"
"PMI","Emergency assessment form PMI","PMI-Dem-18","PMI-Ass-1",,"PMI-Gen-6","PMI-Health-2","General",2,"Type of disaster event","OptionOther",,11,"PMI-Gen-7","{'Length':'3','1':'Natural Disaster','2':'Conflict','3':'Accident'}"
"PMI","Emergency assessment form PMI","PMI-Dem-18","PMI-Ass-1",,"PMI-Gen-6","PMI-Health-2","General",2,"Cause of the catastrophic event","String",,12,"PMI-Gen-8",
"PMI","Emergency assessment form PMI","PMI-Dem-18","PMI-Ass-1",,"PMI-Gen-6","PMI-Health-2","General",2,"When it happened","String",,13,"PMI-Gen-9",
"PMI","Emergency assessment form PMI","PMI-Dem-18","PMI-Ass-1",,"PMI-Gen-6","PMI-Health-2","Demographic data",3,"No of Households","Numeric",,14,"PMI-Dem-1",
"PMI","Emergency assessment form PMI","PMI-Dem-18","PMI-Ass-1",,"PMI-Gen-6","PMI-Health-2","Demographic data",3,"No of Individuals","Numeric",,15,"PMI-Dem-2",
"PMI","Emergency assessment form PMI","PMI-Dem-18","PMI-Ass-1",,"PMI-Gen-6","PMI-Health-2","Demographic data",3,"Population","Grid",,16,"PMI-Dem-","{'Subtitle':'Population','QuestionNo':'3','col-cnt':'2','row-cnt':'6','columns': ['Male','Female'],'rows': ['No of Babies 0-5 years old','No of Children 6-12 years old','No of Age  12-20 years old','No of Age 21-60 years old','No of Elderly >60 years old','No of Disabled people'],'data': [['Numeric','Numeric'], ['Numeric','Numeric'], ['Numeric','Numeric'], ['Numeric','Numeric'], ['Numeric','Numeric'], ['Numeric','Numeric']]}"
"PMI","Emergency assessment form PMI","PMI-Dem-18","PMI-Ass-1",,"PMI-Gen-6","PMI-Health-2","Demographic data",3,"No of Pregnant Women","Numeric",,29,"PMI-Dem-15",
"PMI","Emergency assessment form PMI","PMI-Dem-18","PMI-Ass-1",,"PMI-Gen-6","PMI-Health-2","Demographic data",3,"No of Lactating Mothers","Numeric",,30,"PMI-Dem-16",
