"uid","role"," description","controller","function","table","uacl","oacl",,"org","facility","hidden","system","protected"
"SURVEY_READ","Survey Reader",,"survey","index",,"READ",,,,,,,
"SURVEY_READ","Survey Reader",,"survey","series",,"READ",,,,,,,
"SURVEY_READ","Survey Reader",,"survey","series_export_formatted",,"READ",,,,,,,
"SURVEY_READ","Survey Reader",,,,"survey_translate","READ",,,,,,,
"SURVEY_EDIT","Survey Editor",,"survey","index",,"READ",,,,,,,
"SURVEY_EDIT","Survey Editor",,"survey","complete",,"CREATE","CREATE|UPDATE",,,,,,
"SURVEY_EDIT","Survey Editor",,"survey","newAssessment",,"READ|CREATE|UPDATE",,,,,,,
"SURVEY_EDIT","Survey Editor",,"survey","series",,"READ|CREATE|UPDATE",,,,,,,
"SURVEY_EDIT","Survey Editor",,"survey","series_export_formatted",,"READ",,,,,,,
"SURVEY_EDIT","Survey Editor",,,,"survey_answer","READ","READ|CREATE|UPDATE",,,,,,
"SURVEY_EDIT","Survey Editor",,,,"survey_complete","READ","READ|CREATE|UPDATE",,,,,,
"SURVEY_EDIT","Survey Editor",,,,"survey_question","READ|CREATE|UPDATE","READ|CREATE|UPDATE",,,,,,
"SURVEY_EDIT","Survey Editor",,,,"survey_series","READ","READ",,,,,,
"SURVEY_EDIT","Survey Editor",,,,"survey_translate","READ","READ",,,,,,
"SURVEY_ADMIN","Survey Admin",,"survey","index",,"READ","READ",,,,,,
"SURVEY_ADMIN","Survey Admin",,"survey",,,"READ|CREATE|UPDATE|DELETE","READ|CREATE|UPDATE|DELETE",,,,,,
