"Name","Country","L1","L2","L3","Address","To Geocode","Lat","Lon","Capacity","Population","Status"
"Annex Recreation Building","US","Georgia","Cherokee County","Woodstock","7545 Main Street","7545 Main Street, Woodstock, GA",34.113634,-84.51343,80,40,"Open"
"Arnold Mill School","US","Georgia","Cherokee County","Woodstock","710 Arnold Mill Road","710 Arnold Mill Road, Woodstock, GA",34.110098,-84.437878,127,20,"Open"
"Ball Ground Community Center","US","Georgia","Cherokee County","Ball Ground","Civic Drive","Civic Drive, Ball Ground, GA",,,60,10,"Open"
"Ball Ground Elementary School","US","Georgia","Cherokee County","Ball Ground","480 Old Canton Road","480 Old Canton Road, Ball Ground, GA",34.345437,-84.377757,117,70,"Open"
"Bascomb Elementary School","US","Georgia","Cherokee County","Woodstock","1335 Wyngate Parkway","1335 Wyngate Parkway, Woodstock, GA",34.141418,-84.583658,0,0,"Closed"
"Boston Elementary School","US","Georgia","Cherokee County","Woodstock","105 Othello Drive","105 Othello Drive, Woodstock, GA",34.128494,-84.592345,117,58,"Open"
"Buffington Elementary School","US","Georgia","Cherokee County","Canton","4568 Cumming Highway","4568 Cumming Highway, Canton, GA",34.240526,-84.414285,117,70,"Open"
"Canton Elementary School","US","Georgia","Cherokee County","Canton","712 Marietta Highway","712 Marietta Highway, Canton, GA",34.237036,-84.499502,117,46,"Open"
"Chapman Intermediate School","US","Georgia","Cherokee County","Woodstock","6500 Putnam Ford Road","6500 Putnam Ford Road, Woodstock, GA",34.11258,-84.561145,0,0,"Closed"
"Cherokee High School","US","Georgia","Cherokee County","Canton","930 Marietta Highway","930 Marietta Highway, Canton, GA",34.234313,-84.499962,125,65,"Open"
"Clayton Elementary School","US","Georgia","Cherokee County","Canton","221 Upper Burris Road","221 Upper Burris Road, Canton, GA",34.331543,-84.488014,110,2,"Open"
"Dean Rusk Middle School","US","Georgia","Cherokee County","Canton","3397 Hickory Road","3397 Hickory Road, Canton, GA",34.168068,-84.455223,117,76,"Open"
"E.T. Booth Middle School","US","Georgia","Cherokee County","Woodstock","6550 Putnam Ford Drive","6550 Putnam Ford Drive, Woodstock, GA",34.112684,-84.561105,117,112,"Open"
"Etowah High School","US","Georgia","Cherokee County","Woodstock","6565 Putnam Ford Drive","6565 Putnam Ford Drive, Woodstock, GA",34.112716,-84.561093,125,62,"Open"
"First Methodist Church of Canton","US","Georgia","Cherokee County","Canton","930 Scott Mill Road","930 Scott Mill Road, Canton, GA",34.22238,-84.487645,95,88,"Open"
"Free Home Elementary School","US","Georgia","Cherokee County","Canton","12525 Cumming Highway","12525 Cumming Highway, Canton, GA",34.240199,-84.292545,117,70,"Open"
"Hickory Flat Elementary School","US","Georgia","Cherokee County","Canton","2755 East Cherokee Drive","2755 East Cherokee Drive, Canton, GA",34.172326,-84.421921,67,56,"Open"
"Holly Springs Elementary School","US","Georgia","Cherokee County","Holly Springs","1965 Hickory Road","1965 Hickory Road, Holly Springs, GA",34.168244,-84.456264,117,65,"Open"
"Johnston Elementary School","US","Georgia","Cherokee County","Woodstock","2031 East Cherokee Drive","2031 East Cherokee Drive, Woodstock, GA",34.130617,-84.492912,117,45,"Open"
"Little River Elementary School","US","Georgia","Cherokee County","Woodstock","3170 Trickum Road","3170 Trickum Road, Woodstock, GA",34.111024,-84.471146,117,60,"Open"
"Macedonia Elementary School","US","Georgia","Cherokee County","Canton","10370 East Cherokee Drive","10370 East Cherokee Drive, Canton, GA",34.247571,-84.358247,41,22,"Open"
"Masonic Lodge # 77","US","Georgia","Cherokee County","Canton","321 Medical Lane","321 Medical Lane, Canton, GA",34.24797,-84.490169,57,30,"Open"
