"Layer","Country","L1","L2","L3","L4","Value"
"Shelter Capacity","US","Georgia","Cherokee County","Woodstock","Annex Recreation Building",0.5
"Shelter Capacity","US","Georgia","Cherokee County","Woodstock","Arnold Mill School",0.157480315
"Shelter Capacity","US","Georgia","Cherokee County","Ball Ground","Ball Ground Elementary School",0.5982905983
"Shelter Capacity","US","Georgia","Cherokee County","Woodstock","Boston Elementary School",0.4957264957
"Shelter Capacity","US","Georgia","Cherokee County","Canton","Buffington Elementary School",0.5982905983
"Shelter Capacity","US","Georgia","Cherokee County","Canton","Canton Elementary School",0.3931623932
"Shelter Capacity","US","Georgia","Cherokee County","Canton","Cherokee High School",0.52
"Shelter Capacity","US","Georgia","Cherokee County","Canton","Clayton Elementary School",0.0181818182
"Shelter Capacity","US","Georgia","Cherokee County","Canton","Dean Rusk Middle School",0.6495726496
"Shelter Capacity","US","Georgia","Cherokee County","Woodstock","E.T. Booth Middle School",0.9572649573
"Shelter Capacity","US","Georgia","Cherokee County","Woodstock","Etowah High School",0.496
"Shelter Capacity","US","Georgia","Cherokee County","Canton","First Methodist Church of Canton",0.9263157895
"Shelter Capacity","US","Georgia","Cherokee County","Canton","Free Home Elementary School",0.5982905983
"Shelter Capacity","US","Georgia","Cherokee County","Canton","Hickory Flat Elementary School",0.8358208955
"Shelter Capacity","US","Georgia","Cherokee County","Holly Springs","Holly Springs Elementary School",0.5555555556
"Shelter Capacity","US","Georgia","Cherokee County","Woodstock","Johnston Elementary School",0.3846153846
"Shelter Capacity","US","Georgia","Cherokee County","Woodstock","Little River Elementary School",0.5128205128
"Shelter Capacity","US","Georgia","Cherokee County","Canton","Macedonia Elementary School",0.5365853659
"Shelter Capacity","US","Georgia","Cherokee County","Canton","Masonic Lodge # 77",0.5263157895
"Shelter Capacity","US","Georgia","Cherokee County","Woodstock","Mountain Road Elementary School ",0.5128205128
"Shelter Capacity","US","Georgia","Cherokee County","Canton","National Guard Armory",0.5333333333
"Shelter Capacity","US","Georgia","Cherokee County","Acworth","Oak Grove Elementary School",0.4273504274
"Shelter Capacity","US","Georgia","Cherokee County","Waleska","R.M. Moore Elementary School",0.5128205128
"Shelter Capacity","US","Georgia","Cherokee County","Canton","Sequoyah High School",0.48
"Shelter Capacity","US","Georgia","Cherokee County","Canton","Sixes Elementary School",0.5
"Shelter Capacity","US","Georgia","Cherokee County","Canton","Teasley Middle School",0.3418803419
"Shelter Capacity","US","Georgia","Cherokee County","Canton","Tippens Elementary School",0.5128205128
"Shelter Capacity","US","Georgia","Cherokee County","Woodstock","Woodstock Community Church",0.5
"Shelter Capacity","US","Georgia","Cherokee County","Woodstock","Woodstock Elementary School",0.3418803419
"Shelter Capacity","US","Georgia","Cherokee County","Woodstock","Woodstock First Baptist Church",0.748502994
"Shelter Capacity","US","Georgia","Cherokee County","Woodstock","Woodstock Jaycees Building",0.375
