"Organisation","Branch","Acronym","Type","Region","Country","Website","Twitter","Domain"
"International Federation of Red Cross and Red Crescent Societies",,"IFRC","International NGO",,,"http://www.ifrc.org","Federation","ifrc.org"
"Afghan Red Crescent Society",,"ARCS","National NGO","South Asia","AF","http://www.arcs.org.af",,"arcs.org.af"
"American Red Cross",,,"National NGO","America","US","http://www.redcross.org",,"arcla.org"
"Australian Red Cross",,,"National NGO","Pacific","AU","http://www.redcross.org.au",,"redcross.org.au"
"Bangladesh Red Crescent Society",,"BDRCS","National NGO","South Asia","BD","http://www.bdrcs.org.bd",,"bdrcs.org.bd"
"Brunei Darussalam Red Crescent Society",,,"National NGO","South East Asia","BN",,,
"Cambodian Red Cross Society",,"CRC","National NGO","South East Asia","KH","http://www.redcross.org.kh",,"redcross.org.kh"
"Cook Islands Red Cross",,,"National NGO","Pacific","CK","http://www.redcross.org.ck",,"redcross.org.ck"
"Fiji Red Cross Society",,,"National NGO","Pacific","FJ","http://www.redcross.com.fj",,"redcross.com.fj"
"Hong Kong Red Cross",,,"National NGO","East Asia","HK","http://www.redcross.org.hk",,"redcross.org.hk"
"Indian Red Cross Society",,,"National NGO","South Asia","IN","http://www.indianredcross.org",,"indianredcross.org"
"Indonesian Red Cross Society",,"PMI","National NGO","South East Asia","ID","http://www.pmi.or.id/ina",,"pmi.or.id"
"Japanese Red Cross Society",,"JRC","National NGO","East Asia","JP","http://www.jrc.or.jp",,"jrc.or.jp"
"Kiribati Red Cross Society",,,"National NGO","Pacific","KI",,,
"Lao Red Cross",,,"National NGO","South East Asia","LA","http://www.laoredcross.org",,"laoredcross.org"
"Malaysian Red Crescent Society",,,"National NGO","South East Asia","MY","http://www.redcrescent.org.my",,"redcrescent.org.my"
"Maldivian Red Crescent",,,"National NGO","South Asia","MV","http://www.redcrescent.org.mv",,"redcrescent.org.mv"
"Micronesia Red Cross Society",,,"National NGO","Pacific","FM",,,
"Mongolian Red Cross Society",,,"National NGO","East Asia","MN","http://www.redcross.mn",,"redcross.mn"
"Myanmar Red Cross Society",,"MRCS","National NGO","South East Asia","MM","http://www.myanmarredcross.org.mm",,"redcross.org.mm"
"Nepal Red Cross Society",,"NRCS","National NGO","South Asia","NP","http://www.nrcs.org",,"nrcs.org"
"New Zealand Red Cross",,,"National NGO","Pacific","NZ","http://www.redcross.org.nz",,"redcross.org.nz"
"Pakistan Red Crescent Society",,"PRCS","National NGO","South Asia","PK","http://www.prcs.org.pk",,"prcs.org.pk"
"Palau Red Cross Society",,,"National NGO","Pacific","PW",,,
"Papua New Guinea Red Cross Society",,,"National NGO","Pacific","PG",,,
"Philippine Red Cross",,"PRC","National NGO","South East Asia","PH","http://www.redcross.org.ph",,"redcross.org.ph"
"Red Cross of Viet Nam",,,"National NGO","South East Asia","VN","http://www.redcross.org.vn",,"redcross.org.vn"
"Red Cross Society of China",,,"National NGO","East Asia","CN","http://www.redcross.org.cn",,"redcross.org.cn"
"Red Cross Society of the Democratic People's Republic of Korea",,,"National NGO","East Asia","KP",,,
"Republic of Korea National Red Cross",,,"National NGO","East Asia","KR","http://redcross.or.kr",,"redcross.or.kr"
"Samoa Red Cross Society",,,"National NGO","Pacific","WS","http://www.redcross.org.ws",,"redcross.org.ws"
"Singapore Red Cross Society",,,"National NGO","South East Asia","SG","http://redcross.org.sg",,"redcross.org.sg"
"Solomon Islands Red Cross",,,"National NGO","Pacific","SB","http://solomonredcross.blogspot.com",,
"Sri Lanka Red Cross Society",,,"National NGO","South Asia","LK","http://www.redcross.lk",,"redcross.lk"
"Thai Red Cross Society",,,"National NGO","South East Asia","TH","http://www.redcross.or.th",,"redcross.or.th"
"Timor-Leste Red Cross Society",,"CVTL","National NGO","South East Asia","TL","http://www.redcross.tl",,"redcross.tl"
"Tonga Red Cross Society",,,"National NGO","Pacific","TO",,,
"Vanuatu Red Cross Society",,,"National NGO","Pacific","VU",,,
