"ADM1_NAME","ADM2_NAME","Code"
"Aileu","Aileu Vila",201
"Aileu","Laulara",204
"Aileu","Liquidoe",802
"Aileu","Remexio",203
"Ainaro","Ainaro",101
"Ainaro","Hatu-Builico",102
"Ainaro","Hatu-Udo",104
"Ainaro","Maubisse",103
"Baucau","Baguia",304
"Baucau","Baucau",301
"Baucau","Laga",302
"Baucau","Quelicai",303
"Baucau","Vemase",305
"Baucau","Venilale",306
"Bobonaro","Atabae",404
"Bobonaro","Balibo",403
"Bobonaro","Bobonaro",406
"Bobonaro","Cailaco",402
"Bobonaro","Lolotoe",405
"Bobonaro","Maliana",401
"Covalima","Fatululic",501
"Covalima","Fatumean",502
"Covalima","Fohorem",503
"Covalima","Maucatar",504
"Covalima","Suai",505
"Covalima","Tilomar",506
"Covalima","Zumalai",507
"Dili","Atauro",604
"Dili","Cristo Rei",606
"Dili","Dom Aleixo",605
"Dili","Metinaro",603
"Dili","Nain Feto",602
"Dili","Vera Cruz",601
"Ermera","Atsabe",704
"Ermera","Ermera",702
"Ermera","Hatolia",705
"Ermera","Letefoho",703
"Ermera","Railaco",701
"Lautém","Iliomar",903
"Lautém","Lautém",902
"Lautém","Lospalos",901
"Lautém","Luro",904
"Lautém","Tutuala",905
"Liquiçá","Bazartete",801
"Liquiçá","Liquiçá",202
"Liquiçá","Maubara",803
"Manatuto","Barique/Natarbora",1105
"Manatuto","Laclo",1103
"Manatuto","Laclubar",1106
"Manatuto","Laleia",1102
"Manatuto","Manatuto",1101
"Manatuto","Soibada",1104
"Manufahi","Alas",1002
"Manufahi","Fatuberliu",1003
"Manufahi","Same",1001
"Manufahi","Turiscai",1004
"Oecusse","Nitibe",1202
"Oecusse","Oesilo",1203
"Oecusse","Pante Macasar",1201
"Oecusse","Passabe",1204
"Viqueque","Lacluta",1305
"Viqueque","Ossu",1302
"Viqueque","Uatucarbau",1301
"Viqueque","Viqueque",1304
"Viqueque","Watulari",1301
