"Organisation","Office","Code","Catalog","Asset No","Type","Category","Name","Location","Assigned To","Brand","Model","SN","Supplier","Date","Price","Comments"
"Cruz Vermelha de Timor-Leste (CVTL) National Warehouse","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","WS-100-01",1,"Equipment","Water Purification Unit",,,"CleanTec","WPX-800","WPU-2989-8164",,,,
"Ainaro Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","WS-100-02",1,"Equipment","Water Purification Unit",,,"CleanTec","WPX-801","WPU-6884-8147",,,,
"Lospalos Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","WS-100-03",1,"Equipment","Water Purification Unit",,,"CleanTec","WPX-802","WPU-7845-1970",,,,
"Manatuto Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","WS-100-04",1,"Equipment","Water Purification Unit",,,"CleanTec","WPX-803","WPU-1096-2141",,,,
"Same Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","WS-100-05",1,"Equipment","Water Purification Unit",,,"CleanTec","WPX-804","WPU-8141-8160",,,,
"Viqueque Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","WS-100-06",1,"Equipment","Water Purification Unit",,,"CleanTec","WPX-805","WPU-4415-3818",,,,
"Ainaro Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","WS-100-07",1,"Equipment","Water Purification Unit",,,"CleanTec","WPX-806","WPU-5271-7505",,,,
"Lospalos Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","WS-100-08",1,"Equipment","Water Purification Unit",,,"CleanTec","WPX-807","WPU-6073-3753",,,,
"Manatuto Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","WS-100-09",1,"Equipment","Water Purification Unit",,,"CleanTec","WPX-808","WPU-9040-8209",,,,
"Same Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","WS-100-10",1,"Equipment","Water Purification Unit",,,"CleanTec","WPX-809","WPU-3952-7878",,,,
"Viqueque Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","WS-100-11",1,"Equipment","Water Purification Unit",,,"CleanTec","WPX-810","WPU-8544-2476",,,,
"Ainaro Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","WS-100-12",1,"Equipment","Water Purification Unit",,,"CleanTec","WPX-811","WPU-8285-2011",,,,
"Lospalos Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","WS-100-13",1,"Equipment","Water Purification Unit",,,"CleanTec","WPX-812","WPU-1420-9640",,,,
