"Warehouse","Category","Category Code","Catalog","Item Name","Item Code","Brand","Unit of Measure","Model","Year","Weight","Length","Width","Height","Volume","Quantity","Expiry Date","Unit","Unit Value","Currency","Supplier/Donor","Organisation/Department","Tracking Number ","Bin","Comments"
"Cruz Vermelha de Timor-Leste (CVTL) National Warehouse","Relief Item",,"Standard","Blankets",,,"Piece",,,,,,,,5000,,,"4.5","USD","Timor-Leste Red Cross Society",,,,
"Cruz Vermelha de Timor-Leste (CVTL) National Warehouse","Relief Item",,"Standard","Jerry Cans",,,"Piece",,,,,,,,4000,,,"1.2","USD","Timor-Leste Red Cross Society",,,,
"Cruz Vermelha de Timor-Leste (CVTL) National Warehouse","Relief Item",,"Standard","Kitchen Sets",,,"Unit",,,,,,,,900,,,28,"USD","Timor-Leste Red Cross Society",,,,
"Cruz Vermelha de Timor-Leste (CVTL) National Warehouse","Relief Item",,"Standard","Hygiene Kits",,,"Unit",,,,,,,,1250,,,25,"USD","Timor-Leste Red Cross Society",,,,
"Cruz Vermelha de Timor-Leste (CVTL) National Warehouse","Relief Item",,"Standard","Plastic Sheets",,,"m2",,,,,,,,10000,,,"0.5","USD","Timor-Leste Red Cross Society",,,,
"Cruz Vermelha de Timor-Leste (CVTL) National Warehouse","Food",,"Standard","Rice",,,"kg",,,,,,,,20000,,,"1.2","USD","Timor-Leste Red Cross Society",,,,
"Ainaro Warehouse","Relief Item",,"Standard","Blankets",,,"Piece",,,,,,,,150,,,6,"USD","Timor-Leste Red Cross Society",,,,
"Ainaro Warehouse","Relief Item",,"Standard","Jerry Cans",,,"Piece",,,,,,,,200,,,3,"USD","Timor-Leste Red Cross Society",,,,
"Ainaro Warehouse","Relief Item",,"Standard","Kitchen Sets",,,"Unit",,,,,,,,2500,,,19,"USD","Timor-Leste Red Cross Society",,,,
"Ainaro Warehouse","Relief Item",,"Standard","Hygiene Kits",,,"Unit",,,,,,,,50,,,21,"USD","Timor-Leste Red Cross Society",,,,
"Lospalos Warehouse","Relief Item",,"Standard","Blankets",,,"Piece",,,,,,,,500,,,7,"USD","Timor-Leste Red Cross Society",,,,
"Lospalos Warehouse","Relief Item",,"Standard","Jerry Cans",,,"Piece",,,,,,,,100,,,2,"USD","Timor-Leste Red Cross Society",,,,
"Lospalos Warehouse","Relief Item",,"Standard","Kitchen Sets",,,"Unit",,,,,,,,50,,,15,"USD","Timor-Leste Red Cross Society",,,,
"Lospalos Warehouse","Relief Item",,"Standard","Plastic Sheets",,,"m2",,,,,,,,800,,,1,"USD","Timor-Leste Red Cross Society",,,,
"Manatuto Warehouse","Relief Item",,"Standard","Blankets",,,"Piece",,,,,,,,150,,,4,"USD","Timor-Leste Red Cross Society",,,,
"Manatuto Warehouse","Relief Item",,"Standard","Jerry Cans",,,"Piece",,,,,,,,100,,,4,"USD","Timor-Leste Red Cross Society",,,,
"Manatuto Warehouse","Relief Item",,"Standard","Hygiene Kits",,,"Unit",,,,,,,,10,,,16,"USD","Timor-Leste Red Cross Society",,,,
"Manatuto Warehouse","Relief Item",,"Standard","Plastic Sheets",,,"m2",,,,,,,,1000,,,"0.75","USD","Timor-Leste Red Cross Society",,,,
"Same Warehouse","Relief Item",,"Standard","Blankets",,,"Piece",,,,,,,,600,,,3,"USD","Timor-Leste Red Cross Society",,,,
"Same Warehouse","Relief Item",,"Standard","Kitchen Sets",,,"Unit",,,,,,,,75,,,18,"USD","Timor-Leste Red Cross Society",,,,
"Same Warehouse","Relief Item",,"Standard","Hygiene Kits",,,"Unit",,,,,,,,75,,,20,"USD","Timor-Leste Red Cross Society",,,,
"Same Warehouse","Relief Item",,"Standard","Plastic Sheets",,,"m2",,,,,,,,2000,,,1,"USD","Timor-Leste Red Cross Society",,,,
"Viqueque Warehouse","Relief Item",,"Standard","Jerry Cans",,,"Piece",,,,,,,,100,,,"3.5","USD","Timor-Leste Red Cross Society",,,,
"Viqueque Warehouse","Relief Item",,"Standard","Kitchen Sets",,,"Unit",,,,,,,,200,,,17,"USD","Timor-Leste Red Cross Society",,,,
"Viqueque Warehouse","Relief Item",,"Standard","Hygiene Kits",,,"Unit",,,,,,,,200,,,18,"USD","Timor-Leste Red Cross Society",,,,
"Viqueque Warehouse","Relief Item",,"Standard","Plastic Sheets",,,"m2",,,,,,,,500,,,1,"USD","Timor-Leste Red Cross Society",,,,
"Cruz Vermelha de Timor-Leste (CVTL) National Warehouse","Relief Item",,"Standard","Blankets",,,"Piece",,,,,,,,500,,,"4.5","USD","Australian Red Cross",,,,
"Cruz Vermelha de Timor-Leste (CVTL) National Warehouse","Relief Item",,"Standard","Jerry Cans",,,"Piece",,,,,,,,2000,,,"1.2","USD","Australian Red Cross",,,,
"Cruz Vermelha de Timor-Leste (CVTL) National Warehouse","Relief Item",,"Standard","Kitchen Sets",,,"Unit",,,,,,,,1500,,,28,"USD","Australian Red Cross",,,,
"Cruz Vermelha de Timor-Leste (CVTL) National Warehouse","Relief Item",,"Standard","Hygiene Kits",,,"Unit",,,,,,,,1000,,,25,"USD","Australian Red Cross",,,,
"Cruz Vermelha de Timor-Leste (CVTL) National Warehouse","Relief Item",,"Standard","Plastic Sheets",,,"m2",,,,,,,,15000,,,"0.5","USD","Australian Red Cross",,,,
"Lospalos Warehouse","Relief Item",,"Standard","Plastic Sheets",,,"m2",,,,,,,,1250,,,"0.5","USD","Australian Red Cross",,,,
"Lospalos Warehouse","Relief Item",,"Standard","Plastic Sheets",,,"m2",,,,,,,,1250,,,"0.5","USD","Indonesian Red Cross Society",,,,
