Name,Category,Message,Date,Expiry,Country,State,District,City,Lat,Lon,Image,URL
Tropical Storm Bulegila,meteorological.tropicalStorm,"Tropical Storm Bulegila has swept past Timor-Leste from the South East causing wipespread flooding and damge to houses, infrastruture and crops",28/02/12,4/03/12,Timor-Leste,,,,,,,
Vessoro - Flood,flood,,2/03/12,,Timor-Leste,VIQUEQUE,WATULARI,BABULO,-8.80058,126.57981,,
Samalogo - Flood,flood.flashFlood,,29/02/12,,Timor-Leste,VIQUEQUE,OSSU,UABUBO,-8.72887,126.43626,,
Cailetiana - slide,geophysical.landslide,,2/03/12,,Timor-Leste,VIQUEQUE,OSSU,BUILALE,-8.68283,126.37154,,
Naibaroc - ong Wind,wind.strongWind,,28/02/12,,Timor-Leste,VIQUEQUE,VIQUEQUE,UMA UAIN CRAIC,-8.88336,126.37619,,
Ilalein - cked,roadway.roadwayClosure,,4/03/12,,Timor-Leste,VIQUEQUE,WATULARI,AFALOICAI,-8.70007,126.56998,,
Uatodere - cked,roadway.roadwayClosure,,28/02/12,,Timor-Leste,VIQUEQUE,UATUCARBAU,IRABIN DE BAIXO,-8.74861,126.70556,,
Caidabu - - Flood,flood,,1/03/12,,Timor-Leste,LAUTEM,ILIOMAR,FUAT,-8.63494,126.84219,,
Batamac - Trapped,other.peopleTrapped,,29/02/12,,Timor-Leste,MANATUTO,LACLUBAR,FUNAR,-8.75332,125.9,,
Etipiti - Trapped,other.peopleTrapped,,4/03/12,,Timor-Leste,LAUTEM,LAUTEM,COM,-8.34144,127.02377,,
Condar - wer Cut,other.powerFailure,,2/03/12,,Timor-Leste,MANATUTO,LACLO,UMACADUAC,-8.53194,125.96111,,
Hatomera - wer Cut,other.powerFailure,,1/03/12,,Timor-Leste,MANATUTO,LACLO,HOHORAI,-8.60739,125.76415,,
Barikafa - andslide,geophysical.landslide,,1/03/12,,Timor-Leste,LAUTEM,LURO,COTAMUTU,-8.54583,126.83087,,
Afaia - d Blocked,roadway.roadwayClosure,,1/03/12,,Timor-Leste,LAUTEM,LURO,LURO,-8.54614,126.8342,,
Hamahun - Water,flood.highWater,,2/03/12,,Timor-Leste,LAUTEM,ILIOMAR,CAINLIU,-8.64367,126.82452,,
Caintau - ng Wind,wind.strongWind,,2/03/12,,Timor-Leste,LAUTEM,ILIOMAR,ILIOMAR I,-8.713,126.83646,,
Hamahun -  Wind,wind.strongWind,,3/03/12,,Timor-Leste,LAUTEM,ILIOMAR,CAINLIU,-8.64367,126.82452,,
Nualata -  Power Cut,other.powerFailure,,4/03/12,,Timor-Leste,LAUTEM,LOSPALOS,LORE I,-8.63143,126.98641,,
Puileti -  Water,flood.highWater,,1/03/12,,Timor-Leste,LAUTEM,LOSPALOS,RACA,-8.4375,126.94583,,
Akadiruhun - rapped,other.peopleTrapped,,4/03/12,,Timor-Leste,MANUFAHI,SAME,LETEFOHO,-9.0125,125.65417,,
Orlora - cked,roadway.roadwayClosure,,28/02/12,,Timor-Leste,MANUFAHI,FATUBERLIU,BUBUSUSO,-8.90505,125.76937,,
Clacuc - cked,roadway.roadwayClosure,,1/03/12,,Timor-Leste,MANUFAHI,FATUBERLIU,CLACUC,-9.00858,126.01099,,
Caicasa -  Blocked,roadway.roadwayClosure,,3/03/12,,Timor-Leste,MANUFAHI,FATUBERLIU,CAICASA,-9.04265,125.95873,,
Socemera -  Blocked,roadway.roadwayClosure,,2/03/12,,Timor-Leste,MANUFAHI,SAME,TUTULURO,-8.9824,125.69278,,
Nobularan - ong Wind,wind.strongWind,,4/03/12,,Timor-Leste,MANUFAHI,ALAS,DOTIC,-9.05559,125.87713,,
Kertapati - ong Wind,wind.strongWind,,2/03/12,,Timor-Leste,AINARO,AINARO,AINARO,-8.98464,125.50353,,
Bemoris - wer Cut,other.powerFailure,,2/03/12,,Timor-Leste,AINARO,AINARO,CASSA,-9.13367,125.54511,,
Qeorema -  Flood,flood,,29/02/12,,Timor-Leste,AINARO,HATU-BUILICO,MULO,-8.88218,125.53573,,
Sabagulau - gh Water,flood.highWater,,4/03/12,,Timor-Leste,AINARO,AINARO,AINARO,-8.97558,125.50048,,
Bonuk -  Trapped,other.peopleTrapped,,4/03/12,,Timor-Leste,AINARO,HATU-UDO,LEOLIMA,-9.21533,125.53972,,
