"Project","Activities","Country","State","District","City","Name","Lat","Lon","Comments","Beneficiaries:Individuals","Beneficiaries:Families","Beneficiaries:Pupils","Beneficiaries:Teachers","Beneficiaries:Men","Beneficiaries:Women"
"Community Based Disaster Management","Community organisation, Capacity Building, CDRT (Community disaster response teams)","Timor-Leste","Lautem","Lospalos","Lore I","Lori",-8.66152,127.02607,,119,,,,,
"Community Based Disaster Management","Community organisation, Capacity Building, CDRT (Community disaster response teams)","Timor-Leste","Baucau","Laga","Soba","Soba",-8.47342,126.59791,,152,,,,,
"Community Based Disaster Management","Community organisation, Capacity Building, CDRT (Community disaster response teams)","Timor-Leste","Bobonaro","Bobonaro","Lourba","Zobelis",-9.01786,125.35333,,421,,,,,
"Community Based Disaster Management","Community organisation, Capacity Building, CDRT (Community disaster response teams)","Timor-Leste","Liquiçá","Liquiçá","Dato","Nunturi",-8.64709,125.34227,,453,,,,,
"Community Based Disaster Management","Community organisation, Capacity Building, CDRT (Community disaster response teams)","Timor-Leste","Oecusse","Passabe","Abani","Ato",-9.47556,124.34222,,386,,,,,
"Community Based Disaster Management","Community organisation, Capacity Building, CDRT (Community disaster response teams)","Timor-Leste","Ainaro","Maubisse","Manetu","Maulau",-8.87917,125.66389,,407,,,,,
"Community Based Disaster Management","Community organisation, Capacity Building, CDRT (Community disaster response teams)","Timor-Leste","Oecusse","Nitibe","Usi-Taco","Nitibe",-9.34499,124.22979,,211,,,,,
"Community Based Disaster Management","Community organisation, Capacity Building, CDRT (Community disaster response teams)","Timor-Leste","Manatuto","Laclubar","Funar","Batamac",-8.75332,125.9,,164,,,,,
"Community Based Disaster Management","Community organisation, Capacity Building, CDRT (Community disaster response teams)","Timor-Leste","Ermera","Letefoho","Ducurai","Hatulete",-8.86284,125.4945,,177,,,,,
"Community Based Sanitation Infrastructure improvement","Water Supply, Community organisation","Timor-Leste","Dili","Vera Cruz","Vila Verde","Vila Verde",-8.5579,125.56633,,,169,,,,
"Community Based Sanitation Infrastructure improvement","Water Supply, Community organisation","Timor-Leste","Viqueque","Uatucarbau","Afaloicai","Bahatata",-8.64917,126.65131,,,279,,,,
"Community Based Sanitation Infrastructure improvement","Water Supply, Community organisation","Timor-Leste","Viqueque","Watulari","Afaloicai","Siquilari",-8.74964,126.52186,,,135,,,,
"Community Based Sanitation Infrastructure improvement","Water Supply, Community organisation","Timor-Leste","Lautem","Lospalos","Fuiloro","Sentral",-8.52188,126.99469,,,78,,,,
"Community Based Sanitation Infrastructure improvement","Water Supply, Community organisation","Timor-Leste","Liquiçá","Liquiçá","Darulete","Fahate",-8.66992,125.34759,,,70,,,,
"Community Based Sanitation Infrastructure improvement","Water Supply, Community organisation","Timor-Leste","Oecusse","Passabe","Abani","Fot",-9.4698,124.34225,,,112,,,,
"Community Based Sanitation Infrastructure improvement","Water Supply, Community organisation","Timor-Leste","Ermera","Railaco","Taraso","Datoleo",-8.65719,125.48918,,,274,,,,
"Community Based Sanitation Infrastructure improvement","Water Supply, Community organisation","Timor-Leste","Ainaro","Hatu-Udo","Foho-ai-Lico","Aimorbada",-9.17228,125.64499,,,174,,,,
"Community Based Sanitation Infrastructure improvement","Water Supply, Community organisation","Timor-Leste","Dili","Atauro","Atauro Vila/Maumeta","Atauro",-8.26642,125.59909,,,222,,,,
"Community Based Sanitation Infrastructure improvement","Water Supply, Community organisation","Timor-Leste","Ainaro","Maubisse","Manetu","Maulau",-8.87917,125.66389,,,165,,,,
"Community School Building Renewal","School Safety","Timor-Leste","Lautem","Lautem","Pairara","Puno",-8.42927,126.93611,,,,312,24,,
"Community School Building Renewal","School Safety","Timor-Leste","Manatuto","Laclubar","Funar","Batamac",-8.75332,125.9,,,,320,32,,
"Community School Building Renewal","School Safety","Timor-Leste","Baucau","Quelicai","Lelalai","Uabuu",-8.64559,126.50566,,,,143,13,,
"Community School Building Renewal","School Safety","Timor-Leste","Ainaro","Hatu-udo","Leolima","Nonuboka",-9.13307,125.59534,,,,920,23,,
"Community School Building Renewal","School Safety","Timor-Leste","Covalima","Suai","Debos","Asumaten",-9.31861,125.26101,,,,648,24,,
"Community School Building Renewal","School Safety","Timor-Leste","Manufahi","Same","Daisua","Lesulau",-9.08097,125.68315,,,,2254,46,,
"Community School Building Renewal","School Safety","Timor-Leste","Viqueque","Ossu","Loi-Huno","Buanurak",-8.83085,126.37455,,,,576,32,,
