Organisation,Branch,Acronym,Type,Region,Country,Website,Twitter,Domain
New York City,Office of Emergency Management,NYC OEM,,,US,www.nyc.gov/oem,,nyc.gov
Salvation Army,Salvation Army of Greater New York,,,,US,http://www.salvationarmy.org/,,salvationarmy.org
American Red Cross,American Red Cross of Greater New York,ARC,,,US,http://www.nyredcross.org,,nyredcross.org
Goodwill Industries,Greater New York,,,,US,http://www.goodwill.org/,,goodwill.org
Food Bank for New York City,,,,,US,http://www.foodbanknyc.org/,,foodbanknyc.org
Buddist Tzu Chi Foundation,,,,,US,http://www.us.tzuchi.org/,,us.tzuchi.org
Team Rubicon,,,,,US,http://teamrubiconusa.org/,,teamrubiconusa.org
Safe Horizon,,,,,US,http://www.safehorizon.org/,,safehorizon.org
New York Cares,,,,,US,http://www.newyorkcares.org/,,newyorkcares.org
World Cares Center,,,,,US,http://www.worldcares.org/,,worldcares.org
World Vision,New York,,,,US,http://www.worldvision.org/,,worldvision.org
New York City,Department of Education,NYC DOE,,,US,http://schools.nyc.gov/,,schools.nyc.gov
