"ADM2_NAME","ADM2_CODE","ADM3_CODE","ADM3_NAME"
"Pampanga",35400000,35401000,"Angeles City"
"Negros Occidental",64500000,64501000,"Bacolod City (capital)"
"Negros Occidental",64500000,64502000,"Bago City"
"Benguet",141100000,141102000,"Baguio City"
"Negros Oriental",74600000,74604000,"Bais City"
"Batangas",41000000,41005000,"Batangas City (capital)"
"Agusan del Norte",160200000,160202000,"Butuan City (capital)"
"Nueva Ecija",34900000,34903000,"Cabanatuan City"
"Negros Occidental",64500000,64504000,"Cadiz City"
"Misamis Oriental",104300000,104305000,"Cagayan de Oro City (capital)"
"Samar (Western Samar)",86000000,86003000,"Calbayog City"
"Negros Oriental",74600000,74608000,"Canlaon City"
"Cavite",42100000,42105000,"Cavite City"
"Cebu",72200000,72217000,"Cebu City (capital)"
"Pangasinan",15500000,15503000,"City of Alaminos"
"Rizal",45800000,45802000,"City of Antipolo"
"Bataan",30800000,30803000,"City of Balanga (capital)"
"Ilocos Norte",12800000,12805000,"City of Batac"
"Negros Oriental",74600000,74606000,"City Of Bayawan (Tulong)"
"Leyte",83700000,83708000,"City Of Baybay"
"Agusan del Sur",160300000,160301000,"City Of Bayugan"
"Surigao del Sur",166800000,166803000,"City Of Bislig"
"Cebu",72200000,72211000,"City Of Bogo"
"Eastern Samar",82600000,82604000,"City Of Borongan (capital)"
"Agusan del Norte",160200000,160203000,"City Of Cabadbaran"
"Laguna",43400000,43405000,"City Of Calamba"
"Oriental Mindoro",175200000,175205000,"City Of Calapan (capital)"
"Ilocos Sur",12900000,12906000,"City Of Candon"
"Cebu",72200000,72214000,"City Of Carcar"
"Samar (Western Samar)",86000000,86005000,"City Of Catbalogan (capital)"
"Isabela",23100000,23108000,"City Of Cauayan"
"Davao del Sur",112400000,112403000,"City Of Digos (capital)"
"Misamis Oriental",104300000,104307000,"City Of El Salvador"
"Negros Occidental",64500000,64509000,"City Of Escalante"
"Nueva Ecija",34900000,34908000,"City Of Gapan"
"Negros Oriental",74600000,74611000,"City Of Guihulngan"
"Negros Occidental",64500000,64510000,"City Of Himamaylan"
"City of Isabela",99700000,99701000,"City Of Isabela (capital)"
"Negros Occidental",64500000,64515000,"City Of Kabankalan"
"Cotabato (North Cotabato)",124700000,124704000,"City Of Kidapawan (capital)"
"South Cotabato",126300000,126306000,"City Of Koronadal (capital)"
"Basilan",150700000,150702000,"City Of Lamitan"
"NCR Fourth District",137600000,137601000,"City Of Las Piñas"
"Albay",50500000,50508000,"City Of Ligao"
"Southern Leyte",86400000,86407000,"City Of Maasin (capital)"
"NCR Fourth District",137600000,137602000,"City Of Makati"
"NCR Third District",137500000,137502000,"City Of Malabon"
"Bukidnon",101300000,101312000,"City Of Malaybalay (capital)"
"Bulacan",31400000,31410000,"City Of Malolos (capital)"
"NCR Second District",137400000,137401000,"City Of Mandaluyong"
"NCR First District",133900000,133903000,"Quiapo"
"NCR Second District",137400000,137402000,"City Of Marikina"
"Masbate",54100000,54111000,"City Of Masbate (capital)"
"Davao Oriental",112500000,112509000,"City Of Mati (capital)"
"Bulacan",31400000,31412000,"City Of Meycauayan"
"NCR Fourth District",137600000,137603000,"City Of Muntinlupa"
"Cebu",72200000,72234000,"City Of Naga"
