"ADM0_NAME","ADM1_NAME","CODE"
"United States","Alabama","AL"
"United States","Alaska","AK"
"United States","Arizona","AZ"
"United States","Arkansas","AR"
"United States","California","CA"
"United States","Colorado","CO"
"United States","Connecticut","CT"
"United States","Delaware","DE"
"United States","District of Columbia","DC"
"United States","Florida","FL"
"United States","Georgia","GA"
"United States","Hawaii","HI"
"United States","Idaho","ID"
"United States","Illinois","IL"
"United States","Indiana","IN"
"United States","Iowa","IA"
"United States","Kansas","KS"
"United States","Kentucky","KY"
"United States","Louisiana","LA"
"United States","Maine","ME"
"United States","Maryland","MD"
"United States","Massachusetts","MA"
"United States","Michigan","MI"
"United States","Minnesota","MN"
"United States","Mississippi","MS"
"United States","Missouri","MO"
"United States","Montana","MT"
"United States","Nebraska","NE"
"United States","Nevada","NV"
"United States","New Hampshire","NH"
"United States","New Jersey","NJ"
"United States","New Mexico","NM"
"United States","New York","NY"
"United States","North Carolina","NC"
"United States","North Dakota","ND"
"United States","Ohio","OH"
"United States","Oklahoma","OK"
"United States","Oregon","OR"
"United States","Pennsylvania","PA"
"United States","Rhode Island","RI"
"United States","South Carolina","SC"
"United States","South Dakota","SD"
"United States","Tennessee","TN"
"United States","Texas","TX"
"United States","Utah","UT"
"United States","Vermont","VT"
"United States","Virginia","VA"
"United States","Washington","WA"
"United States","West Virginia","WV"
"United States","Wisconsin","WI"
"United States","Wyoming","WY"
