Organisation,Acronym,Office,Code,Catalog,Asset No,Type,Category,Name,Location,Assigned To,Brand,Model,SN,Supplier,Date,Price,Comments
Los Angeles City Emergency Management Department,EMD,EMD Main Warehouse,,Other Items,,4,Other,Tent,,,,,,,,,
Los Angeles City Emergency Management Department,EMD,EMD Main Warehouse,,Other Items,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
Los Angeles City Emergency Management Department,EMD,EMD Main Warehouse,,Other Items,,4,Equipment & Tools,Air Compressor,,,,,,,,,
Los Angeles City Emergency Management Department,EMD,EMD Main Warehouse,,Other Items,,4,Equipment & Tools,"Computer (Laptops, Monitors, Cables, PC's)",,,,,,,,,
Los Angeles City Emergency Management Department,EMD,EMD Main Warehouse,,Other Items,,4,Equipment & Tools,"Computer (Laptops, Monitors, Cables, PC's)",,,,,,,,,
Los Angeles City Emergency Management Department,EMD,EMD Main Warehouse,,Other Items,,4,Equipment & Tools,"Computer (Laptops, Monitors, Cables, PC's)",,,,,,,,,
Los Angeles City Emergency Management Department,EMD,EMD Main Warehouse,,Other Items,,4,Equipment & Tools,"Computer (Laptops, Monitors, Cables, PC's)",,,,,,,,,
Los Angeles City Emergency Management Department,EMD,EMD Main Warehouse,,Other Items,,1,Equipment & Tools,Helicopter,,,,,,,,,
Los Angeles City Emergency Management Department,EMD,EMD Main Warehouse,,Other Items,,1,Equipment & Tools,Helicopter,,,,,,,,,
Los Angeles City Emergency Management Department,EMD,EMD Main Warehouse,,Other Items,,4,Medical supplies,Wheelchair,,,,,,,,,
Los Angeles City Emergency Management Department,EMD,EMD Main Warehouse,,Other Items,,4,Equipment & Tools,Megaphone/Loudspeaker,,,,,,,,,
Los Angeles City Emergency Management Department,EMD,EMD Main Warehouse,,Other Items,,4,Equipment & Tools,Megaphone/Loudspeaker,,,,,,,,,
Los Angeles City Emergency Management Department,EMD,EMD Main Warehouse,,Other Items,,4,Equipment & Tools,Megaphone/Loudspeaker,,,,,,,,,
Los Angeles City Emergency Management Department,EMD,EMD Main Warehouse,,Other Items,,4,Equipment & Tools,Laboratory/Sampling Equipment,,,,,,,,,
American Red Cross of Greater Los Angeles,ARC,Central Warehouse,,Other Items,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
