"Name","Description","URL","Layers","Folder","Enabled","Base","Transparent","Opacity","Format","Tiled","Map"
"Topography","SRTMv4","http://geo.eden.sahanafoundation.org/geoserver/gwc/service/wms","world:SRTMv4","Topography","False","False","True",0.8,"image/png",,
"GADMv1","GADM Base Layer: L0-L2 Boundaries, Polygon fill, Labels","http://geo.eden.sahanafoundation.org/geoserver/gwc/service/wms","world:gadm1_base",,"False","True",,,"image/jpeg",,
"Admin Boundaries","GADM Overlay: L0-L2 Boundaries, Labels, No Polygon fill","http://geo.eden.sahanafoundation.org/geoserver/gwc/service/wms","world:gadm1_overlays","Admin Boundaries","False","False","True",,"image/png",,
"L2 Boundaries","GADM L2 Overlay: Boundaries, Labels, No Polygon fill","http://geo.eden.sahanafoundation.org/geoserver/gwc/service/wms","world:gadm1_lev2","Admin Boundaries","False","False","True",,"image/png",,
"L1 Boundaries","GADM L1 Overlay: Boundaries, Labels, No Polygon fill","http://geo.eden.sahanafoundation.org/geoserver/gwc/service/wms","world:gadm1_lev1","Admin Boundaries","False","False","True",,"image/png",,
"Country Boundaries","GADM L0 Overlay: Boundaries, Labels, No Polygon fill","http://geo.eden.sahanafoundation.org/geoserver/gwc/service/wms","world:gadm1_lev0","Admin Boundaries","False","False","True",,"image/png",,
"Country Boundaries","GADM L0 Base Layer: Boundaries, Polygon fill, No Labels","http://geo.eden.sahanafoundation.org/geoserver/gwc/service/wms","world:gadm1_lev0_base",,"False","True",,,"image/jpeg",,
"Population Density","GPWv3","http://geo.eden.sahanafoundation.org/geoserver/gwc/service/wms","world:populationDensity","Population","True","False","True",0.8,"image/png",,
"Rainfall (1 day)","TRMM","http://geo.eden.sahanafoundation.org/proxy/service?","TRMM_3B42_V6_DAILY","Weather","False","False","True",0.4,"image/png",,
"Rainfall (10 day)","TRMM","http://geo.eden.sahanafoundation.org/proxy/service?","TRMM_3B42_V6_10_DAY","Weather","False","False","True",0.4,"image/png",,
