Organisation,Acronym,Catalog,GROUP_CODE,GROUP_DESCRIPTION,FAM,FAMILY_DESCRITPION,VEHICLE,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,A,Administration,AUD,Audio Accessories,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,A,Administration,FOD,Food,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,A,Administration,FOR,Forms,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,A,Administration,GAM,Games & Recreational Items,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,A,Administration,IDE,Identification Items,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,A,Administration,MIS,Miscellanous,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,A,Administration,OFE,Office Equipment,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,A,Administration,PAC,Packing Material,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,A,Administration,PER,Personal Items,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,A,Administration,PHO,Photography Access,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,A,Administration,PRM,Promotion Items,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,A,Administration,PRO,Protection,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,A,Administration,SEC,Security Items,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,A,Administration,STA,Stationary,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,A,Administration,VID,Video Accessories,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,C,Radio & Telecom,BUD,FOR Budget,,, 
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,C,Radio & Telecom,CAB,Cables,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,C,Radio & Telecom,CNT,Connector,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,C,Radio & Telecom,HFB,Hf Base,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,C,Radio & Telecom,HFM,Hf Mobile,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,C,Radio & Telecom,HFP,Hf Portable,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,C,Radio & Telecom,MEA,Measuring & Marking,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,C,Radio & Telecom,MIS,Miscellaneous,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,C,Radio & Telecom,REP,Repair,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,C,Radio & Telecom,SAT,Satellite,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,C,Radio & Telecom,TEL,Telephones,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,C,Radio & Telecom,TOO,Tools,,,
