item code,item description,length cm,height cm,width cm,volume litre,weight kg,in EIC
CBUDBEAN01,"BEANS, french, extra thin, tin, per kg",0,0,0,0,0,yes
OOMAMOULEC17,"MOULD, for 1 upper part, for elbow cructch, small L17cm",39.5,29,30,34.365,12.6,yes
AAUDLOUDLSM,LOUDSPEAKER Anchor AN-130 (Mini speaker),0,0,0,0,0,
ASTAPTOUZ621,"(P-Touch label maker) TAPE, YELLOW, 9mm, black lettres",9.5,2.1,7.3,0.1456,0.04,
EELESTAB0175,"VOLTAGE STABILIZER, 3 phases independent 400V/230V, 175 KVA",0,0,0,0,0,yes
OOMAMARPLB25B,"(large belt grinder mod 306) BELT, 250x2000mm, grit 60",30,23.5,2.5,1.7625,4.7,
OOMAMARPSAFOOT,(for all grinder models) SAFETY FOOT SWITCH,29,17,17,8.381,1,
AFODMWAT1.5,"MINERAL WATER, 1.5L bottle",0,0,0,0,0,
AFOROUTW,OUTWARD REGISTER for shipping (50 sheets),29.6,0.8,21.2,0.502,0.32,
APACBAGSD4,"(bag, diplomatic) LEAD SEAL, bag of 100",0,0,0,0,0,
DORAMULT3T,"MULTIVITAMIN ,12 MINERALS & TRACE elements, tabs (Supradyn®)",5,8,5,0.2,0.08,
DORANALA5T,"NALIDIXIC ACID, 500 mg, tab.",0,0,0,0.001584,0.0009,yes
DORAMULT2T,"VITAMIN B compound, CALCIUM, MAGNESIUM,ZINC, tabs (Berocca®)",11,5,9,0.495,0.18,
EGENHONDEU65,"GENERATOR ""Honda"" EU65, 5.5 KVA, 230V, pétrole",0,0,0,0,0,
TXPEMISC,"MISCELLANOUS, Peugeot spareparts",0,0,0,0,0,
TXPETOOLPPSA1,"DIAGNOSIS TOOL, Peugeot Platform 2000 (router)",0,0,0,0,0,
TYAMVMBKY200,"MOTORBIKE, ""YAMAHA"" AG200, trail, 4 stroke engine",0,0,0,0,0,
UADMPFKI04,"ERU, PERSONNAL FIELD KIT, for 4 persons/10 days",0,0,0,0,0,yes
UADMPFKIAMRC,"ERU, Delegate package for 4 person team, American RC",0,0,0,0,450,yes
UCOMPCKI01,"ERU, PERSONNAL COMMUNICATION KIT",0,0,0,0,0,yes
UCOMTELE1,"ERU telecommunication, complete",0,0,0,0,0,
UENGELEC01,"KIT, LIGHTING/ELECTRICITY for BHC, SPRC, incl. generator",0,0,0,0,0,
ULOGBASC,"ERU base camp, complete",0,0,0,0,0,
ULOGLOGI,"ERU logistics, complete",0,0,0,89000,9900,yes
UMEDBHCU1,ERU basic health care unit complete,0,0,0,89000,9900,yes
UMEDHOSP1,ERU referral hospital complete,0,0,0,350000,60000,yes
UMEDHOSPS100,"ERU, Referral Hospital, 100-10 Medical Supplies MODULE, NRC",0,0,0,0,0,
UMEDKREPTBA1,"KIT, TRADITIONAL BIRTH ATTENDANT (TBA)",0,0,0,0,0,
UMEDRDEH1NRC,Rapid Deployment Emergency Hospital,0,0,0,89000,9900,yes
UMSISGYN01,"ERU FRC, SET, GYNAECOLOGY, box 1/2, sterilised, instruments",0,0,0,0,0,
URELRELI1,"ERU relief, complete",0,0,0,0,0,yes
URELRELIAMRC,"ERU relief, American Red Cross, complete",0,0,0,0,0,
UWATMM1540BS,"ERU, Water and Sanitation, BASIC SANITATION for M15/M40",0,0,0,0,0,
VEXTTETR3S,"OXYTETRACYCLINE HYDROCHLORIDE, 3.6% spray",0,0,0,0,0,
VEXTTETR4P,"TETRACYCLINE, 4% powder",0,0,0,0,0,
VINJAMOX3V,AMOXYCILLIN 1.5g + CLOXACILLIN 1.5g vial,0,0,0,0,0,
VINJDEXA2V,"DEXAMETHASONE, 2mg/ml IM/IV vial",0,0,0,0,0,
VINJDIMI1S,"DIMINAZENE, 1.05g IM sachet",0,0,0,0,0,
