Name,Description,URL,Layers,Folder,Enabled,Visible,Base,Transparent,Opacity,Format,Queryable,LegendURL,Tiled,Map
"Population","2010 Census, http://www.census.gov/2010census/ DP0010001","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms","Population",Demographics,True,False,False,True,0.6,"image/png",True,,True,
"Population Density","2010 Census, http://www.census.gov/2010census/ DP0010001 per square mile of land","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms","PopulationDensity",Demographics,True,False,False,True,0.6,"image/png",True,,True,
"Age < 5","2010 Census, http://www.census.gov/2010census/ DP0010002/DP0010001 percentage of population aged under 5","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms","age5",Demographics,True,False,False,True,0.6,"image/png",True,,True,
"Age 5-19","2010 Census, http://www.census.gov/2010census/ DP0010003+DP0010004+DP0010005/DP0010001 percentage of population aged between 5 and 19","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms","age519",Demographics,True,False,False,True,0.6,"image/png",True,,True,
"Age 20-39","2010 Census, http://www.census.gov/2010census/ DP0010006+DP0010007+DP0010008+DP0010009/DP0010001 percentage of population aged between 20 and 39","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms","age2039",Demographics,True,False,False,True,0.6,"image/png",True,,True,
"Age 40-64","2010 Census, http://www.census.gov/2010census/ DP0010010+DP0010011+DP0010012+DP0010013+DP0010014/DP0010001 percentage of population aged between 40 and 64","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms","age4064",Demographics,True,False,False,True,0.6,"image/png",True,,True,
"Age 65-79","2010 Census, http://www.census.gov/2010census/ DP0010015+DP0010016+DP0010017/DP0010001 percentage of population aged between 65 and 79","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms","age6579",Demographics,True,False,False,True,0.6,"image/png",True,,True,
"Age > 80","2010 Census, http://www.census.gov/2010census/ DP0010018+DP0010019/DP0010001 percentage of population aged over 80","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms","age80",Demographics,True,False,False,True,0.6,"image/png",True,,True,
"Alone","2010 Census, http://www.census.gov/2010census/ DP0130011/DP0130001 percentage of households which have somone living alone","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms","alone",Demographics,True,False,False,True,0.6,"image/png",True,,True,
"Children < 18","2010 Census, http://www.census.gov/2010census/ DP0130003/DP0130002 percentage of family households which have children under 18","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms","children",Demographics,True,False,False,True,0.6,"image/png",True,,True,
"Institutionalized Population","2010 Census, http://www.census.gov/2010census/ DP0120015/DP0120001 percentage of population which is institutionalized","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms","institutionalised_population",Demographics,True,False,False,True,0.6,"image/png",True,,True,
"Male Median Age","2010 Census, http://www.census.gov/2010census/ DP0020002","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms","dp0020002",Demographics,True,False,False,True,0.6,"image/png",True,,True,
"Female Median Age","2010 Census, http://www.census.gov/2010census/ DP0020003","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms","dp0020003",Demographics,True,False,False,True,0.6,"image/png",True,,True,
"Owner-occupied Housing Units","2010 Census, http://www.census.gov/2010census/ DP0210002/DP0210001 percentage of occupied housing units which are owner-occupied","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms","owner_occupied_housing_units",Demographics,True,False,False,True,0.6,"image/png",True,,True,
"Vacant Housing Units","2010 Census, http://www.census.gov/2010census/ DP0180003/DP0180001 percentage of housing units which are vacant","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms","vacant_housing_units",Demographics,True,False,False,True,0.6,"image/png",True,,True,
"Flood Zones","FEMA Flood Zones http://dpw.lacounty.gov/wmd/floodzone/","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms","flood",Hazards,True,False,False,True,0.6,"image/png",True,,True,
"Landslide Susceptibility","Landslide Susceptibility ftp://ftp.consrv.ca.gov/pub/dmg/rgmp/MS58/Susdata.zip","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms","laco_suscep",Hazards,True,False,False,True,0.6,"image/png",True,,True,
"Tsunami Indundation","Statewide Indundation Area","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms","tsunami",Hazards,True,False,False,True,0.6,"image/png",True,,True,
"Northridge, 1994","http://earthquake.usgs.gov/earthquakes/shakemap/sc/shake/Northridge","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms","northridge",Earthquakes,True,False,False,True,0.6,"image/png",True,,True,
"San Fernando, 1971","http://earthquake.usgs.gov/earthquakes/shakemap/sc/shake/San_Fernando","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms","san_fernando",Earthquakes,True,False,False,True,0.6,"image/png",True,,True,
"Whittier Narrows, 1987","http://earthquake.usgs.gov/earthquakes/shakemap/sc/shake/Whittier_Narrows","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms","whittier_narrows",Earthquakes,True,False,False,True,0.6,"image/png",True,,True,
"Sierra Madre, 1991","http://earthquake.usgs.gov/earthquakes/shakemap/sc/shake/Sierra_Madre","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms","sierra_madre",Earthquakes,True,False,False,True,0.6,"image/png",True,,True,
"Diamond Bar, 2008","http://earthquake.usgs.gov/earthquakes/shakemap/sc/shake/14383980","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms","diamondbar",Earthquakes,True,False,False,True,0.6,"image/png",True,,True,
"M 6.7 on Verdugo Fault","http://earthquake.usgs.gov/earthquakes/shakemap/sc/shake/Verdugo6.7_se","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms","verdugo67",Earthquakes,True,False,False,True,0.6,"image/png",True,,True,
"M 7.2 aftershock of ShakeOut Earthquake","http://earthquake.usgs.gov/earthquakes/shakemap/sc/shake/ShakeOut2_AS2_se","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms","shakeout2",Earthquakes,True,False,False,True,0.6,"image/png",True,,True,
"M 7.8 ShakeOut Earthquake","http://earthquake.usgs.gov/earthquakes/shakemap/sc/shake/shakeout2_full_se","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms","shakeout2_as2",Earthquakes,True,False,False,True,0.6,"image/png",True,,True,
"M 7.1 on Puente Hills fault","http://earthquake.usgs.gov/earthquakes/shakemap/sc/shake/Puente_Hills_se","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms","puente_hills",Earthquakes,True,False,False,True,0.6,"image/png",True,,True,
"M 6.5 on Raymond fault","http://earthquake.usgs.gov/earthquakes/shakemap/sc/shake/Raymond6.5_se","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms","raymond65",Earthquakes,True,False,False,True,0.6,"image/png",True,,True,
"M 6.8 on Whittier fault","http://earthquake.usgs.gov/earthquakes/shakemap/sc/shake/Whittier6.8_se","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms","whittier68",Earthquakes,True,False,False,True,0.6,"image/png",True,,True,
"M 7.8 repeat of 1857 earthquake on San Andreas fault","http://earthquake.usgs.gov/earthquakes/shakemap/sc/shake/1857_se","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms","sanandreas78",Earthquakes,True,False,False,True,0.6,"image/png",True,,True,
"M 7.1 on Palos Verdes fault","http://earthquake.usgs.gov/earthquakes/shakemap/sc/shake/Palos_Verdes7.1_se","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms",":palos_verdes71",Earthquakes,True,False,False,True,0.6,"image/png",True,,True,
"M 6.9 on Newport-Inglewood fault","http://earthquake.usgs.gov/earthquakes/shakemap/sc/shake/Newport_Inglewood6.9_se","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms","newport_inglewood69",Earthquakes,True,False,False,True,0.6,"image/png",True,,True,
"M 6.6 on Santa Monica fault","http://earthquake.usgs.gov/earthquakes/shakemap/sc/shake/StaMonica6.6_se","http://lacrmt.sahanafoundation.org:8080/geoserver/lacrmt/wms","stamonica66",Earthquakes,True,False,False,True,0.6,"image/png",True,,True,
