Name,Height,Width,Image
marker_red,34,20,"marker_red.png"
camera,12,16,"Camera.small.png"
hospital,25,25,"ersSymbolsV0202/Operations_S1/E_Med_Hospital_S1.small.png"
food,25,25,"ersSymbolsV0202/Operations_S1/Emergency_Food_Distribution_Centers_S1.small.png"
shelter,25,25,"ersSymbolsV0202/Operations_S1/Emergency_Shelters_S1.small.png"
wildfire,25,25,"ersSymbolsV0202/Incidents/Fire_Wild_ch.small.png"
flickr,25,25,"Flickr.small.png"
fuel_green,20,20,"Fuel_Green.small.png"
fuel_red,20,20,"Fuel_Red.small.png"
fuel_yellow,20,20,"Fuel_Yellow.small.png"
hotel,25,25,"Hotel.small.png"
information,25,25,"Info.small.png"
news,24,24,"News.small.png"
airport,25,33,"ersSymbolsV0202/Operations_S1/Trans_Airport_S1.small.png"
helicopter,25,33,"ersSymbolsV0202/Operations_S1/Trans_Helicopter_Landing_Site_S1.small.png"
port,25,33,"ersSymbolsV0202/Operations_S1/Trans_Port_S1.small.png"
rail,25,33,"ersSymbolsV0202/Operations_S1/Trans_Rail_Station_S1.small.png"
twitter,25,25,"Twitter.small.png"
youtube,25,25,"YouTube.small.png"
CNB,25,25,"CNB.small.png"
LASD,29,25,"LASD.small.png"
Target,25,25,"Target.small.png"
Walmart,25,25,"Walmart.small.png"
WellsFargo,28,28,"WellsFargo.small.png"
Westfield,25,28,"Westfield.small.png"
