Organisation,Office,Code,Catalog,Asset No,Type,Category,Name,Room,Assigned To,Brand,Model,SN,Supplier,Date,Price,Comments
Timor-Leste Red Cross Society,Timor-Leste Red Cross Society (CVTL) National Warehouse,,Default,WS-100-01,4,Equipment,Water Purification Unit,,,CleanTec,WPX-800,WPU-2989-8164,,,,
Timor-Leste Red Cross Society,Ainaro Branch Office,,Default,WS-100-02,4,Equipment,Water Purification Unit,,,CleanTec,WPX-800,WPU-6884-8147,,,,
Timor-Leste Red Cross Society,Lospalos Branch Office,,Default,WS-100-03,4,Equipment,Water Purification Unit,,,CleanTec,WPX-800,WPU-7845-1970,,,,
Timor-Leste Red Cross Society,Manatuto Branch Office,,Default,WS-100-04,4,Equipment,Water Purification Unit,,,CleanTec,WPX-800,WPU-1096-2141,,,,
Timor-Leste Red Cross Society,Same Branch Office,,Default,WS-100-05,4,Equipment,Water Purification Unit,,,CleanTec,WPX-800,WPU-8141-8160,,,,
Timor-Leste Red Cross Society,Viqueque Branch Office,,Default,WS-100-06,4,Equipment,Water Purification Unit,,,CleanTec,WPX-800,WPU-4415-3818,,,,
Timor-Leste Red Cross Society,Ainaro Branch Office,,Default,WS-100-07,4,Equipment,Water Purification Unit,,,CleanTec,WPX-800,WPU-5271-7505,,,,
Timor-Leste Red Cross Society,Lospalos Branch Office,,Default,WS-100-08,4,Equipment,Water Purification Unit,,,CleanTec,WPX-800,WPU-6073-3753,,,,
Timor-Leste Red Cross Society,Manatuto Branch Office,,Default,WS-100-09,4,Equipment,Water Purification Unit,,,CleanTec,WPX-800,WPU-9040-8209,,,,
Timor-Leste Red Cross Society,Same Branch Office,,Default,WS-100-10,4,Equipment,Water Purification Unit,,,CleanTec,WPX-800,WPU-3952-7878,,,,
Timor-Leste Red Cross Society,Viqueque Branch Office,,Default,WS-100-11,4,Equipment,Water Purification Unit,,,CleanTec,WPX-800,WPU-8544-2476,,,,
Timor-Leste Red Cross Society,Ainaro Branch Office,,Default,WS-100-12,4,Equipment,Water Purification Unit,,,CleanTec,WPX-800,WPU-8285-2011,,,,
Timor-Leste Red Cross Society,Lospalos Branch Office,,Default,WS-100-13,4,Equipment,Water Purification Unit,,,CleanTec,WPX-800,WPU-1420-9640,,,,
Timor-Leste Red Cross Society,Manatuto Branch Office,,Default,WS-100-14,4,Equipment,Water Purification Unit,,,CleanTec,WPX-800,WPU-5614-2095,,,,
Timor-Leste Red Cross Society,Same Branch Office,,Default,WS-100-15,4,Equipment,Water Purification Unit,,,CleanTec,WPX-800,WPU-5897-4714,,,,
Timor-Leste Red Cross Society,Viqueque Branch Office,,Default,WS-100-16,4,Equipment,Water Purification Unit,,,CleanTec,WPX-800,WPU-7036-3505,,,,
Timor-Leste Red Cross Society,Ainaro Branch Office,,Default,MC-970-01,4,Vehicle,Motorcyle,,,Yamaha,DT50MX,DT-864-592,,,,
Timor-Leste Red Cross Society,Lospalos Branch Office,,Default,MC-970-02,4,Vehicle,Motorcyle,,,Yamaha,DT50MX,DT-793-082,,,,
Timor-Leste Red Cross Society,Manatuto Branch Office,,Default,MC-970-03,4,Vehicle,Motorcyle,,,Yamaha,DT50MX,DT-974-233,,,,
Timor-Leste Red Cross Society,Same Branch Office,,Default,MC-970-04,4,Vehicle,Motorcyle,,,Yamaha,DT50MX,DT-743-893,,,,
Timor-Leste Red Cross Society,Viqueque Branch Office,,Default,MC-970-05,4,Vehicle,Motorcyle,,,Yamaha,DT50MX,DT-974-263,,,,
Timor-Leste Red Cross Society,Ainaro Branch Office,,Default,HR-583-01,4,Communications,Hand Radio,,,Motorola,HU-306,DT-343-796,,,,
