uid,role,description,controller,function,table,entity,uacl,oacl,hidden,system,protected,Notes
ANONYMOUS,Anonymous,,org,organisation,,,READ|CREATE|UPDATE,,,,,Allow new users to create orgs during registration 
ANONYMOUS,Anonymous,,,,org_organisation,,READ|CREATE,,,,,Allow new users to create orgs during registration 
USER,User,,default,index,auth_user,,READ,,,,,Allow users to decode the modified_by field
USER,User,,default,person,,,READ|CREATE|UPDATE,,,,,
USER,User,,default,person,gis_location,,READ|CREATE|UPDATE,,,,,
USER,User,,default,person,pr_saved_search,,,READ|CREATE|UPDATE,,,,
USER,User,,cms,post,,,READ|CREATE|UPDATE,READ|CREATE|UPDATE|DELETE,,,,
USER,User,,cms,post,,any,READ,READ,,,,
USER,User,,,,cms_post,,READ|CREATE|UPDATE,READ|CREATE|UPDATE|DELETE,,,,
USER,User,,,,cms_post,any,READ,READ,,,,
USER,User,,,,cms_series,any,READ,READ,,,,
USER,User,,,,event_event,any,READ,READ,,,,
USER,User,,,,event_event_type,any,READ,READ,,,,
USER,User,,,,event_event_post,any,READ,READ,,,,
USER,User,,,,doc_document,any,READ,READ,,,,
USER,User,,gis,,,,READ,READ,,,,
USER,User,,org,,,,READ|CREATE|UPDATE,READ|CREATE|UPDATE|DELETE,,,,
USER,User,,org,,,any,READ,READ,,,,
USER,User,,project,,,,READ|CREATE|UPDATE,READ|CREATE|UPDATE|DELETE,,,,
USER,User,,project,,,any,READ,READ,,,,
USER,User,,event,,,,READ,READ,,,,
USER,User,,pr,,,any,READ|CREATE|UPDATE,READ|CREATE|UPDATE|DELETE,,,,
USER,User,,pr,,,any,READ,READ,,,,
USER,User,,,,gis_config,,READ|CREATE,READ|UPDATE,,,,
USER,User,,,,gis_layer_bing,,READ,,,,,
USER,User,,,,gis_layer_coordinate,,READ,,,,,
USER,User,,,,gis_layer_empty,,READ,,,,,
USER,User,,,,gis_layer_feature,,READ|CREATE,,,,,
USER,User,,,,gis_layer_geojson,,READ|CREATE,,,,,
USER,User,,,,gis_layer_georss,,READ|CREATE,,,,,
USER,User,,,,gis_layer_google,,READ,,,,,
USER,User,,,,gis_layer_gpx,,READ|CREATE,,,,,
USER,User,,,,gis_layer_kml,,READ|CREATE,,,,,
USER,User,,,,gis_layer_openstretmap,,READ,,,,,
USER,User,,,,gis_layer_theme,,READ|CREATE,,,,,
USER,User,,,,gis_layer_tms,,READ|CREATE,,,,,
USER,User,,,,gis_layer_wfs,,READ|CREATE,,,,,
USER,User,,,,gis_layer_wms,,READ|CREATE,,,,,
USER,User,,,,gis_layer_xyz,,READ|CREATE,,,,,
USER,User,,,,hrm_human_resource,,,READ,,,,
USER,User,,,,hrm_training,,,READ,,,,
USER,User,,,,pr_address,,,READ|CREATE|UPDATE,,,,
USER,User,,,,pr_contact,,,READ|CREATE|UPDATE,,,,
USER,User,,,,pr_contact_emergency,,,READ|CREATE|UPDATE,,,,
USER,User,,,,pr_education,,,READ|CREATE|UPDATE,,,,
USER,User,,,,pr_group_membership,,,READ,,,,
USER,User,,,,pr_identity,,,READ|CREATE|UPDATE,,,,
USER,User,,,,pr_image,,,READ|CREATE|UPDATE,,,,
USER,User,,,,pr_person,,,READ|UPDATE,,,,
USER,User,,,,pr_physical_description,,,READ|CREATE|UPDATE,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_arcrest,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_bing,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_coordinate,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_empty,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_feature,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_geojson,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_georss,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_google,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_gpx,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_kml,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_mgrs,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_openstretmap,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_theme,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_tms,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_wfs,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_wms,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_xyz,,ALL,,,,,
