Name,Height,Width,Image
"marker_red",34,20,"gis_marker.image.marker_red.png"
"activity",34,20,"gis_marker.image.DRMP_Activity.png"
"alert",34,20,"gis_marker.image.DRMP_Alert.png"
"assessment",34,20,"gis_marker.image.DRMP_Assessment.png"
"incident",34,20,"gis_marker.image.DRMP_Incident.png"
"office",34,20,"gis_marker.image.DRMP_Office.png"
"project",34,20,"gis_marker.image.DRMP_Project.png"
"report",34,20,"gis_marker.image.DRMP_Report.png"
"training",34,20,"gis_marker.image.DRMP_Training.png"
"airport",40,40,"gis_marker.image.Logistics_Airport.png"
"seaport",40,40,"gis_marker.image.Logistics_Port.png"
