Name,Description
"Zinc 0,30 Lbr",Lbr
Nail zinc,Kg
Nail 12 cm,Kg
Nail 10 cm,Kg
Nail 7 cm,Kg
Concrete iron 10 mm,Pcs
Concrete iron 8 mm,Pcs
Concrete wire/cord,Roll
Cement,Sack
Aluminium cooking pan 21cmx15cm,No.
Jerry Can 10 Ltr,No.
Plastic Plate 23cm,No.
Water deeper,No.
Plastic Cup 7 cm,No.
Spoon,No.
Matress 180 x 180 cm,No.
Soap 100gr (144/cx),No.
Detergent 210gr (22/cx),No.
Sarong,No.
Mosquito Net,No.
Blanket,No.
Plastic Basin 55cm x 24cm,No.
Rope 20 mtr,No.
Tent 4m x 6m,No.
Towel 125cmx55cm,No.
Rice (sacks),kg
Noodles (Mie Goreng),Box
Sardine,Box
Cooking Oil (1 liter),Box
Milk (Dancow),Box
Biscuit (Aim),Box
