"L1","Demographic","Unit","Date","Value","Country","Source","Source URL"
,"Population, 0-4 years - Female","Persons","1/1/2009 12:00:00 AM",841512,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 0-4 years - Male","Persons","1/1/2009 12:00:00 AM",866996,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 0-4 years - Total","Persons","1/1/2009 12:00:00 AM",1708508,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 10-14 years - Female","Persons","1/1/2009 12:00:00 AM",574099,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 10-14 years - Male","Persons","1/1/2009 12:00:00 AM",581127,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 10-14 years - Total","Persons","1/1/2009 12:00:00 AM",1155226,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 15-19 years - Female","Persons","1/1/2009 12:00:00 AM",604330,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 15-19 years - Male","Persons","1/1/2009 12:00:00 AM",621661,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 15-19 years - Total","Persons","1/1/2009 12:00:00 AM",1225991,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 20-24 years - Female","Persons","1/1/2009 12:00:00 AM",479384,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 20-24 years - Male","Persons","1/1/2009 12:00:00 AM",517007,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 20-24 years - Total","Persons","1/1/2009 12:00:00 AM",996391,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 25-29 years - Female","Persons","1/1/2009 12:00:00 AM",323194,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 25-29 years - Male","Persons","1/1/2009 12:00:00 AM",344997,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 25-29 years - Total","Persons","1/1/2009 12:00:00 AM",668191,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 30-34 years - Female","Persons","1/1/2009 12:00:00 AM",305081,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 30-34 years - Male","Persons","1/1/2009 12:00:00 AM",260720,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 30-34 years - Total","Persons","1/1/2009 12:00:00 AM",565801,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 35-39 years - Female","Persons","1/1/2009 12:00:00 AM",277817,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 35-39 years - Male","Persons","1/1/2009 12:00:00 AM",216535,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 35-39 years - Total","Persons","1/1/2009 12:00:00 AM",494352,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 40-44 years - Female","Persons","1/1/2009 12:00:00 AM",273805,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 40-44 years - Male","Persons","1/1/2009 12:00:00 AM",204559,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 40-44 years - Total","Persons","1/1/2009 12:00:00 AM",478364,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 45-49 years - Female","Persons","1/1/2009 12:00:00 AM",202762,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 45-49 years - Male","Persons","1/1/2009 12:00:00 AM",163816,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 45-49 years - Total","Persons","1/1/2009 12:00:00 AM",366578,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 5-9 years - Female","Persons","1/1/2009 12:00:00 AM",669042,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 5-9 years - Male","Persons","1/1/2009 12:00:00 AM",686211,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 5-9 years - Total","Persons","1/1/2009 12:00:00 AM",1355253,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 50-54 years - Female","Persons","1/1/2009 12:00:00 AM",167118,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 50-54 years - Male","Persons","1/1/2009 12:00:00 AM",147915,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 50-54 years - Total","Persons","1/1/2009 12:00:00 AM",315033,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 55-59 years - Female","Persons","1/1/2009 12:00:00 AM",122576,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 55-59 years - Male","Persons","1/1/2009 12:00:00 AM",118129,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 55-59 years - Total","Persons","1/1/2009 12:00:00 AM",240705,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 60-64 years - Female","Persons","1/1/2009 12:00:00 AM",94724,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 60-64 years - Male","Persons","1/1/2009 12:00:00 AM",87782,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 60-64 years - Total","Persons","1/1/2009 12:00:00 AM",182506,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 65-69 years - Female","Persons","1/1/2009 12:00:00 AM",72237,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 65-69 years - Male","Persons","1/1/2009 12:00:00 AM",66929,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 65-69 years - Total","Persons","1/1/2009 12:00:00 AM",139166,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 70-74 years - Female","Persons","1/1/2009 12:00:00 AM",56714,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 70-74 years - Male","Persons","1/1/2009 12:00:00 AM",54579,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 70-74 years - Total","Persons","1/1/2009 12:00:00 AM",111293,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 75 years and over - Female","Persons","1/1/2009 12:00:00 AM",114373,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 75 years and over - Male","Persons","1/1/2009 12:00:00 AM",99860,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Population, 75 years and over - Total","Persons","1/1/2009 12:00:00 AM",214233,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Distribution of population - Female","Persons","1/1/2009 12:00:00 AM",5547448,"GN","Open Data for Africa","http://opendataforafrica.org/"
