Name,Description,Controller,Function,Marker,GPS Marker,Popup Format,Attributes,Filter,Trackable,Style,Opacity,Folder,Visible,Enabled,Cluster Threshold,Refresh
Cases,,disease,stats_aggregate,,,{location_id}: {sum},"location_id,sum",~.date=2014-11-08&~.location_id$level=L1&~.parameter_id$name=Cases,,"[{'prop':'sum','fillOpacity':0.5}]",0.5,Disease,False,,0,0
Confirmed cases,,disease,stats_aggregate,,,{location_id}: {sum},"location_id,sum",~.date=2014-11-08&~.location_id$level=L1&~.parameter_id$name=Confirmed cases,,"[{'prop':'sum','fillOpacity':0.5}]",0.5,Disease,False,,0,0
Probable cases,,disease,stats_aggregate,,,{location_id}: {sum},"location_id,sum",~.date=2014-11-08&~.location_id$level=L1&~.parameter_id$name=Cases,,"[{'prop':'sum','fillOpacity':0.5}]",0.5,Disease,False,,0,0
Suspected cases,,disease,stats_aggregate,,,{location_id}: {sum},"location_id,sum",~.date=2014-11-08&~.location_id$level=L1&~.parameter_id$name=Suspected cases,,"[{'prop':'sum','fillOpacity':0.5}]",0.5,Disease,False,,0,0
Deaths,,disease,stats_aggregate,,,{location_id}: {sum},"location_id,sum",~.date=2014-11-08&~.location_id$level=L1&~.parameter_id$name=Deaths,,"[{'prop':'sum','fillOpacity':0.5}]",0.5,Disease,False,,0,0
Demographics,For Summary page,stats,demographic_data,,,{location_id}: {value},"location_id,value",,,"[{'prop':'value','fillOpacity':0.5}]",0.5,,False,False,0,0
Disease Statistics,For Summary page,disease,stats_data,,,{location_id}: {value},"location_id,value",,,"[{'prop':'value','fillOpacity':0.5}]",0.5,,False,False,0,0
Hospitals,All Medical Facilities,hms,hospital,hospital,Medical Facility,"{name} (T('Hospital'))","name,status.facility_status",,,"[{'prop':'facility_status','cat':'1','label':'Functioning','externalGraphic':'img/markers/ersSymbolsV0202/Operations_S1/E_Med_Hospital_S1_Green.png'},{'prop':'facility_status','cat':'4','label':'Closed','externalGraphic':'img/markers/ersSymbolsV0202/Operations_S1/E_Med_Hospital_S1_Red.png'},{'prop':'facility_status','cat':'5','label':'Pending','externalGraphic':'img/markers/ersSymbolsV0202/Operations_S1/E_Med_Hospital_S1_Yellow.png'}]",,,False,False,,
ETC,,hms,hospital,hospital,Medical Facility,"{name} (T('ETC'))","name,status.facility_status",~.facility_type=41,,"[{'prop':'facility_status','cat':'1','label':'Functioning','externalGraphic':'img/markers/ersSymbolsV0202/Operations_S1/E_Med_Hospital_S1_Green.png'},{'prop':'facility_status','cat':'4','label':'Closed','externalGraphic':'img/markers/ersSymbolsV0202/Operations_S1/E_Med_Hospital_S1_Red.png'},{'prop':'facility_status','cat':'5','label':'Pending','externalGraphic':'img/markers/ersSymbolsV0202/Operations_S1/E_Med_Hospital_S1_Yellow.png'}]",,,False,,,
Triage,,hms,hospital,hospital,Medical Facility,"{name} (T('Triage'))","name,status.facility_status",~.facility_type=42,,"[{'prop':'facility_status','cat':'1','label':'Functioning','externalGraphic':'img/markers/ersSymbolsV0202/Operations_S1/E_Med_Hospital_S1_Green.png'},{'prop':'facility_status','cat':'4','label':'Closed','externalGraphic':'img/markers/ersSymbolsV0202/Operations_S1/E_Med_Hospital_S1_Red.png'},{'prop':'facility_status','cat':'5','label':'Pending','externalGraphic':'img/markers/ersSymbolsV0202/Operations_S1/E_Med_Hospital_S1_Yellow.png'}]",,,False,,,
Holding Center,,hms,hospital,hospital,Medical Facility,"{name} (T('Holding Center'))","name,status.facility_status",~.facility_type=43,,"[{'prop':'facility_status','cat':'1','label':'Functioning','externalGraphic':'img/markers/ersSymbolsV0202/Operations_S1/E_Med_Hospital_S1_Green.png'},{'prop':'facility_status','cat':'4','label':'Closed','externalGraphic':'img/markers/ersSymbolsV0202/Operations_S1/E_Med_Hospital_S1_Red.png'},{'prop':'facility_status','cat':'5','label':'Pending','externalGraphic':'img/markers/ersSymbolsV0202/Operations_S1/E_Med_Hospital_S1_Yellow.png'}]",,,False,,,
Transit Center,,hms,hospital,hospital,Medical Facility,"{name} (T('Transit Center'))","name,status.facility_status",~.facility_type=44,,"[{'prop':'facility_status','cat':'1','label':'Functioning','externalGraphic':'img/markers/ersSymbolsV0202/Operations_S1/E_Med_Hospital_S1_Green.png'},{'prop':'facility_status','cat':'4','label':'Closed','externalGraphic':'img/markers/ersSymbolsV0202/Operations_S1/E_Med_Hospital_S1_Red.png'},{'prop':'facility_status','cat':'5','label':'Pending','externalGraphic':'img/markers/ersSymbolsV0202/Operations_S1/E_Med_Hospital_S1_Yellow.png'}]",,,False,,,
PoIs,,gis,poi,,,"{name} ({poi_type_id})","name,poi_type_id",,,,,,,False
