"uid","role"," description","controller","function","table","uacl","oacl","entity","Notes"
"ANONYMOUS","Anonymous",,"cr",,,"READ",,"any",
"ANONYMOUS","Anonymous",,"hms",,,"READ",,"any",
"ANONYMOUS","Anonymous",,"inv",,,"READ",,"any",
"ANONYMOUS","Anonymous",,"inv","warehouse",,"READ",,"any",
"ANONYMOUS","Anonymous",,"org",,,"READ",,"any",
"ANONYMOUS","Anonymous",,"project",,,"READ",,"any",
"ANONYMOUS","Anonymous",,"transport",,,"READ",,"any",
"ANONYMOUS","Anonymous",,"gis",,,"READ",,"any",
"ANONYMOUS","Anonymous",,"gis","layer_arcrest",,"READ",,"any",
"ANONYMOUS","Anonymous",,"gis","layer_bing",,"READ",,"any",
"ANONYMOUS","Anonymous",,"gis","layer_coordinate",,"READ",,"any",
"ANONYMOUS","Anonymous",,"gis","layer_empty",,"READ",,"any",
"ANONYMOUS","Anonymous",,"gis","layer_feature",,"READ",,"any",
"ANONYMOUS","Anonymous",,"gis","layer_geojson",,"READ",,"any",
"ANONYMOUS","Anonymous",,"gis","layer_georss",,"READ",,"any",
"ANONYMOUS","Anonymous",,"gis","layer_google",,"READ",,"any",
"ANONYMOUS","Anonymous",,"gis","layer_gpx",,"READ",,"any",
"ANONYMOUS","Anonymous",,"gis","layer_kml",,"READ",,"any",
"ANONYMOUS","Anonymous",,"gis","layer_openstretmap",,"READ",,"any",
"ANONYMOUS","Anonymous",,"gis","layer_theme",,"READ",,"any",
"ANONYMOUS","Anonymous",,"gis","layer_tms",,"READ",,"any",
"ANONYMOUS","Anonymous",,"gis","layer_wfs",,"READ",,"any",
"ANONYMOUS","Anonymous",,"gis","layer_wms",,"READ",,"any",
"ANONYMOUS","Anonymous",,"gis","layer_xyz",,"READ",,"any",
"AUTHENTICATED","Anonymous",,"pr","pentity",,"READ",,"any",
"AUTHENTICATED","Anonymous",,"pr","person_search",,"READ",,"any","Custom Controller to allow access to PR via JSON for AutoComplete"
"reader","Reader",,"asset",,,"READ",,"any",
"reader","Reader",,"cr",,,"READ",,"any",
"reader","Reader",,"hrm",,,"READ",,"any",
"reader","Reader",,"hrm","certificate",,"READ",,"any",
"reader","Reader",,"hrm","course",,"READ",,"any",
"reader","Reader",,"hrm","human_resource",,"READ",,"any",
"reader","Reader",,"hrm","job_role",,"READ",,"any",
"reader","Reader",,"pr",,,"READ",,"any",
"reader","Reader",,"supply",,,"READ",,"any",
"data_entry","Data Entry",,"asset",,,"READ|CREATE","READ|CREATE|UPDATE",,
"data_entry","Data Entry",,"cr",,,"READ|CREATE","READ|CREATE|UPDATE",,
"data_entry","Data Entry",,"hms",,,"READ|CREATE","READ|CREATE|UPDATE",,
"data_entry","Data Entry",,"hrm",,,"READ|CREATE","READ|CREATE|UPDATE",,
"data_entry","Data Entry",,"hrm","certificate",,"READ","READ","any",
"data_entry","Data Entry",,"hrm","course",,"READ","READ","any",
"data_entry","Data Entry",,"hrm","human_resource",,"READ",,"any",
"data_entry","Data Entry",,"hrm","job_role",,"READ","READ","any",
"data_entry","Data Entry",,"inv",,,"READ|CREATE","READ|CREATE|UPDATE",,
"data_entry","Data Entry",,"inv","warehouse",,"READ",,"any",
"data_entry","Data Entry",,"org",,,"READ|CREATE","READ|CREATE|UPDATE",,
"data_entry","Data Entry",,"pr",,,"READ|CREATE","READ|CREATE|UPDATE",,
"data_entry","Data Entry",,"project",,,"READ|CREATE","READ|CREATE|UPDATE",,
"data_entry","Data Entry",,"supply",,,"READ|CREATE","READ|CREATE|UPDATE",,
