"Name","Description","Type","Config","Folder","Enabled","Visible"
"Current Weather",,"city",Default,"Weather","True","False"
"Current Weather",,"city",Burundi,"Weather","True","False"
"Current Weather",,"city",CAR,"Weather","True","False"
"Current Weather",,"city",Chad,"Weather","True","False"
"Current Weather",,"city",Kenya,"Weather","True","False"
"Weather Stations",,"station",Default,"Weather","True","False"
"Weather Stations",,"station",Burundi,"Weather","True","False"
"Weather Stations",,"station",CAR,"Weather","True","False"
"Weather Stations",,"station",Chad,"Weather","True","False"
"Weather Stations",,"station",Kenya,"Weather","True","False"
