Type,Name,Comments
Patente di Guida,"Guida - Motocicli"
Patente di Guida,"Guida - Macchina"
Patente di Guida,"Guida - Tipo AM (14 anni)","Ciclomotori a due ruote, Veicoli a tre ruote, Quadricicli leggeri. Velocità massima 45 km/h e cilindrata inferiore o uguale a 50 cm cubici"
Patente di Guida,"Guida - Tipo A1 (16 anni)","Motocicli, Tricicli, Macchine Agricole. Potenza massima di 11 kW (Motocicli) e 15 kW (Tricicli)"
Patente di Guida,"Guida - Tipo A2 (18 anni)","Motocicli. Potenza non superiore a 35 kW"
Patente di Guida,"Guida - Tipo A (20 o 21 Anni)","Tricicli o Motocicli. Potenza superiore a 15 kW, velocità massima superiore a 45 km/h"
Patente di Guida,"Guida - Tipo B1 (16 anni)","Quadricicli. Massa inferiore o pari a 400 kg (550 kg per veicoli destinati al trasporto di merci, potenza massima del motore inferiore o uguale a 15 kW"
Patente di Guida,"Guida - Tipo B/B96 (18 anni)","Autoveicoli o macchine Agricole. Massa massima autorizzata 3500 kg e progettati per il trasporto di non più di otto persone oltre al conducente. Può essere agganciato un rimorchio."
Patente di Guida,"Guida - Tipo BE (18 anni)","Veicoli con motrice della categoria B e con un rimorchio o semirimorchio. Massa massima del rimorchio non superiore a 3500 kg."
Patente di Guida,"Guida - Tipo C1 (18 anni)","Autoveicoli progettati per il trasporto di non più di otto persone oltre al conducente. Massa massima autorizzata superiore a 3500 kg, ma non superiore a 7500 kg; può essere agganciato un rimorchio la cui massa massima autorizzata non sia superiore a 750 kg."
Patente di Guida,"Guida - Tipo C1E (18 anni)","Veicoli con motrice di categoria C1 o B. Massa massima autorizzata per il rimorchio è 750 Kg (C1) o 3500 Kg (B), nel complesso non devono superare i 12000 Kg"
Patente di Guida,"Guida - Tipo C (21 anni)","Autoveicoli per il trasporto di non più di otto persone oltre al conducente. Può essere agganciato un rimorchio la cui massa massima autorizzata non sia superiore a 750 kg"
Patente di Guida,"Guida - Tipo CE (21 anni)","Veicoli con motrice di tipo C e con un rimorchio o semirimorchio. Massa massima autorizzata 750 kg"
Patente di Guida,"Guida - Tipo D1 (21 anni)","Autoveicoli progettati per il trasporto di non più di 16 persone, oltre al conducente. Lunghezza massima di 8 metri, può essere agganciato un rimorchio la cui massa massima autorizzata non superi 750 kg."
Patente di Guida,"Guida - Tipo D1E (21 anni)","Veicoli con motrice di tipo D1 e da un rimorchio. Massa massima autorizzata per il rimorchio è 750 Kg"
Patente di Guida,"Guida - Tipo D (24 anni)","Autoveicoli progettati per il trasporto di più di otto persone oltre al conducente, può essere agganciato un rimorchio. Massa massima autorizzata per il rimorchio è 750 kg"
Patente di Guida,"Guida - Tipo DE (24 anni)","Veicoli con motrice di tipo D e da un rimorchio. Massa massima autorizzata per il rimorchio è 750 Kg"
Patente di Guida,"Guida - Tipo KA (21 anni)","Motoveicoli di massa complessiva fino ad 1,3 tonnellate. Servizio di noleggio con conducente."
Patente di Guida,"Guida - Tipo KB (21 anni)","Motoveicoli di massa complessiva oltre 1,3 tonnellate e taxi. Servizio di noleggio con conducente."
Patente di Guida,"Guida - Tipo CQC Persone (21 anni)","Veicoli della categoria D1, D e/o D+E in servizio pubblico di linea o di noleggio con conducente"
Patente di Guida,"Guida - Tipo CQC Merci (21 anni)","Veicoli della categoria C1, C e/o C+E per trasporto professionale"
Patente di Guida,"Guida - Tipo CFP","ADR Tipo B / A o B+esplosivi / B+radioattivi (Veicoli che trasportano merci pericolose)"
