Name,Description,Controller,Function,Symbology,Marker,GPS Marker,Popup Label,Popup Fields,Filter,Site,Trackable,Folder,Visible,Enabled
"PointOfInterest","All Points of interest","gis","poi","US","marker_green","Navaid, Red","POI","name",,,,"Application Points","False","True"
"Airports","All Active Airports","transport","airport","US","airport","Airport","Airport","name","~.obsolete=False",,,"Assets","False","True"
"Heliports","All Active Heliports","transport","heliport","US","helicopter","Heliport","Heliport","name","~.obsolete=False",,,"Assets","False","False"
"Health Facilities","All Active Health Facilities","hms","hospital","US","hospital","Medical Facility","Health Facility","name","~.obsolete=False",,,"Assets","False","True"
"Incident Reports",,"irs","ireport","US","incident","Danger Area","Incident_report","name,category",,,,"Application Points","False","False"
"All Offices","All Active Offices","org","office","US","office","Building","Office","name,organisation_id","~.obsolete=False",,,"Assets","False",True
"Projects",,"project","location","US","project",,"Project","name,location_id,multi_activity_type_id","~.status_id=1",,,"Application Points","False","True"
"Requests","All Open Requests","req","req","US","request","Navaid, Red","Request","req_ref,site_id","~.fulfil_status__ne=2","True",,"Application Points","False","False"
"Seaports","All Active Seaports","transport","seaport","US","port","Marina","Seaport","name","~.obsolete=False",,,"Assets","False",True
"Shelters","All Active Shelters","cr","shelter","US","shelter","Building","Shelter","name,population,capacity_night,population","~.obsolete=False",,,"Assets","False",True
"Staff","All Active Staff","hrm","staff","US","staff","Contact, Dreadlocks","Staff","person_id,organisation_id","~.status=1",,"True","Human Resources","False",True
"Stock Items","Used for Search Results","inv","inv_item","US",,,"Stock Item","item_id,site_id,quantity,item_pack_id,expiry_date",,,,"Application Points","False",True
"Training Events","Used for Search Results","hrm","training_event","US",,,"Training Event","course_id,site_id,start_date",,,,"Application Points","False","False"
"Vehicles",,"vehicle","vehicle","US","vehicle","Car","Vehicle","number,person_id","asset.type=1",,"True","Assets","False",True
"Volunteers","All Active Volunteers","vol","volunteer","US","volunteer","Contact, Dreadlocks","Volunteer","person_id,organisation_id","~.status=1",,"True","Human Resources","False",True
"Warehouses","All Active Warehouses","inv","warehouse","US","warehouse","Building","Office","name,organisation_id","~.obsolete=False",,,"Assets","False",True
