"uid","role"," description","controller","function","table","uacl","oacl","entity","Notes"
"AUTHENTICATED","Authenticated",,"org",,,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis",,,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis","layer_arcrest",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis","layer_bing",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis","layer_coordinate",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis","layer_empty",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis","layer_feature",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis","layer_geojson",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis","layer_georss",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis","layer_google",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis","layer_gpx",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis","layer_kml",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis","layer_openstretmap",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis","layer_theme",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis","layer_tms",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis","layer_wfs",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis","layer_wms",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis","layer_xyz",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"pr","pentity",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"pr","person_search",,"READ",,"any","Custom Controller to allow access to PR via JSON for AutoComplete"
"AUTHENTICATED","Authenticated",,"supply",,,"READ",,"any",
"super","Super Editor",,"hrm",,,"READ|CREATE|UPDATE|DELETE",,,
"super","Super Editor",,"hrm","human_resource",,"READ|CREATE|UPDATE|DELETE",,,
"super","Super Editor",,"hrm","job_role",,"READ|CREATE|UPDATE|DELETE",,,
"super","Super Editor",,"inv",,,"READ|CREATE|UPDATE|DELETE",,,
"super","Super Editor",,"inv","warehouse",,"READ|CREATE|UPDATE|DELETE",,,
"super","Super Editor",,"org",,,"READ|CREATE|UPDATE|DELETE",,,
"super","Super Editor",,"pr",,,"READ|CREATE|UPDATE|DELETE",,,
"super","Super Editor",,"supply",,,"READ|CREATE|UPDATE|DELETE",,,
