Name,Height,Width,Image
marker_red,34,20,marker_red.png
marker_yellow,34,20,marker_yellow.png
marker_amber,34,20,marker_amber.png
marker_green,34,20,marker_green.png
assessment,27,16,IFRC/Assessment.png
asset,27,16,IFRC/Asset.png
incident,27,16,IFRC/Incident.png
member,27,16,IFRC/Member.png
office,27,16,IFRC/Office.png
project,27,16,IFRC/Project.png
staff,27,16,IFRC/Staff.png
volunteer,27,16,IFRC/Volunteer.png
warehouse,27,16,IFRC/Warehouse.png
person,50,50,ersSymbolsV0202/Incidents/Civil_Disturbance_Theme.png
school,33,44,ersSymbolsV0202/Infrastructures_S1/Edu_Schools_S1.png
food,40,40,ersSymbolsV0202/Operations_S1/Emergency_Food_Distribution_Centers_S1.png
shelter,40,40,ersSymbolsV0202/Operations_S1/Emergency_Shelters_S1.png
hospital,40,40,ersSymbolsV0202/Operations_S1/E_Med_Hospital_S1.png
earthquake,50,50,ersSymbolsV0202/Natural_Events/Geo_Earth_Quake_Epicenter.png
volcano,50,50,ersSymbolsV0202/Natural_Events/Geo_Volcanic_Threat.png
flood,50,50,ersSymbolsV0202/Natural_Events/Hydro_Meteor_Flood.png
tsunami,50,50,ersSymbolsV0202/Natural_Events/Hydro_Meteor_Tsunami_ch.png
church,33,44,ersSymbolsV0202/Infrastructures_S1/Public_Venue_Church_S1.png
mosque,33,44,ersSymbolsV0202/Infrastructures_S1/Public_Venue_Mosque_S1.png
temple,33,44,ersSymbolsV0202/Infrastructures_S1/Public_Venue_Temple_S1.png
orphanage,33,44,ersSymbolsV0202/Infrastructures_S1/Special_Needs_Child_Day_Care_S1.png
airport,33,44,ersSymbolsV0202/Infrastructures_S1/Trans_Airport_S1.png
bridge,33,44,ersSymbolsV0202/Infrastructures_S1/Trans_Bridge_S1.png
helicopter,33,44,ersSymbolsV0202/Infrastructures_S1/Trans_Helicopter_Landing_Site_S1.png
port,33,44,ersSymbolsV0202/Infrastructures_S1/Trans_Port_S1.png
rail_station,33,44,ersSymbolsV0202/Infrastructures_S1/Trans_Rail_Station_S1.png
vehicle,50,50,ersSymbolsV0202/Incidents/Transport_Vehicle_Theme.png
water,33,44,ersSymbolsV0202/Infrastructures_S1/Water_Supply_Infrastructure_Theme_S1.png
