Parent,Name,Comments
Africa,Sahel,
Africa,Central Africa,
Africa,East Africa,
Africa,Indian Ocean,
Africa,Southern Africa,
Africa,West Coast,
Americas,Caribbean,
Americas,Central America,
Americas,North America,
Americas,South America,
Asia Pacific,East Asia,
Asia Pacific,Pacific,
Asia Pacific,South Asia,
Asia Pacific,South East Asia,
Europe and Central Asia,"Belarus, Russian Federation, Ukraine, Moldova",
Europe and Central Asia,Central and Southern Europe,
Europe and Central Asia,Central Asia,
Europe and Central Asia,Turkey and southern Caucasus,
Europe and Central Asia,Western Europe,
Middle East and North Africa,North Africa,
Middle East and North Africa,Middle East,
Middle East and North Africa,Gulf,
