"Organisation","Branch","Acronym","Type","Region","Country","Website","Twitter","Domain"
"International Federation of Red Cross and Red Crescent Societies",,"IFRC","Red Cross / Red Crescent",,,"http://www.ifrc.org","Federation","ifrc.org"
"Afghan Red Crescent Society",,"ARCS","Red Cross / Red Crescent","South Asia","AF","http://www.arcs.org.af",,"arcs.org.af"
"American Red Cross",,,"Red Cross / Red Crescent","America","US","http://www.redcross.org",,"arcla.org"
"Australian Red Cross",,,"Red Cross / Red Crescent","Pacific","AU","http://www.redcross.org.au",,"redcross.org.au"
"Bangladesh Red Crescent Society",,"BDRCS","Red Cross / Red Crescent","South Asia","BD","http://www.bdrcs.org.bd",,"bdrcs.org.bd"
"Brunei Darussalam Red Crescent Society",,,"Red Cross / Red Crescent","South East Asia","BN",,,
"Cambodian Red Cross Society",,"CRC","Red Cross / Red Crescent","South East Asia","KH","http://www.redcross.org.kh",,"redcross.org.kh"
"Cook Islands Red Cross",,,"Red Cross / Red Crescent","Pacific","CK","http://www.redcross.org.ck",,"redcross.org.ck"
"Fiji Red Cross Society",,,"Red Cross / Red Crescent","Pacific","FJ","http://www.redcross.com.fj",,"redcross.com.fj"
"Finnish Red Cross",,"FRC","Red Cross / Red Crescent","Europe","FI","http://www.redcross.fi","PunainenRisti","punainenristi.fi"
"Hong Kong Red Cross",,,"Red Cross / Red Crescent","East Asia","HK","http://www.redcross.org.hk",,"redcross.org.hk"
"Indian Red Cross Society",,,"Red Cross / Red Crescent","South Asia","IN","http://www.indianredcross.org",,"indianredcross.org"
"Indonesian Red Cross Society",,"PMI","Red Cross / Red Crescent","South East Asia","ID","http://www.pmi.or.id/ina",,"pmi.or.id"
"Japanese Red Cross Society",,"JRC","Red Cross / Red Crescent","East Asia","JP","http://www.jrc.or.jp",,"jrc.or.jp"
"Kiribati Red Cross Society",,,"Red Cross / Red Crescent","Pacific","KI",,,
"Lao Red Cross",,,"Red Cross / Red Crescent","South East Asia","LA","http://www.laoredcross.org",,"laoredcross.org"
"Malaysian Red Crescent Society",,,"Red Cross / Red Crescent","South East Asia","MY","http://www.redcrescent.org.my",,"redcrescent.org.my"
"Maldivian Red Crescent",,,"Red Cross / Red Crescent","South Asia","MV","http://www.redcrescent.org.mv",,"redcrescent.org.mv"
"Micronesia Red Cross Society",,,"Red Cross / Red Crescent","Pacific","FM",,,
"Mongolian Red Cross Society",,,"Red Cross / Red Crescent","East Asia","MN","http://www.redcross.mn",,"redcross.mn"
"Myanmar Red Cross Society",,"MRCS","Red Cross / Red Crescent","South East Asia","MM","http://www.myanmarredcross.org.mm",,"redcross.org.mm"
"Nepal Red Cross Society",,"NRCS","Red Cross / Red Crescent","South Asia","NP","http://www.nrcs.org",,"nrcs.org"
"New Zealand Red Cross",,,"Red Cross / Red Crescent","Pacific","NZ","http://www.redcross.org.nz",,"redcross.org.nz"
"Pakistan Red Crescent Society",,"PRCS","Red Cross / Red Crescent","South Asia","PK","http://www.prcs.org.pk",,"prcs.org.pk"
"Palau Red Cross Society",,,"Red Cross / Red Crescent","Pacific","PW",,,
"Papua New Guinea Red Cross Society",,,"Red Cross / Red Crescent","Pacific","PG",,,
"Philippine Red Cross",,"PRC","Red Cross / Red Crescent","South East Asia","PH","http://www.redcross.org.ph",,"redcross.org.ph"
"Red Cross of Viet Nam",,,"Red Cross / Red Crescent","South East Asia","VN","http://www.redcross.org.vn",,"redcross.org.vn"
"Red Cross Society of China",,,"Red Cross / Red Crescent","East Asia","CN","http://www.redcross.org.cn",,"redcross.org.cn"
"Red Cross Society of the Democratic People's Republic of Korea",,,"Red Cross / Red Crescent","East Asia","KP",,,
"Republic of Korea National Red Cross",,,"Red Cross / Red Crescent","East Asia","KR","http://redcross.or.kr",,"redcross.or.kr"
"Samoa Red Cross Society",,,"Red Cross / Red Crescent","Pacific","WS","http://www.redcross.org.ws",,"redcross.org.ws"
"Singapore Red Cross Society",,,"Red Cross / Red Crescent","South East Asia","SG","http://redcross.org.sg",,"redcross.org.sg"
"Solomon Islands Red Cross",,,"Red Cross / Red Crescent","Pacific","SB","http://solomonredcross.blogspot.com",,
"Sri Lanka Red Cross Society",,,"Red Cross / Red Crescent","South Asia","LK","http://www.redcross.lk",,"redcross.lk"
"Thai Red Cross Society",,,"Red Cross / Red Crescent","South East Asia","TH","http://www.redcross.or.th",,"redcross.or.th"
"Timor-Leste Red Cross Society",,"CVTL","Red Cross / Red Crescent","South East Asia","TL","http://www.redcross.tl",,"redcross.tl"
"Tonga Red Cross Society",,,"Red Cross / Red Crescent","Pacific","TO",,,
"Vanuatu Red Cross Society",,,"Red Cross / Red Crescent","Pacific","VU",,,
