Name,Comments,Sector:Health,Sector:DRR,Sector:Od,Sector:Watsan,Sector:Livelihoods,Sector:Shelter,Notes
Advocacy,,,,,,,,
Assessment and Community/Beneficiary Identification,,,,,,,,
Auxiliary Role,,,,,,,,
Awareness Raising,,,,,,,,
Bdrt (Branch Disaster Response Teams),,,Yes,,,,,
Behaviour Change Communication,,,,,,,,
Better Programming Initiative Guidance,,,,,,,,
Blood Banking,,Yes,,,,,,
Blood Donor Recruitment,,Yes,,,,,,
Boq and Cost Estimation,,,,,,,Yes,
Branch Planning,,,,Yes,,,,
Capacity Building,,,,,,,,
Capacity Building of Governance,,,,Yes,,,,
Capacity Building of Management Staff,,,,Yes,,,,
Capacity Building of Staff,,,,,,,,
Capacity Building of Volunteers,training and mobilisation,,,,,,,
Catchment Protection,,,,,Yes,,,
CDRT (Community Disaster Response Teams),,,,Yes,,,,
Children's Education,,,,,,,,
Clean-Up Campaign,,,,,Yes,,,
Climate Change Adaptation ,,,,,,,,
Climate Change Mitigation,,,,,,,,
Club 25 / Pledge 25,,Yes,,,,,,
Coastal Conservation ,,,Yes,,,,,
Community Action Planning,,,,,,,,DRR
Community Based Health and First Aid (Cbhfa),,Yes,,,,,,
Community Disaster Awareness,,,Yes,,,,,
Community Early Warning Systems,,,Yes,,,,,
Community Health Committees,,Yes,,,,,,
Community Health Initiative/Projects,,Yes,,,,,,
Community Health Risk Assessments,,Yes,,,,,,
Community Mobilisation,,,,,,,,
Community Organisation,,,,,,,,
Community Preparedness,,Yes,Yes,,,,,
Construction Activities,,,,,,,Yes,
Construction of Water Supply Systems,"gravity-fed, shallow wells, boreholes",,,,Yes,,,
Contingency/Preparedness Planning,,,,,,,,
Contractual Agreements (Community/Individual),,,,,,,Yes,
Contractual Agreements (Governmental),,,,,,,Yes,
Coordination and Partnerships,,,,,,,,
Database Development,,,,,,,,
Desluding ,,,,,Yes,,,
Disaster Law,,,,,,,,
Disease Prevention,,Yes,,,,,,
Distribution of Food,,,,,,,,
Distribution of Non-Food Items,,,,,,,,
DM Planning,,,,,,,,
Early Warning Systems,,,Yes,,,,,
Education & Advocacy,,,Yes,,,,,
Emergency Householdwater Treatment and Storage,,,,,Yes,,,
Emergency Water Supply,,,,,Yes,,,
Enterprise Development Training ,"Financial, Planning, etc",,,,,Yes,,
Evacuation Drills,,Yes,,,,,,
Feeding Programmes,,Yes,,,,,,
Financial Risk Sharing ,"community funds, etc",,Yes,,,,,
Financial Services,"savings, credit, insurance",,,,,Yes,,
First Aid,,Yes,,,,,,
Food Security ,,,,,,,,
Food Supplementation,,Yes,,,,,,
Hand Washing Facilities,,,,,Yes,,,
"Health Awareness, Promotion",,Yes,,,,,,
Health Facilities - Construction and Operation,,Yes,,,,,,
"Health Policy, Strategy Development",,Yes,,,,,,
House Design,,,,,,,Yes,
IEC Materials,,,,,,,,
Immunisation Campaigns,,Yes,,,,,,
Improved Production Techniques,"demonstration, training and support",,,,,Yes,,
Infant and Young Child Feeding,,Yes,,,,,,
Installation of Rainwater Harvesting Systems,,,,,Yes,,,
Insurance ,,,Yes,,,,,
Irrigation and Watershed Management,,,,,,Yes,,
Knowledge Management ,,,,,,,,
Latrine Construction,emergency and permanent,,,,Yes,,,
Legal Approvals,,,,,,,Yes,
Logistics & Warehouses,,,,,,,,
Mainstreaming DRR,,,,,,,,DRR
"Markets/Marketing Analysis, Linkages and Support",,,,,,Yes,,
Medical Supplies and Equipment,,Yes,,,,,,
Mobile Health Units,,Yes,,,,,,
Monitoring and Evaluation,,Yes,,,,,,
NDRT (National Disaster Response Teams),,,,,,,,DRR
Nutrition,,,,,,,,
Nutritional Assessments,,Yes,,,,,,
Organisational Preparedness – Nhq and Branches,,Yes,,,,,,
Participatory Hygiene Promotion,,Yes,,,Yes,,,
Peer Support,,Yes,,,,,,
Planning and Construction of Drainage Systems ,,,,,Yes,,,
Policy Development,,,,Yes,,,,
Post Harvest Storage and Management,,,,,,Yes,,
"Programme Preparation and Action Plan, Budget & Schedule",,,,,,,,
Project Assessments and Planning,,,,,,,,
Provision of Inputs,"seeds, tools, fertilizers, fishing nets, other equipment for livelihoods activities",,,,,Yes,,
Provision of Tools and Equipment,,,,,,,,
Psychosocial Support,tools/guidelines/trainings in cross-cultural contexts,Yes,,,,,,
"Rangeland, Fisheries and Forest Management",,,,,,Yes,,
RDRT (Regional Disaster Response Teams),,,Yes,,,,,
Referral,,Yes,,,,,,
Resource Transfers for Acquiring Assets,"cash, voucher, food aid",,,,,Yes,,
Resource Transfers for Replacing/ Provisioning Or Consumption,"cash, vouchers, food aid",,,,,Yes,,
Risk Management and Quality Assurance,,Yes,,,,,,
Risk Transfer,,,,,,,,
Sanitation,,,,,,,,
School RC Units Development,,,,Yes,,,,
"School Safety and Children Education,",,,Yes,,,,,
Simulation ,,,Yes,,,,,
Site Planning,,,,,,,Yes,
Site Selection,,,,,,,Yes,
Situation Monitoring/Community Surveillance,,Yes,,,,,,
Small Scale Mitigation,,,Yes,,,,,
Social Mobilisation,,,,,,,Yes,
Solid Waste Management,,,,,Yes,,,
Sops and Guidelines Development,,,,,,,,
Spraying of Vectors,,,,,Yes,,,
"Stockpiling, Prepositioning of Supplies",,Yes,,,,,,
Strategy Development,,,,Yes,,,,
Tools and Guidelines Development,,,,,,,,
Training ,,,,Yes,,,,
Training of Community/First Responders ,,Yes,,,,,,
Training of Master Trainers/Trainers,,Yes,,,,,,
Tree  and Mangrove Planting ,,,Yes,,,,,
VCA (Vulnerability and Capacity Assessment),,,,,,,,
Vector Control,,Yes,,,,,,
Vocational Training and Employment Skills,,,,,,Yes,,
Volunteer Insurance,,,,Yes,,,,
Volunteer Recognition,,,,Yes,,,,
Volunteer Recruitment,normal and ViE too,,,Yes,,,,
Volunteer Training,,Yes,,,,,,
Volunteering in Emergencies Guidelines/Toolkit,,,Yes,,,,,
Volunteering in Pandemic Emergency Situations,,Yes,,,,,,
Water Testing,,,,,Yes,,,
Youth Leadership Development,,,,Yes,,,,
