"Layer","Country","L1","L2","L3","Value"
"Sucos","TL","Aileu","Aileu Vila","Aisirimou","0.357367"
"Sucos","TL","Aileu","Aileu Vila","Bandudato","0.290598"
"Sucos","TL","Aileu","Aileu Vila","Fahiria","0.352941"
"Sucos","TL","Aileu","Aileu Vila","Fatubosa","0.813953"
"Sucos","TL","Aileu","Aileu Vila","Hoholau","0.587302"
"Sucos","TL","Aileu","Aileu Vila","Lahae","0.289916"
"Sucos","TL","Aileu","Aileu Vila","Lausi","0.643564"
"Sucos","TL","Aileu","Aileu Vila","Saboria","0.288288"
"Sucos","TL","Aileu","Aileu Vila","Seloi Craic","0.499040"
"Sucos","TL","Aileu","Aileu Vila","Seloi Malere","0.096847"
"Sucos","TL","Aileu","Aileu Vila","Suco Liurai","0.950413"
"Sucos","TL","Aileu","Laulara","Cotolau","0.408163"
"Sucos","TL","Aileu","Laulara","Fatisi","0.538835"
"Sucos","TL","Aileu","Laulara","Madabeno","0.339056"
"Sucos","TL","Aileu","Laulara","Talitu","0.617486"
"Sucos","TL","Aileu","Laulara","Tohumeta","0.438202"
"Sucos","TL","Aileu","Liquidoe","Acubilitoho","0.294118"
"Sucos","TL","Aileu","Liquidoe","Bereleu","0.759494"
"Sucos","TL","Aileu","Liquidoe","Betulau","0.534884"
"Sucos","TL","Aileu","Liquidoe","Fahisoi","0.432950"
"Sucos","TL","Aileu","Liquidoe","Faturilau","0.520408"
"Sucos","TL","Aileu","Liquidoe","Manucasa","0.528090"
"Sucos","TL","Aileu","Liquidoe","Namoleso","0.486911"
"Sucos","TL","Aileu","Remexio","Acumau","0.432749"
"Sucos","TL","Aileu","Remexio","Fadabloco","0.883065"
"Sucos","TL","Aileu","Remexio","Fahisoi","0.432950"
"Sucos","TL","Aileu","Remexio","Faturasa","0.937931"
"Sucos","TL","Aileu","Remexio","Hautoho","0.838235"
"Sucos","TL","Aileu","Remexio","Maumeta","0.069767"
"Sucos","TL","Aileu","Remexio","Suco-Liurai","0.844828"
"Sucos","TL","Aileu","Remexio","Tulataqueo","0.797297"
"Sucos","TL","Ainaro","Ainaro","Ainaro","0.055109"
"Sucos","TL","Ainaro","Ainaro","Cassa","0.555556"
"Sucos","TL","Ainaro","Ainaro","Manutasi","0.279245"
"Sucos","TL","Ainaro","Ainaro","Mau-Nuno","0.860465"
"Sucos","TL","Ainaro","Ainaro","Mau-Ulu","0.955056"
"Sucos","TL","Ainaro","Ainaro","Soro","0.371237"
"Sucos","TL","Ainaro","Ainaro","Suro-Craic","0.005495"
"Sucos","TL","Ainaro","Hatu-Builico","Mau-Chiga","0.346535"
"Sucos","TL","Ainaro","Hatu-Builico","Mulo","0.383094"
"Sucos","TL","Ainaro","Hatu-Builico","Nuno-Mogue","0.328413"
"Sucos","TL","Ainaro","Hatu-Udo","Foho-ai-Lico","0.630295"
"Sucos","TL","Ainaro","Hatu-Udo","Leolima","0.605800"
"Sucos","TL","Ainaro","Maubisse","Aitutu","0.747066"
"Sucos","TL","Ainaro","Maubisse","Edi","0.842795"
"Sucos","TL","Ainaro","Maubisse","Fatu-Besi","0.993103"
"Sucos","TL","Ainaro","Maubisse","Horai-Quic","0.325779"
"Sucos","TL","Ainaro","Maubisse","Manelobas","0.763441"
"Sucos","TL","Ainaro","Maubisse","Manetu","0.914365"
"Sucos","TL","Ainaro","Maubisse","Maubisse","0.380903"
"Sucos","TL","Ainaro","Maubisse","Maulau","0.884368"
"Sucos","TL","Ainaro","Maubisse","Suco Liurai","0.950413"
"Sucos","TL","Baucau","Baguia","Afaloicai","0.917722"
"Sucos","TL","Baucau","Baguia","Alaua Craic","0.724409"
"Sucos","TL","Baucau","Baguia","Alaua Leten","0.857143"
"Sucos","TL","Baucau","Baguia","Defa Uassi","0.503145"
"Sucos","TL","Baucau","Baguia","Haeconi","0.185567"
"Sucos","TL","Baucau","Baguia","Lari Sula","0.981395"
"Sucos","TL","Baucau","Baguia","Lavateri","0.980695"
"Sucos","TL","Baucau","Baguia","Osso-Huna","0.008772"
"Sucos","TL","Baucau","Baguia","Samalari","0.692053"
"Sucos","TL","Baucau","Baguia","Uacala","0.851852"
"Sucos","TL","Baucau","Baucau","Bahu","0.096480"
"Sucos","TL","Baucau","Baucau","Bucoli","0.290323"
"Sucos","TL","Baucau","Baucau","Buibau","0.468652"
"Sucos","TL","Baucau","Baucau","Buruma","0.144017"
"Sucos","TL","Baucau","Baucau","Caibada","0.430528"
"Sucos","TL","Baucau","Baucau","Gariuai","0.157754"
"Sucos","TL","Baucau","Baucau","Samalari","0.692053"
