Name,Organisation,Branch,Country,Building,Address,Postcode,L1,L2,L3,L4,Lat,Lon,Comments
Station 1,TERA,,SL,,,,,,,,8.330694,-13.07214,
Station 2,TERA,,SL,,,,,,,,8.217502,-11.06358,
Station 3,TERA,,SL,,,,,,,,8.112276,-12.073968,
Station 4,TERA,,SL,,,,,,,,8.68692,-12.53081,
Station 5,TERA,,SL,,,,,,,,9.2056,-11.95771,
Station 6,TERA,,SL,,,,,,,,8.89231,-12.04455,
Station 7,TERA,,SL,,,,,,,,8.476113,-13.23921,
Station 8,TERA,,SL,,,,,,,,7.859196,-11.18675,
Station 9,TERA,,SL,,,,,,,,8.68102,-12.50146,
Station 10,TERA,,SL,,,,,,,,8.285248,-10.565941,
Station 11,TERA,,SL,,,,,,,,8.4779,-13.22929,
Station 12,TERA,,SL,,,,,,,,8.278461,-10.37319,
Station 13,TERA,,SL,,,,,,,,7.8651,-11.6995,
Station 14,TERA,,SL,,,,,,,,8.48614,-13.228,
Station 15,TERA,,SL,,,,,,,,9.059414,-11.736802,
Station 16,TERA,,SL,,,,,,,,9.35832,-11.76657,
Station 17,TERA,,SL,,,,,,,,8.47795,-13.22158,
Station 18,TERA,,SL,,,,,,,,8.345,-13.2319,
