uid,role,description,controller,function,table,entity,uacl,oacl,hidden,system,protected,Notes
ANONYMOUS,Anonymous,,org,,,,READ,,,,,
ANONYMOUS,Anonymous,,req,,,,READ,READ,,,,View Requests & Donations
ANONYMOUS,Anonymous,,,,gis_location,,READ,,,,,
ANONYMOUS,Anonymous,,,,org_organisation,,READ,,,,,
ANONYMOUS,Anonymous,,,,org_site,,READ,,,,,
ANONYMOUS,Anonymous,,,,pr_image,,READ,,,,,
ANONYMOUS,Anonymous,,,,req_req,,READ,,,,,
ANONYMOUS,Anonymous,,,,req_commit,,READ,,,,,
ANONYMOUS,Anonymous,,gis,index,,,READ,READ,,,,
ANONYMOUS,Anonymous,,gis,location,,,READ,,,,,
ANONYMOUS,Anonymous,,gis,proxy,,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_bing,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_coordinate,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_empty,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_feature,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_geojson,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_georss,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_google,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_gpx,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_kml,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_openstretmap,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_theme,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_tms,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_wfs,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_wms,,READ,,,,,
ANONYMOUS,Anonymous,,,,gis_layer_xyz,,READ,,,,,
AUTHENTICATED,Authenticated,,default,person,,,READ,READ|CREATE|UPDATE,,,,
AUTHENTICATED,Authenticated,,default,person,gis_location,,READ,READ|CREATE|UPDATE,,,,
AUTHENTICATED,Authenticated,,gis,geocode,,,READ,,,,,
AUTHENTICATED,Authenticated,,gis,ldata,,,READ,,,,,
AUTHENTICATED,Authenticated,,pr,person,,,READ,READ|CREATE|UPDATE,,,,
AUTHENTICATED,Authenticated,,pr,contact,,,READ,READ|CREATE|UPDATE,,,,
AUTHENTICATED,Authenticated,,req,commit,,,READ|CREATE,READ|CREATE|UPDATE,,,,
AUTHENTICATED,Authenticated,,,,hrm_human_resource,,READ,,,,,
AUTHENTICATED,Authenticated,,,,pr_contact,,READ|CREATE,READ|UPDATE,,,,
AUTHENTICATED,Authenticated,,,,pr_image,,READ|CREATE,READ|UPDATE,,,,
AUTHENTICATED,Authenticated,,,,pr_person,,READ,READ|UPDATE,,,,
AUTHENTICATED,Authenticated,,,,req_commit,,READ|CREATE,READ|UPDATE,,,,
EDITOR,Call Center,,org,,,any,READ|CREATE|UPDATE,ALL,,,,
EDITOR,Call Center,,pr,person,,any,READ|CREATE|UPDATE,ALL,,,,
EDITOR,Call Center,,pr,contact,,any,READ|CREATE|UPDATE,ALL,,,,
EDITOR,Call Center,,req,,,any,READ|CREATE|UPDATE,ALL,,,,
EDITOR,Call Center,,req,commit,,any,READ|CREATE|UPDATE,ALL,,,,
EDITOR,Call Center,,,,hrm_human_resource,any,READ|CREATE|UPDATE,ALL,,,,
EDITOR,Call Center,,,,org_organisation,any,READ|CREATE|UPDATE,ALL,,,,
EDITOR,Call Center,,,,org_site,any,READ|CREATE|UPDATE,ALL,,,,
EDITOR,Call Center,,,,pr_contact,any,READ|CREATE|UPDATE,ALL,,,,
EDITOR,Call Center,,,,pr_image,any,READ|CREATE|UPDATE,ALL,,,,
EDITOR,Call Center,,,,pr_person,any,READ|CREATE|UPDATE,ALL,,,,
EDITOR,Call Center,,,,req_req,any,READ|CREATE|UPDATE,ALL,,,,
EDITOR,Call Center,,,,req_commit,any,READ|CREATE|UPDATE,ALL,,,,
ORG_ADMIN,Organization Admin,,org,,,,READ,READ|CREATE|UPDATE,,,,Will require realms
ORG_ADMIN,Organization Admin,,pr,person,,,READ|CREATE|UPDATE,ALL,,,,
ORG_ADMIN,Organization Admin,,pr,contact,,,READ|CREATE|UPDATE,ALL,,,,
ORG_ADMIN,Organization Admin,,req,,,,READ|CREATE|UPDATE,ALL,,,,
ORG_ADMIN,Organization Admin,,,,hrm_human_resource,,READ|CREATE|UPDATE,ALL,,,,
ORG_ADMIN,Organization Admin,,,,org_organisation,,READ,READ|CREATE|UPDATE,,,,
ORG_ADMIN,Organization Admin,,,,org_site,,READ,READ|CREATE|UPDATE,,,,
ORG_ADMIN,Organization Admin,,,,pr_contact,,READ|CREATE|UPDATE,ALL,,,,
ORG_ADMIN,Organization Admin,,,,pr_image,,READ|CREATE|UPDATE,ALL,,,,
ORG_ADMIN,Organization Admin,,,,pr_person,,READ|CREATE|UPDATE,ALL,,,,
ORG_ADMIN,Organization Admin,,,,req_req,,READ|CREATE|UPDATE,ALL,,,,
ORG_ADMIN,Organization Admin,,,,req_commit,,READ|CREATE|UPDATE,ALL,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_arcrest,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_bing,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_coordinate,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_empty,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_feature,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_geojson,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_georss,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_google,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_gpx,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_kml,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_mgrs,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_openstretmap,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_theme,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_tms,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_wfs,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_wms,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_xyz,,ALL,,,,,
