Name,Description,Controller,Function,Marker,GPS Marker,Popup Format,Attributes,Filter,Site,Trackable,Style,Opacity,Folder,Visible,Enabled,Cluster Threshold,Refresh
Airports,All Active Airports,transport,airport,airport,Airport,"{name} (T('Airport'))",name,~.obsolete=False,,,,,,False,,,
Camps,All Active Camps,cr,shelter,shelter,Campground,"{name} (T('Camp'))<br />T('Population') {population}<br />T('Capacity') {capacity_day}","name,population,capacity_day",~.status__ne=1,,,,,,False,,,
Demographics,,stats,demographic_data,,,{location_id}: {value},"location_id,value",,,,"[{'prop':'value','fillOpacity':0.5}]",0.5,,False,False,0,0
Hospitals,All Active Medical Facilities,hms,hospital,hospital,Medical Facility,"{name} (T('Hospital'))",name,~.obsolete=False,,,,,,False,,,
Incident Reports,,event,incident_report,incident,Danger Area,"{name} (T('Incident'))<br />{incident_type_id}","name,incident_type_id",,,,,,,False,,,
Offices,All Active Offices,org,office,office,Building,"{name} (T('Office'))<br />{organisation_id}","name,organisation_id",~.obsolete=False,,,,,,False,,,
Projects,,project,location,project,,"{name} (T('Project'))<br />{location_id}<br />{multi_activity_type_id}","name,location_id,multi_activity_type_id",,,,,,,False,,,
Stock Items,Used for Search Results,inv,inv_item,,,"{item_id} (T('Stock Item'))<br />{site_id}<br />{quantity} {item_pack_id}<br />T('Expires') {expiry_date}","item_id,site_id,quantity,item_pack_id,expiry_date",,,,,,,False,False,,
Training Events,Used for Search Results,hrm,training_event,,,"{course_id} (T('Training Event'))<br />{site_id}<br />{start_date}","course_id,site_id,start_date",,,,,,,False,False,,
Tweets,All Tweets,msg,twitter_result,twitter,,"{body}",body,,,,,,,False,,,
Warehouses,All Active Warehouses,inv,warehouse,warehouse,Building,"{name} (T('Warehouse'))<br />{organisation_id}","name,organisation_id",~.obsolete=False,,,,,,False,,,
