Name,Height,Width,Image
marker_red,34,20,marker_red.png
twitter,32,32,Twitter.png
Activity Coordinated Assessment,40,40,OCHA/activity_coordinated_assessment_40px.png
Activity Financing,40,40,OCHA/activity_financing_40px.png
Activity Humanitarian Programme Cycle,40,40,OCHA/activity_humanitarian_programme_cycle_40px.png
Activity Information Technology,40,40,OCHA/activity_information_technology_40px.png
Activity Public Information,40,40,OCHA/activity_public_information_40px.png
Activity Reporting,40,40,OCHA/activity_reporting_40px.png
Activity Training,40,40,OCHA/activity_training_40px.png
Camp IDP Refugee Camp,40,40,OCHA/camp_idp_refugee_camp_40px.png
Cluster CCCM,40,40,OCHA/cluster_CCCM_40px.png
Cluster Early Recovery,40,40,OCHA/cluster_early_recovery_40px.png
Cluster Emergency Telecommunications,40,40,OCHA/cluster_emergency_telecommunications_40px.png
Cluster Food Security,40,40,OCHA/cluster_food_security_40px.png
Cluster Health,40,40,OCHA/cluster_health_40px.png
Cluster Logistics,40,40,OCHA/cluster_logistics_40px.png
Cluster Shelter,40,40,OCHA/cluster_shelter_40px.png
Cluster WASH,40,40,OCHA/cluster_WASH_40px.png
Crisis Conflict,40,40,OCHA/crisis_conflict_40px.png
Disaster Cyclone,40,40,OCHA/disaster_cyclone_40px.png
Disaster Earthquake,40,40,OCHA/disaster_earthquake_40px.png
Disaster Epidemic,40,40,OCHA/disaster_epidemic_40px.png
Disaster Fire,40,40,OCHA/disaster_fire_40px.png
Disaster Flood,40,40,OCHA/disaster_flood_40px.png
Disaster Heavy Rain,40,40,OCHA/disaster_heavy_rain_40px.png
Disaster Landslide,40,40,OCHA/disaster_landslide_40px.png
Disaster Storm,40,40,OCHA/disaster_storm_40px.png
Disaster Tornado,40,40,OCHA/disaster_tornado_40px.png
Disaster Tsunami,40,40,OCHA/disaster_tsunami_40px.png
Disaster Volcano,40,40,OCHA/disaster_volcano_40px.png
Food NFI Bucket,40,40,OCHA/food_NFI_bucket_40px.png
Food NFI Food,40,40,OCHA/food_NFI_food_40px.png
Food NFI Nonfood Item,40,40,OCHA/food_NFI_nonfood_item_40px.png
Food NFI Tent,40,40,OCHA/food_NFI_tent_40px.png
Infrastructure Building,40,40,OCHA/infrastructure_building_40px.png
Infrastructure Church,40,40,OCHA/infrastructure_church_40px.png
Infrastructure Community Building,40,40,OCHA/infrastructure_community_building_40px.png
Infrastructure Food Warehouse,40,40,OCHA/infrastructure_food_warehouse_40px.png
Infrastructure Government Office,40,40,OCHA/infrastructure_government_office_40px.png
Infrastructure Hospital,40,40,OCHA/infrastructure_hospital_40px.png
Infrastructure Hotel,40,40,OCHA/infrastructure_hotel_40px.png
Infrastructure House,40,40,OCHA/infrastructure_house_40px.png
Infrastructure NGO Office,40,40,OCHA/infrastructure_NGO_office_40px.png
Infrastructure Police Station,40,40,OCHA/infrastructure_police_station_40px.png
Infrastructure School,40,40,OCHA/infrastructure_school_40px.png
Infrastructure University,40,40,OCHA/infrastructure_university_40px.png
Logistics Airport,40,40,OCHA/logistics_airport_40px.png
Logistics Airport Military,40,40,OCHA/logistics_airport_military_40px.png
Logistics Boat,40,40,OCHA/logistics_boat_40px.png
Logistics Bridge,40,40,OCHA/logistics_bridge_40px.png
Logistics Bus,40,40,OCHA/logistics_bus_40px.png
Logistics Car,40,40,OCHA/logistics_car_40px.png
Logistics Ferry,40,40,OCHA/logistics_ferry_40px.png
Logistics Gas Station,40,40,OCHA/logistics_gas_station_40px.png
Logistics Helipad,40,40,OCHA/logistics_helipad_40px.png
Logistics Port,40,40,OCHA/logistics_port_40px.png
Logistics Ship,40,40,OCHA/logistics_ship_40px.png
Logistics Train,40,40,OCHA/logistics_train_40px.png
Logistics Truck,40,40,OCHA/logistics_truck_40px.png
Logistics Tunnel,40,40,OCHA/logistics_tunnel_40px.png
Other Cluster Rule Of Law,40,40,OCHA/other_cluster_rule_of_law_40px.png
Other Cluster Safety Security,40,40,OCHA/other_cluster_safety_security_40px.png
People Infant,40,40,OCHA/people_infant_40px.png
People Man,40,40,OCHA/people_man_40px.png
People Physical Impairments,40,40,OCHA/people_physical_impairments_40px.png
People Woman,40,40,OCHA/people_woman_40px.png
Product Type Report,40,40,OCHA/product_type_report_40px.png
Security Arrest,40,40,OCHA/security_arrest_40px.png
Security Dangerous Area,40,40,OCHA/security_dangerous_area_40px.png
Security Mine,40,40,OCHA/security_mine_40px.png
Telecommunications Computer,40,40,OCHA/telecommunications_computer_40px.png
Telecommunications Internet,40,40,OCHA/telecommunications_internet_40px.png
Telecommunications Mobile Phone,40,40,OCHA/telecommunications_mobile_phone_40px.png
Telecommunications Walkie Talkie,40,40,OCHA/telecommunications_walkietalkie_40px.png
WASH Borehole,40,40,OCHA/wash_borehole_40px.png
WASH Communal Latrine,40,40,OCHA/wash_communal_latrine_40px.png
WASH Latrine Cabin,40,40,OCHA/wash_latrine_cabin_40px.png
WASH Potable Water,40,40,OCHA/wash_potable_water_40px.png
WASH Potable Water Source,40,40,OCHA/wash_potable_water_source_40px.png
WASH Sanitation,40,40,OCHA/wash_sanitation_40px.png
WASH Shower,40,40,OCHA/wash_shower_40px.png
WASH Solid Waste,40,40,OCHA/wash_solid_waste_40px.png
WASH Spring Water,40,40,OCHA/wash_spring_water_40px.png
WASH Toilet,40,40,OCHA/wash_toilet_40px.png
WASH Water Source,40,40,OCHA/wash_water_source_40px.png
WASH Water Trucking,40,40,OCHA/wash_water_trucking_40px.png
WASH Well,40,40,OCHA/wash_well_40px.png
