"Organisation","Branch","Acronym","Type","Country","Website","Domain","Logo",Phone
"Cyprus Civil Defence",,"CCD","Government","CY","http://www.moi.gov.cy/moi/cd/cd.nsf/index_en/index_en",,http://tldrmp.aidiq.com/eden/static/prepop/cyprus-cd.png,
"Cyprus: Department of Fishing and Marine Research",,,"Government","CY","http://www.moa.gov.cy/moa/dfmr/dfmr.nsf/DMLSea_en/DMLSea_en?OpenDocument",,http://tldrmp.aidiq.com/eden/static/prepop/cy_dept_fishing_marine_research.png,
"Decentralized Administration of Crete - Civil Protection Directorate",,"CPD","Government","GR","http://www.crete-region.gr/en/Home/tabid/801/Default.aspx",,http://tldrmp.aidiq.com/eden/static/prepop/crete_cpd.png,
"National Emergency Medical Services",,"EMS","Government","GR","http://www.ekab.gr/web/",,http://tldrmp.aidiq.com/eden/static/prepop/ekab_logo.png,
"Hellenic Red Cross - Samaritans, Rescuers and Lifeguards Division",,"HRC-DSRL","Red Cross / Red Crescent","GR","http://www.redcross.gr",,http://tldrmp.aidiq.com/eden/static/prepop/redcross.png,
"Johanniter-Unfall-Hilfe e.V.",,,"NGO","DE","http://www.johanniter.de/die-johanniter/johanniter-unfall-hilfe/",,http://tldrmp.aidiq.com/eden/static/prepop/logo_unfallhilfe_net.png,
"The Foundation for Research and Technology – Hellas",,"FORTH","Academic","GR","http://www.ics.forth.gr",,http://tldrmp.aidiq.com/eden/static/prepop/forth-ics.png,
"TEI Crete",,"TEI","Academic","GR","http://www.teicrete.gr/tei/en/index.php",,http://tldrmp.aidiq.com/eden/static/prepop/tei-crete-logo.png,
"Hellenic Center for Marine Research",,"HCMR","Academic","GR","http://www.hcmr.gr/en/",,http://tldrmp.aidiq.com/eden/static/prepop/hellenic_center_marine_research.png,
"Oceanographic Center, University of Cyprus",,"OC-UCY","Academic","CY","http://www.oceanography.ucy.ac.cy/",,http://tldrmp.aidiq.com/eden/static/prepop/oceanographic-cyprus.png,
"Sahana Software Foundation",,,"NGO","US","http://sahanafoundation.org",sahanafoundation.org,http://tldrmp.aidiq.com/eden/static/prepop/SSF_sq.png,
"3D Seismic Lab, Cardiff University",,,"Academic","GB","http://www.cardiff.ac.uk/earth/3d-seismics/",,http://tldrmp.aidiq.com/eden/static/prepop/Cardiff_logo.png,
"Ubilabs",,,"Supplier","DE","http://www.ubilabs.net",http://tldrmp.aidiq.com/eden/static/prepop/ubilabs.png,
