"uid","role"," description","controller","function","table","uacl","oacl","hidden","system","protected","Notes"
"AUTHENTICATED","Authenticated",,"pr","pentity",,"READ",,,,,
"AUTHENTICATED","Authenticated",,"pr","person_search",,"READ",,,,,"For Autocompletes"
"AUTHENTICATED","Authenticated",,"gis","layer_arcrest",,"READ|CREATE",,,,,
"AUTHENTICATED","Authenticated",,"gis","layer_bing",,"READ",,,,,
"AUTHENTICATED","Authenticated",,"gis","layer_coordinate",,"READ",,,,,
"AUTHENTICATED","Authenticated",,"gis","layer_empty",,"READ",,,,,
"AUTHENTICATED","Authenticated",,"gis","layer_feature",,"READ|CREATE",,,,,
"AUTHENTICATED","Authenticated",,"gis","layer_geojson",,"READ|CREATE",,,,,
"AUTHENTICATED","Authenticated",,"gis","layer_georss",,"READ|CREATE",,,,,
"AUTHENTICATED","Authenticated",,"gis","layer_google",,"READ",,,,,
"AUTHENTICATED","Authenticated",,"gis","layer_gpx",,"READ|CREATE",,,,,
"AUTHENTICATED","Authenticated",,"gis","layer_kml",,"READ|CREATE",,,,,
"AUTHENTICATED","Authenticated",,"gis","layer_openstretmap",,"READ",,,,,
"AUTHENTICATED","Authenticated",,"gis","layer_theme",,"READ|CREATE",,,,,
"AUTHENTICATED","Authenticated",,"gis","layer_tms",,"READ|CREATE",,,,,
"AUTHENTICATED","Authenticated",,"gis","layer_wfs",,"READ|CREATE",,,,,
"AUTHENTICATED","Authenticated",,"gis","layer_wms",,"READ|CREATE",,,,,
"AUTHENTICATED","Authenticated",,"gis","layer_xyz",,"READ|CREATE",,,,,
"asset_reader","Asset Reader",,"asset",,,"READ",,,,,
"asset_reader","Asset Reader",,"supply",,,"READ",,,,,
"asset_reader","Asset Reader",,"org",,,"READ",,,,,
"asset_reader","Asset Reader",,"inv","warehouse",,"READ",,,,,
"asset_reader","Asset Reader",,"hrm","human_resource",,"READ",,,,,
"asset_data_entry","Asset Data Entry",,"asset",,,"READ|CREATE","READ|CREATE|UPDATE",,,,
"asset_data_entry","Asset Data Entry",,"supply",,,"READ|CREATE","READ|CREATE|UPDATE",,,,
"asset_data_entry","Asset Data Entry",,"org",,,"READ",,,,,
"asset_data_entry","Asset Data Entry",,"inv","warehouse",,"READ",,,,,
"asset_data_entry","Asset Data Entry",,"hrm","human_resource",,"READ",,,,,
"asset_editor","Asset Editor",,"asset",,,"READ|CREATE|UPDATE",,,,,
"asset_editor","Asset Editor",,"supply",,,"READ|CREATE|UPDATE",,,,,
"asset_editor","Asset Editor",,"org",,,"READ|UPDATE",,,,,
"asset_editor","Asset Editor",,"inv","warehouse",,"READ|UPDATE",,,,,
"asset_editor","Asset Editor",,"hrm","human_resource",,"READ",,,,,
"asset_super","Asset Super Editor",,"asset",,,"READ|CREATE|UPDATE|DELETE",,,,,
"asset_super","Asset Super Editor",,"supply",,,"READ|CREATE|UPDATE|DELETE",,,,,
"asset_super","Asset Super Editor",,"org",,,"READ|CREATE|UPDATE",,,,,
"asset_super","Asset Super Editor",,"inv","warehouse",,"READ|CREATE|UPDATE",,,,,
"asset_super","Asset Super Editor",,"hrm","human_resource",,"READ",,,,,
"inv_reader","Warehouse Reader",,"inv",,,"READ",,,,,
"inv_reader","Warehouse Reader",,"supply",,,"READ",,,,,
"inv_reader","Warehouse Reader",,"org",,,"READ",,,,,
"inv_reader","Warehouse Reader",,"hrm",,,"READ",,,,,
"inv_data_entry","Warehouse Data Entry",,"inv",,,"READ|CREATE","READ|CREATE|UPDATE",,,,
"inv_data_entry","Warehouse Data Entry",,"inv","warehouse",,"READ",,,,,
"inv_data_entry","Warehouse Data Entry",,"supply",,,"READ|CREATE","READ|CREATE|UPDATE",,,,
"inv_data_entry","Warehouse Data Entry",,"org",,,"READ",,,,,
"inv_data_entry","Warehouse Data Entry",,"hrm",,,"READ",,,,,
"inv_editor","Warehouse Editor",,"inv",,,"READ|CREATE|UPDATE",,,,,
"inv_editor","Warehouse Editor",,"inv","warehouse",,"READ|UPDATE",,,,,
"inv_editor","Warehouse Editor",,"supply",,,"READ|CREATE|UPDATE",,,,,
"inv_editor","Warehouse Editor",,"org",,,"READ|UPDATE",,,,,
"inv_editor","Warehouse Editor",,"hrm",,,"READ",,,,,
"inv_super","Warehouse Super Editor",,"inv",,,"READ|CREATE|UPDATE|DELETE",,,,,
"inv_super","Warehouse Super Editor",,"inv","warehouse",,"READ|CREATE|UPDATE|DELETE",,,,,
"inv_super","Warehouse Super Editor",,"supply",,,"READ|CREATE|UPDATE|DELETE",,,,,
"inv_super","Warehouse Super Editor",,"org",,,"READ|CREATE|UPDATE",,,,,
"inv_super","Warehouse Super Editor",,"hrm",,,"READ",,,,,
"irs_reader","Incident Reader",,"irs",,,"READ",,,,,"What other modules does Incident use?"
"irs_reader","Incident Reader",,"org",,,"READ",,,,,
"irs_data_entry","Incident Data Entry",,"irs",,,"READ|CREATE","READ|CREATE|UPDATE",,,,
"irs_data_entry","Incident Data Entry",,"org",,,"READ",,,,,
