Name,Organisation,Branch,Type,Country,Building,Address,Postcode,L1,L2,L3,Lat,Lon,Phone1,Phone2,Email,Fax,Comments
New York City Office of Emergency Management ,New York City,Office of Emergency Management,,United States,,165 Cadman Plz E,,New York,Brooklyn,,40.69917032,-73.98976911,(718) 422-8933,,,,
Salvation Army Donation Center Office,Salvation Army,Salvation Army of Greater New York,,United States,,536 West 46th Street,,New York,New York,,40.76249219,-73.99474042,,,,,
American Red Cross Greater New York Office,American Red Cross,American Red Cross of Greater New York,,United States,,520 West 49th Street,,New York,New York,,40.76438318,-73.99341089,,,,,
Goodwill Industries Greater New York Office,Goodwill Industries,Greater New York,,United States,,4511 31st Avenue,,,Astoria,,40.76115417,-73.86421967,,,,,
Food Bank for New York City Office,Food Bank for New York City,,,United States,,39 Broadway # 10,,New York,New York,,40.7063,-74.01306,,,,,
Buddist Tzu Chi Foundation Office,Buddist Tzu Chi Foundation,,,United States,,34 Howard St # 1,,New York,New York,,40.71987,-74.00073,,,,,
Safe Horizon Office,Safe Horizon,,,United States,,2 Lafayette St # 3,,New York,,,40.71365,-74.00358,,,,,
New York Cares Office,New York Cares,,,United States,,214 West 29th Street,,New York,New York,,40.74796,-73.99354,,,,,
World Cares Center Office,World Cares Center,,,United States,,520 8th Avenue,,New York,New York,,40.75362,-73.9919,,,,,
World Vision New York Office,World Vision,New York,,United States,,143 W 29th St,,New York,New York,,40.74745,-73.9916,,,,,
