Name,Height,Width,Image
marker_red,34,20,"marker_red.png"
airport,40,40,"OCHA/logistics_airport_40px.png"
assessment,40,40,"OCHA/activity_assessment_40px.png"
asset,40,40,"OCHA/telecommunications_walkietalkie_40px.png"
beneficiary,40,40,"OCHA/people_affected_population_40px.png"
bridge,40,40,"OCHA/logistics_bridge_40px.png"
church,40,40,"OCHA/infrastructure_church_40px.png"
distribution,40,40,"OCHA/infrastructure_distribution_site_40px.png"
earthquake,40,40,"OCHA/disaster_earthquake_40px.png"
flood,40,40,"OCHA/disaster_flood_40px.png"
food,40,40,"OCHA/food_NFI_food_40px.png"
helicopter,40,40,"OCHA/logistics_helipad_40px.png"
hospital,40,40,"OCHA/infrastructure_hospital_40px.png"
incident,40,40,"OCHA/damage_affected_40px.png"
mosque,40,40,"OCHA/infrastructure_mosque_40px.png"
office,40,40,"OCHA/infrastructure_NGO_office_40px.png"
phone,40,40,"OCHA/telecommunications_mobile_phone_40px.png"
port,40,40,"OCHA/logistics_port_40px.png"
project,40,40,"OCHA/activity_humanitarian_programme_cycle_40px.png"
rail_station,40,40,"OCHA/logistics_train_40px.png"
resource,40,40,"OCHA/activity_services_tools_40px.png"
school,40,40,"OCHA/infrastructure_school_40px.png"
shelter,40,40,"OCHA/camp_idp_refugee_camp_40px.png"
staff,40,40,"OCHA/people_man_40px.png"
temple,40,40,"OCHA/infrastructure_buddhist_temple_40px.png"
tsunami,40,40,"OCHA/disaster_tsunami_40px.png"
vehicle,40,40,"OCHA/logistics_car_40px.png"
volcano,40,40,"OCHA/disaster_volcano_40px.png"
volunteer,40,40,"OCHA/people_man_40px.png"
water,40,40,"OCHA/wash_water_source_40px.png"
warehouse,40,40,"OCHA/infrastructure_distribution_site_40px.png"
