uid,role,description,controller,function,table,entity,uacl,oacl,hidden,system,protected,Notes
AUTHENTICATED,Authenticated,,gis,,,,READ,,,,,
AUTHENTICATED,Authenticated,,org,,,,READ,,,,,
AUTHENTICATED,Authenticated,,event,,,,READ,,,,,
AUTHENTICATED,Authenticated,,doc,,,,READ,,,,,
AUTHENTICATED,Authenticated,,cms,,,,READ,,,,,
AUTHENTICATED,Authenticated,,stats,,,,READ,,,,,
AUTHENTICATED,Authenticated,,vulnerability,,,,READ,,,,,
EDITOR,Editor,,cms,,,,ALL,,,,,
EDITOR,Editor,,gis,,,,ALL,,,,,
EDITOR,Editor,,org,,,,ALL,,,,,
EDITOR,Editor,,event,,,,ALL,,,,,
EDITOR,Editor,,doc,,,,ALL,,,,,
EDITOR,Editor,,cms,,,,ALL,,,,,
EDITOR,Editor,,stats,,,,ALL,,,,,
EDITOR,Editor,,vulnerability,,,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,cms_post,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_arcrest,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_bing,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_coordinate,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_empty,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_feature,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_geojson,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_georss,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_google,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_gpx,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_kml,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_mgrs,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_openstretmap,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_theme,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_tms,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_wfs,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_wms,,ALL,,,,,
MAP_ADMIN,Map Admin,,,,gis_layer_xyz,,ALL,,,,,
