"ADM0_NAME","ADM1_CODE","ADM1_NAME"
"Philippines",130000000,"NCR [National Capital Region]"
"Philippines",140000000,"CAR [Cordillera Administrative Region]"
"Philippines",10000000,"REGION I [Ilocos Region]"
"Philippines",20000000,"REGION II [Cagayan Valley]"
"Philippines",30000000,"REGION III [Central Luzon]"
"Philippines",40000000,"REGION IV-A [Calabarzon]"
"Philippines",170000000,"REGION IV-B [Mimaropa]"
"Philippines",50000000,"REGION V [Bicol Region]"
"Philippines",60000000,"REGION VI [Western Visayas]"
"Philippines",70000000,"REGION VII [Central Visayas]"
"Philippines",80000000,"REGION VIII [Eastern Visayas]"
"Philippines",90000000,"REGION IX [Zamboanga Peninsula]"
"Philippines",100000000,"REGION X [Northern Mindanao]"
"Philippines",110000000,"REGION XI [Davao Region]"
"Philippines",120000000,"REGION XII [Soccsksargen]"
"Philippines",160000000,"REGION XIII [Caraga]"
"Philippines",150000000,"ARMM [Autonomous Region in Muslim Mindanao]"
