Name,Organisation,Branch,Type,Country,Building,Address,Postcode,L1,L2,L3,Lat,Lon,Address,Phone,Email,Comments
NROC WAREHOUSE A,Department of Social Welfare and Development,National Resource Operation Center,Warehouse,Philippines,NROC-WH-A,Pasay City,1300,National Capital Region,Metro Manila,Pasay City,,,,,,
NROC WAREHOUSE B,Department of Social Welfare and Development,National Resource Operation Center,Warehouse,Philippines,NROC-WH-B,Pasay City,1300,National Capital Region,Metro Manila,Pasay City,,,,,,
NROC WAREHOUSE C,Department of Social Welfare and Development,National Resource Operation Center,Warehouse,Philippines,NROC-WH-C,Pasay City,1300,National Capital Region,Metro Manila,Pasay City,,,,,,
NROC WAREHOUSE D,Department of Social Welfare and Development,National Resource Operation Center,Warehouse,Philippines,NROC-WH-D,Pasay City,1300,National Capital Region,Metro Manila,Pasay City,,,,,,
NROC WAREHOUSE E,Department of Social Welfare and Development,National Resource Operation Center,Warehouse,Philippines,NROC-WH-E,Pasay City,1300,National Capital Region,Metro Manila,Pasay City,,,,,,
NROC WAREHOUSE F,Department of Social Welfare and Development,National Resource Operation Center,Warehouse,Philippines,NROC-WH-F,Pasay City,1300,National Capital Region,Metro Manila,Pasay City,,,,,,
NROC WAREHOUSE G,Department of Social Welfare and Development,National Resource Operation Center,Warehouse,Philippines,NROC-WH-G,Pasay City,1300,National Capital Region,Metro Manila,Pasay City,,,,,,
FO1 WAREHOUSE,Department of Social Welfare and Development,Field Office 1,Warehouse,Philippines,FO1-WH,La Union,2500,Region I,La Union,San Fernando City,,,,,,
FO2 WAREHOUSE,Department of Social Welfare and Development,Field Office 2,Warehouse,Philippines,FO2-WH,Tuguegarao City,3500,Region II,Cagayan Valley,Tuguegarao City,,,,,,
FO3 WAREHOUSE,Department of Social Welfare and Development,Field Office 3,Warehouse,Philippines,FO3-WH,Pampanga,2000,Region III,Pampanga,San Fernando City,,,,,,
FO4A WAREHOUSE,Department of Social Welfare and Development,Field Office 4A,Warehouse,Philippines,FO4A-WH,Muntinlupa City,1770,Region IV-A,Metro Manila,Muntinlupa City,,,,,,
FO4B WAREHOUSE,Department of Social Welfare and Development,Field Office 4B,Warehouse,Philippines,FO4B-WH,Alabang,1780,Region IV-B,Metro Manila,Alabang,,,,,,
FO5 WAREHOUSE,Department of Social Welfare and Development,Field Office 5,Warehouse,Philippines,FO5-WH,Legazpi City,1500,Region V,Albay,Legazpi City,,,,,,
FO6 WAREHOUSE,Department of Social Welfare and Development,Field Office 6,Warehouse,Philippines,FO6-WH,Iloilo,5000,Region VI,Iloilo,Iloilo City,,,,,,
FO7 WAREHOUSE,Department of Social Welfare and Development,Field Office 7,Warehouse,Philippines,FO7-WH,Cebu City,2500,Region VII,Cebu,Cebu City,,,,,,
FO8 WAREHOUSE,Department of Social Welfare and Development,Field Office 8,Warehouse,Philippines,FO8-WH,Tacloban City,6500,Region VIII,Tacloban,Tacloban City,,,,,,
FO9 WAREHOUSE,Department of Social Welfare and Development,Field Office 9,Warehouse,Philippines,FO9-WH,Zamboanga City,7000,Region IX,Zamboanga,Zamboanga City,,,,,,
FO10 WAREHOUSE,Department of Social Welfare and Development,Field Office 10,Warehouse,Philippines,FO10-WH,Cagayan De Oro,9000,Region X,Misamis Oriental,Cagayan De Oro,,,,,,
FO11 WAREHOUSE,Department of Social Welfare and Development,Field Office 11,Warehouse,Philippines,FO11-WH,Davao City,8000,Region XI,Davao,Davao City,,,,,,
FO12 WAREHOUSE,Department of Social Welfare and Development,Field Office 12,Warehouse,Philippines,FO12-WH,Cotabato City,9600,Region XII,Maguindanao,Cotabato City,,,,,,
CARAGA WAREHOUSE,Department of Social Welfare and Development,CARAGA,Warehouse,Philippines,FO13-WH,Butuan City,8600,Region XIII,Agusan Del Norte,Butuan City,,,,,,
NCR WAREHOUSE,Department of Social Welfare and Development,NCR,Warehouse,Philippines,FO14-WH,Pasay City,1300,National Capital Region,Metro Manila,Pasay City,,,,,,
ARMM WAREHOUSE,Department of Social Welfare and Development,ARMM,Warehouse,Philippines,FO15-WH,Cotabato City,9600,Autonomous Region in Muslim Mindanao,Cotabato,Cotabato City,,,,,,
CAR WAREHOUSE,Department of Social Welfare and Development,CAR,Warehouse,Philippines,FO16-WH,Baguio City,2600,Cordillera Administrative Region,Benguet,Baguio City,,,,,,
