uid,role, description,controller,function,table,uacl,oacl,hidden,system,protected
AUTHENTICATED,Authenticated,,pr,person_search,,READ,,,,
AUTHENTICATED,Authenticated,,pr,person,,READ,ALL,,,
AUTHENTICATED,Authenticated,,pr,contact,,,ALL,,,
AUTHENTICATED,Authenticated,,,,pr_person,READ,ALL,,,
AUTHENTICATED,Authenticated,,,,pr_contact,,ALL,,,
AUTHENTICATED,Authenticated,,project,member,,ALL,ALL,,,
AUTHENTICATED,Authenticated,,project,role,,ALL,ALL,,,
ANONYMOUS,Anonymous,,default,index,auth_user,,READ,,,
ANONYMOUS,Anonymous,,doc,,,READ,,,,
ANONYMOUS,Anonymous,,gis,,,READ,,,,
ANONYMOUS,Anonymous,,org,,,READ,,,,
ANONYMOUS,Anonymous,,hrm,,,READ,,,,
ANONYMOUS,Anonymous,,cms,,,READ,,,,
ANONYMOUS,Anonymous,,survey,,,READ,,,,
ANONYMOUS,Anonymous,,project,,,READ,,,,
ANONYMOUS,Anonymous,,pr,person,,READ,,,,
ANONYMOUS,Anonymous,,pr,contact,,NONE,,,,
ANONYMOUS,Anonymous,,,,pr_person,READ,,,,
ANONYMOUS,Anonymous,,,,pr_contact,NONE,,,,
CONTRIBUTOR,Contributor,,project,,,ALL,,,,
CONTRIBUTOR,Contributor,,org,,,ALL,,,,
CONTRIBUTOR,Contributor,,pr,person,,ALL,,,,
CONTRIBUTOR,Contributor,,pr,contact,,ALL,,,,
CONTRIBUTOR,Contributor,,,,pr_person,READ,ALL,,,
CONTRIBUTOR,Contributor,,,,pr_contact,READ,ALL,,,
