Catalog,Category Code,Category,Item Name,Unit of Measure
Sandy,BABY,Baby Supplies,Baby Food,bottle
Sandy,BABY,Baby Supplies,Baby Supplies,box
Sandy,BABY,Baby Supplies,Baby Wipes,pack
Sandy,BABY,Baby Supplies,Diapers,pack
Sandy,BABY,Baby Supplies,Formula,can
Sandy,BATTERIES,Batteries,9-volt,each
Sandy,BATTERIES,Batteries,AA,each
Sandy,BATTERIES,Batteries,AAA,each
Sandy,BATTERIES,Batteries,Batteries,box
Sandy,BATTERIES,Batteries,C,each
Sandy,BATTERIES,Batteries,D,each
Sandy,BEDDING,Bedding,Bed Cushions,each
Sandy,BEDDING,Bedding,Bed Mats,each
Sandy,BEDDING,Bedding,Bedding,unit
Sandy,BLANKETS,Blankets,Blankets,each
Sandy,CLEAN,Cleaning Supplies,Bleach,bottle
Sandy,CLEAN,Cleaning Supplies,Buckets,each
Sandy,CLEAN,Cleaning Supplies,Cleaning Supplies,box
Sandy,CLEAN,Cleaning Supplies,Dish Detergent,bottle
Sandy,CLEAN,Cleaning Supplies,Dust Masks (N95),pack
Sandy,CLEAN,Cleaning Supplies,Garbage Bags,box
Sandy,CLEAN,Cleaning Supplies,Large Contractor Bags,box
Sandy,CLEAN,Cleaning Supplies,Laundry Detergent,each
Sandy,CLEAN,Cleaning Supplies,Mops and Brooms,each
Sandy,CLEAN,Cleaning Supplies,Paper Towels,pack
Sandy,CLEAN,Cleaning Supplies,Rubber Gloves,each
Sandy,CLEAN,Cleaning Supplies,Sponges,pack
Sandy,CLEAN,Cleaning Supplies,Work Gloves,each
Sandy,CLOTHING,Clothing,Clothing,bag
Sandy,CLOTHING,Clothing,Gloves,each
Sandy,CLOTHING,Clothing,Hats,each
Sandy,CLOTHING,Clothing,Scarves,each
Sandy,CLOTHING,Clothing,Socks,each
Sandy,CLOTHING,Clothing,Underwear,each
Sandy,CLOTHING,Clothing,Warm Clothing,bag
Sandy,CLOTHING,Clothing,Winter Boots,each
Sandy,CLOTHING,Clothing,Winter Coats,bag
Sandy,CLOTHING,Clothing,Work Boots,each
Sandy,ENTERTAINMENT,Entertainment,Board Games,box
Sandy,ENTERTAINMENT,Entertainment,Books,box
Sandy,ENTERTAINMENT,Entertainment,Entertainment,box
Sandy,ENTERTAINMENT,Entertainment,Toys,box
Sandy,FOOD,Food,Canned Food,box
Sandy,FOOD,Food,Food,box
Sandy,FOOD,Food,Hot Food,meal
Sandy,FOOD,Food,Non-Perishable Food,box
Sandy,FOOD,Food,Pans & Serving Supplies,box
Sandy,FOOD,Food,Powdered Milk,box
Sandy,FOOD,Food,Prepared Food,box
Sandy,FOOD,Food,Sterno,each
Sandy,FOOD,Food ,Juice,box
Sandy,HOUSEHOLD,Household Items,Can Opener,each
Sandy,HOUSEHOLD,Household Items,Coolers,each
Sandy,HOUSEHOLD,Household Items,Household Items,box
Sandy,HOUSEHOLD,Household Items,Light Bulbs,each
Sandy,HOUSEHOLD,Household Items,Matches,pack
Sandy,HOUSEHOLD,Household Items,Plates,box
Sandy,HOUSEHOLD,Household Items,Propane Lighter,each
Sandy,HOUSEHOLD,Household Items,Silverware & Utensils,box
Sandy,LIGHT,Lighting,Candles,each
Sandy,LIGHT,Lighting,Flashlights,each
Sandy,LIGHT,Lighting,Lanterns,each
Sandy,LIGHT,Lighting,LED Flashlights,each
Sandy,LIGHT,Lighting,Lighting,box
Sandy,MEDICAL,Medical Supplies,Bandages,pack
Sandy,MEDICAL,Medical Supplies,Cold Medication - Adults,box
Sandy,MEDICAL,Medical Supplies,Cold Medication - Kids,box
Sandy,MEDICAL,Medical Supplies,Disinfectant,each
Sandy,MEDICAL,Medical Supplies,Medical Supplies,box
Sandy,MEDICAL,Medical Supplies,Medicines,box
Sandy,OTHER,Other,Other,each
Sandy,PET,Pet Food,Cat Food,box
Sandy,PET,Pet Food,Dog Food,box
Sandy,PET,Pet Food,Pet Food,box
Sandy,POWER,Power,Extension Cords,each
Sandy,POWER,Power,Gas,container
Sandy,POWER,Power,Generators,each
Sandy,POWER,Power,Power,box
Sandy,TOILETRIES,Toiletries,Adult Diapers,pack
Sandy,TOILETRIES,Toiletries,Deodorant,box
Sandy,TOILETRIES,Toiletries,Feminine Hygiene Products,box
Sandy,TOILETRIES,Toiletries,Hand Sanitizer,bottle
Sandy,TOILETRIES,Toiletries,Soap & Shampoo,box
Sandy,TOILETRIES,Toiletries,Toilet Paper,pack
Sandy,TOILETRIES,Toiletries,Toiletries,box
Sandy,TOILETRIES,Toiletries,Toothbrushes,each
Sandy,TOILETRIES,Toiletries,Toothpaste,box
Sandy,TOOLS,Tools,Crowbars,each
Sandy,TOOLS,Tools,Duct Tape,each
Sandy,TOOLS,Tools,Hand Tools,box
Sandy,TOOLS,Tools,Ladders,each
Sandy,TOOLS,Tools,Shovels,each
Sandy,TOOLS,Tools,Tools,box
Sandy,TOOLS,Tools,Wheelbarrows,each
Sandy,WARM,Warmth,Hand Warmers,pack
Sandy,WARM,Warmth,Propane,bottle
Sandy,WARM,Warmth,Propane Heaters,each
Sandy,WARM,Warmth,Space Heaters,each
Sandy,WARM,Warmth,Warmth,box
Sandy,WATER,Water,Bottled Water,case
Sandy,WATER,Water,Water,bottle
