Organisation,Office,Code,Catalog,Asset No,Type,Category,Name,Room,Assigned To,Brand,Model,SN,Supplier,Date,Price,Comments
Los Angeles City Emergency Management Department,EMD Main Warehouse,,Default,,4,Other,Tent,,,,,,,,,
Los Angeles City Emergency Management Department,EMD Main Warehouse,,Default,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
Los Angeles City Emergency Management Department,EMD Main Warehouse,,Default,,4,Equipment & Tools,Air Compressor,,,,,,,,,
Los Angeles City Emergency Management Department,EMD Main Warehouse,,Default,,4,Equipment & Tools,"Computer (Laptops, Monitors, Cables, PC's)",,,,,,,,,
Los Angeles City Emergency Management Department,EMD Main Warehouse,,Default,,4,Equipment & Tools,"Computer (Laptops, Monitors, Cables, PC's)",,,,,,,,,
Los Angeles City Emergency Management Department,EMD Main Warehouse,,Default,,4,Equipment & Tools,"Computer (Laptops, Monitors, Cables, PC's)",,,,,,,,,
Los Angeles City Emergency Management Department,EMD Main Warehouse,,Default,,4,Equipment & Tools,"Computer (Laptops, Monitors, Cables, PC's)",,,,,,,,,
Los Angeles City Emergency Management Department,EMD Main Warehouse,,Default,,1,Equipment & Tools,Helicopter,,,,,,,,,
Los Angeles City Emergency Management Department,EMD Main Warehouse,,Default,,1,Equipment & Tools,Helicopter,,,,,,,,,
Los Angeles City Emergency Management Department,EMD Main Warehouse,,Default,,4,Medical supplies,Wheelchair,,,,,,,,,
Los Angeles City Emergency Management Department,EMD Main Warehouse,,Default,,4,Equipment & Tools,Megaphone/Loudspeaker,,,,,,,,,
Los Angeles City Emergency Management Department,EMD Main Warehouse,,Default,,4,Equipment & Tools,Megaphone/Loudspeaker,,,,,,,,,
Los Angeles City Emergency Management Department,EMD Main Warehouse,,Default,,4,Equipment & Tools,Megaphone/Loudspeaker,,,,,,,,,
Los Angeles City Emergency Management Department,EMD Main Warehouse,,Default,,4,Equipment & Tools,Laboratory/Sampling Equipment,,,,,,,,,
American Red Cross of Greater Los Angeles,Central Warehouse,,Default,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
American Red Cross of Greater Los Angeles,Central Warehouse,,Default,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
American Red Cross of Greater Los Angeles,Central Warehouse,,Default,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
American Red Cross of Greater Los Angeles,Central Warehouse,,Default,,4,Equipment & Tools,Air Compressor,,,,,,,,,
American Red Cross of Greater Los Angeles,Central Warehouse,,Default,,4,Equipment & Tools,Air Compressor,,,,,,,,,
American Red Cross of Greater Los Angeles,Central Warehouse,,Default,,4,Medical supplies,Wheelchair,,,,,,,,,
American Red Cross of Greater Los Angeles,Central Warehouse,,Default,,4,Medical supplies,Wheelchair,,,,,,,,,
American Red Cross of Greater Los Angeles,Central Warehouse,,Default,,4,Medical supplies,Wheelchair,,,,,,,,,
Los Angeles County Department of Public Health,Antelope Valley Public Health Center,,Default,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
Los Angeles County Department of Public Health,Central Public Health Center,,Default,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
Los Angeles County Department of Public Health,Curtis-Tucker Public Health Center,,Default,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
Los Angeles County Department of Public Health,Glendale Public Health Center,,Default,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
Los Angeles County Department of Public Health,Hollywood/Wilshire Public Health Center,,Default,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
Los Angeles County Department of Public Health,"Martin Luther King, Jr. Center for Public Health",,Default,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
Los Angeles County Department of Public Health,Monrovia Public Health Center,,Default,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
Los Angeles County Department of Public Health,North Hollywood Public Health Center,,Default,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
Los Angeles County Department of Public Health,Pacoima Public Health Center,,Default,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
Los Angeles County Department of Public Health,Pomona Public Health Center,,Default,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
Los Angeles County Department of Public Health,Ruth-Temple Public Health Center,,Default,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
Los Angeles County Department of Public Health,Simms/Mann Health and Wellness Center,,Default,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
Los Angeles County Department of Public Health,Torrance Public Health Center,,Default,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
Los Angeles County Department of Public Health,Whittier Public Health Center,,Default,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
American Red Cross of Greater Los Angeles,"Chapter Headquarters, West District Office",,Default,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
American Red Cross of Greater Los Angeles,Central East District Office,,Default,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
American Red Cross of Greater Los Angeles,Koreatown/Wilshire District Office,,Default,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
American Red Cross of Greater Los Angeles,Arcadia Chapter,,Default,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
American Red Cross of Greater Los Angeles,East San Fernando Valley District Office,,Default,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
American Red Cross of Greater Los Angeles,West San Fernando Valley District Office,,Default,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
American Red Cross of Greater Los Angeles,Claremont Chapter,,Default,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
