"Name","Organisation","Type","Country","Building","Address","Postcode","L1","L2","L3","Lat","Lon","Phone1","Phone2","Email","Fax","Comments"
"California Southern Baptist Convention","California Southern Baptist Convention Disaster Relief","Headquarters","United States",,"678 East Shaw Ave",93710,"California","Fresno County","Fresno",36.808787,-119.774975,"(559) 229-9533",,,,
"Guadalupe Community Center","Catholic Charities of Los Angeles","Regional","United States",,"21600 Hart St",91303,"California","Los Angeles County","Canoga Park",34.197381,-118.600415,"(818) 340-2050",,,,
"Oasis Community Center","Catholic Charities of Los Angeles","Regional","United States",,"2045 San Gabriel Ave",90810,"California","Los Angeles County","Carson",33.792884,-118.223955,"(562) 480-2166",,,,
"San Juan Diego Center","Catholic Charities of Los Angeles","Regional","United States",,"4171 North Taylor Ave",91731,"California","Los Angeles County","El Monte",34.0771186684,-118.0364227295,"(626) 575-7652",,,,
"Immigration and Refugee Services","Catholic Charities of Los Angeles","Regional","United States",,"4322 San Fernando Road",91204,"California","Los Angeles County","Glendale",34.13146,-118.261418,"(818) 502-2002",,,,
"Glendale Community Center","Catholic Charities of Los Angeles","Regional","United States",,"4322 San Fernando Road",91204,"California","Los Angeles County","Glendale",34.13146,-118.261418,"(818) 409-3080",,,,
"Refugee Resettlement Program","Catholic Charities of Los Angeles","Regional","United States",,"4322 San Fernando Road",91204,"California","Los Angeles County","Glendale",34.13146,-118.261418,"(818) 409-0057",,,,
"Community Outreach Services","Catholic Charities of Los Angeles","Regional","United States",,"16009 Cypress Ave",91706,"California","Los Angeles County","Irwindale",34.096092,-117.933627,"(626) 338-5057",,,,
"St. Margaret's Center","Catholic Charities of Los Angeles","Regional","United States",,"10217 Inglewood Ave",90304,"California","Los Angeles County","Lennox",33.943534,-118.361357,"(310) 672-2208",,,,
"Elizabeth Ann Seton Residence","Catholic Charities of Los Angeles","Regional","United States",,"123 East 14th St.",90813,"California","Los Angeles County","Long Beach",33.783935,-118.192004,"(562) 233-5985",,,,
"Gatekeeper Project","Catholic Charities of Los Angeles","Regional","United States",,"123 East 14th St.",90813,"California","Los Angeles County","Long Beach",33.783935,-118.192004,"(562) 480-2506 ",,,,
"Long Beach Community Services Center","Catholic Charities of Los Angeles","Regional","United States",,"123 East 14th St.",90813,"California","Los Angeles County","Long Beach",33.783935,-118.192004,"(562) 591-1351",,,,
"Project Achieve","Catholic Charities of Los Angeles","Regional","United States",,"123 East 14th St.",90813,"California","Los Angeles County","Long Beach",33.783935,-118.192004,"(562) 218-9864",,,,
"Adeste Child Care Program, Metro Area, Regional Administration","Catholic Charities of Los Angeles","Regional","United States",,"601 E 23rd St",90011,"California","Los Angeles County","Los Angeles",34.024868,-118.261606,"(213) 748-5346",,,,
"Adeste Child Care Program San Gabriel Regional Administration","Catholic Charities of Los Angeles","Regional","United States",,"1307 Warren St",90033,"California","Los Angeles County","Los Angeles",34.05235,-118.220466,"(323) 264-4981",,,,
"Angel's Flight MY CLUB Program","Catholic Charities of Los Angeles","Regional","United States",,"8705 South Vermont Ave",90044,"California","Los Angeles County","Los Angeles",33.958834,-118.291917,"(213) 413-2311","(800) 833-2499",,,
"Art of Parenting","Catholic Charities of Los Angeles","Regional","United States",,"1500 East Bridge St",90033,"California","Los Angeles County","Los Angeles",34.053346,-118.219928,"(323) 263-4651",,,,
