"Organisation","Branch","Acronym","Sector","Type","Country","Website","Twitter","Donation Phone","Comments"
"Los Angeles City Emergency Management Department",,"EMD","Emergency Management","Government","US","http://emergency.lacity.org/index.htm ","ReadyLA",,
"CERT Los Angeles",,"CERT","Emergency Management","National NGO","US","http://www.cert-la.com",,,
"American Red Cross of Greater Los Angeles",,"ARC","Mass Care, Housing and Human Services","Red Cross / Red Crescent","US","http://redcrossla.org","redcrossla",,
"LA Works",,,"Resource Support","National NGO","US","http://www.laworks.com",,,
"Volunteer Center of Los Angeles",,"VCLA","Resource Support","National NGO","US","http://www.vcla.net","http://www.vcla.net/ ",,
"Disaster Healthcare Volunteers",,"DHV","Mass Care, Housing and Human Services","National NGO","US","http://www.lacountydhv.org",,,
"Salvation Army",,,"Mass Care, Housing and Human Services","National NGO","US","http://www1.usw.salvationarmy.org/USW/www_usw_southcal.nsf/ ",,,
"Catholic Charities of Los Angeles",,,"Mass Care, Housing and Human Services","National NGO","US","http://www.catholiccharitiesla.org/",,,
"California Southern Baptist Convention Disaster Relief",,,"Mass Care, Housing and Human Services","National NGO","US","http://www.csbc.com/disasterrelief",,,
"Faithful Central Bible Church",,,"Mass Care, Housing and Human Services","National NGO","US","http://www.faithfulcentral.com/ ",,,
"LA Regional Food Bank",,,"Mass Care, Housing and Human Services","National NGO","US","http://www.lafoodbank.org/ ",,,
"Lutheran Social Services of the Southwest",,,"Mass Care, Housing and Human Services","National NGO","US","http://www.lss-sw.org/",,,
"Operation HOPE, Inc.",,,"Mass Care, Housing and Human Services","National NGO","US","http://www.operationhope.org/ ",,,
"Tzu Chi Foundation",,,"Mass Care, Housing and Human Services","National NGO","US","http://www.us.tzuchi.org/us/en/ ",,,
"United Way ﾖ Los Angeles",,,"Mass Care, Housing and Human Services","National NGO","US","http://www.unitedwayla.org/Pages/default.aspx ",,,
"Los Angeles City Department of Animal Services",,,"Veterinarian Services and Animal Care ","Government","US","http://www.laanimalservices.com/ ",,,
"Los Angeles County Department of Public Health",,,"Health and Medical Services","Government","US","http://publichealth.lacounty.gov/ ",,,
"Los Angeles County Department of Social Services",,,"Mass Care, Housing and Human Services","Government","US","http://www.ladpss.org/ ",,,
"Los Angeles County Emergency Management Office",,,"Emergency Management","Government","US","http://www.lacoa.org/ ",,,
