Name,Height,Width,Image
"marker_red",34,20,"gis_marker.image.marker_red.png"
"activity",34,22,"gis_marker.image.DRMP_Activity.png"
"airport",40,40,"gis_marker.image.Logistics_Airport.png"
"assessment",34,22,"gis_marker.image.DRMP_Assessment.png"
"bridge",40,40,"gis_marker.image.Logistics_Bridge.png"
"earthquake",50,50,"gis_marker.image.Geo_Earth_Quake_Epicenter.png"
"health",40,40,"gis_marker.image.Cluster_Health.png"
"office",34,22,"gis_marker.image.DRMP_Office.png"
"project",34,22,"gis_marker.image.DRMP_Project.png"
"report",34,20,"gis_marker.image.DRMP_Report.png"
"resource",34,20,"gis_marker.image.DRMP_Report.png"
"seaport",40,40,"gis_marker.image.Logistics_Port.png"
"training",34,22,"gis_marker.image.DRMP_Training.png"
