Organisation,Acronym,Type
Austrian Development Agency,ADA,Government
Belgian Government,,Government
Dutch Government,,Government
European Community Humanitarian Office,ECHO,Bilateral
German Ministry of Foreign Affairs,MOFA,Government
Government of Canada,,Government
International Organization for Migration,IOM,UN
Luxembourg Government,,Government
Norwegian Ministry of Foreign Affairs,,Government
Swiss Agency for Development and Cooperation,SDC,Government
United Nations Population Fund,UNFPA,UN
United Nations Refugee Agency,UNHCR,UN
United Nations Children's Fund,UNICEF,UN
World Food Programme,WFP,UN
