UUID,Country,L1,L2,L3,L4,L5,Edit L1
SITE_DEFAULT,,"State / Province","County / District","City / Town / Village","Village / Suburb",,
,AU,"State / Territory","Local Government Area",,,,
,BD,"Division","District","Thana / Upazil","Village / Union / Area",,
,BI,"Province","Commune","Colline","Sous Colline",
,CF,"Prefecture","Sub-Prefecture","Commune",,
,CM,"Region","Division","Sub-Division","District",
,FI,"Regional State Administrative Agency","Region","Sub-region","Municipality",,
,KE,"Province","District","Division","Location",
,MM,"State","District","Township","Village Tract","Village",
,MV,"Atoll/City","Island",,,,
,MY,"State","District","Mukim",,,
,NZ,"Region","Territorial Authority",,,,
,PH,"Region","Province","City / Municipality","Barangay",,
,TD,"Region","Department","Sub-Prefecture","Canton",
,TL,"District","SubDistrict","Suco","Aldeia",,
,US,"State","County","City",,,False
,VN,"Province","District","Commune",,,
