Name,Height,Width,Image
marker_red,34,20,"marker_red.png"
marker_yellow,34,20,"marker_yellow.png"
marker_amber,34,20,"marker_amber.png"
marker_green,34,20,"marker_green.png"
airport,33,44,"ersSymbolsV0202/Infrastructures_S1/Trans_Airport_S1.png"
asset,40,40,"ersSymbolsV0202/Operations_S1/Emergency_Staging_Areas_S1.png"
asset_green,40,40,"ersSymbolsV0202/Operations_S1/Emergency_Staging_Areas_S1_green.png"
asset_red,40,40,"ersSymbolsV0202/Operations_S1/Emergency_Staging_Areas_S1_red.png"
asset_yellow,40,40,"ersSymbolsV0202/Operations_S1/Emergency_Staging_Areas_S1_yellow.png"
bridge,33,44,"ersSymbolsV0202/Infrastructures_S1/Trans_Bridge_S1.png"
church,33,44,"ersSymbolsV0202/Infrastructures_S1/Public_Venue_Church_S1.png"
earthquake,50,50,"ersSymbolsV0202/Natural_Events/Geo_Earth_Quake_Epicenter.png"
elderly,33,44,"ersSymbolsV0202/Infrastructures_S1/Special_Needs_Elder_Care_S1.png"
fire,50,50,"ersSymbolsV0202/Incidents/Fire_Theme.png"
flood,50,50,"ersSymbolsV0202/Natural_Events/Hydro_Meteor_Flood.png"
food,40,40,"ersSymbolsV0202/Operations_S1/Emergency_Food_Distribution_Centers_S1.png"
food_green,40,40,"ersSymbolsV0202/Operations_S1/Emergency_Food_Distribution_Centers_S1_green.png"
food_red,40,40,"ersSymbolsV0202/Operations_S1/Emergency_Food_Distribution_Centers_S1_red.png"
food_yellow,40,40,"ersSymbolsV0202/Operations_S1/Emergency_Food_Distribution_Centers_S1_yellow.png"
hazmat,50,50,"ersSymbolsV0202/Incidents/Hazmat_Toxic_and_Infectious.png"
hazmat_green,50,50,"ersSymbolsV0202/Incidents/Hazmat_Toxic_and_Infectious_green.png"
hazmat_red,50,50,"ersSymbolsV0202/Incidents/Hazmat_Toxic_and_Infectious_red.png"
hazmat_yellow,50,50,"ersSymbolsV0202/Incidents/Hazmat_Toxic_and_Infectious_yellow.png"
helicopter,33,44,"ersSymbolsV0202/Infrastructures_S1/Trans_Helicopter_Landing_Site_S1.png"
hospital,40,40,"ersSymbolsV0202/Operations_S1/E_Med_Hospital_S1.png"
hospital_green,40,40,"ersSymbolsV0202/Operations_S1/E_Med_Hospital_S1_Green.png"
hospital_red,40,40,"ersSymbolsV0202/Operations_S1/E_Med_Hospital_S1_Red.png"
hospital_yellow,40,40,"ersSymbolsV0202/Operations_S1/E_Med_Hospital_S1_Yellow.png"
incident,50,50,"ersSymbolsV0202/Incidents/Incident_Theme.png"
information,32,32,Information.png
mobile_phone,40,40,Mobile_Phone.png
mosque,33,44,"ersSymbolsV0202/Infrastructures_S1/Public_Venue_Mosque_S1.png"
news,48,48,News.png
office,40,40,"ersSymbolsV0202/Operations_S1/Emergency_Operations_Center_S1.png"
office_green,40,40,"ersSymbolsV0202/Operations_S1/Emergency_Operations_Center_S1_green.png"
office_red,40,40,"ersSymbolsV0202/Operations_S1/Emergency_Operations_Center_S1_red.png"
office_yellow,40,40,"ersSymbolsV0202/Operations_S1/Emergency_Operations_Center_S1_yellow.png"
orphanage,33,44,"ersSymbolsV0202/Infrastructures_S1/Special_Needs_Child_Day_Care_S1.png"
phone,10,5,SMS_Message_Phone.png
port,33,44,"ersSymbolsV0202/Infrastructures_S1/Trans_Port_S1.png"
project,40,40,"ersSymbolsV0202/Operations_S1/Emergency_Teams_S1.png"
rail_station,33,44,"ersSymbolsV0202/Infrastructures_S1/Trans_Rail_Station_S1.png"
request,40,40,"ersSymbolsV0202/Operations_S1/Emergency_Operations_Theme_S1.png"
request_red,40,40,"ersSymbolsV0202/Operations_S1/Emergency_Operations_Theme_S1_red.png"
request_yellow,40,40,"ersSymbolsV0202/Operations_S1/Emergency_Operations_Theme_S1_yellow.png"
residence,33,44,"ersSymbolsV0202/Infrastructures_S1/Public_Venues_Theme_S1.png"
residence_green,33,44,"ersSymbolsV0202/Infrastructures_S1/Public_Venues_Theme_S1_green.png"
residence_red,33,44,"ersSymbolsV0202/Infrastructures_S1/Public_Venues_Theme_S1_red.png"
residence_yellow,33,44,"ersSymbolsV0202/Infrastructures_S1/Public_Venues_Theme_S1_yellow.png"
school,33,44,"ersSymbolsV0202/Infrastructures_S1/Edu_Schools_S1.png"
shelter,40,40,"ersSymbolsV0202/Operations_S1/Emergency_Shelters_S1.png"
shelter_green,40,40,"ersSymbolsV0202/Operations_S1/Emergency_Shelters_S1_green.png"
