UUID,Type,Comments
"www.sahanafoundation.org/HOSPITAL-TYPE-HOSPITAL","Hospital",
"www.sahanafoundation.org/HOSPITAL-TYPE-FIELD-HOSPITAL","Field Hospital",
"www.sahanafoundation.org/HOSPITAL-TYPE-SPECIALIZED-HOSPITAL","Specialized Hospital",
"www.sahanafoundation.org/HOSPITAL-TYPE-HEALTH-CENTER","Health center",
"www.sahanafoundation.org/HOSPITAL-TYPE-HEALTH-CENTER-WITH-BEDS","Health center with beds",
"www.sahanafoundation.org/HOSPITAL-TYPE-HEALTH-CENTER-WITHOUT-BEDS","Health center without beds",
"www.sahanafoundation.org/HOSPITAL-TYPE-DISPENSARY","Dispensary",
"www.sahanafoundation.org/HOSPITAL-TYPE-LONG-TERM-CARE","Long-term care",
"www.sahanafoundation.org/HOSPITAL-TYPE-EMERGENCY-TREATMENT-CENTER","Emergency Treatment Centre",
"www.sahanafoundation.org/HOSPITAL-TYPE-TRIAGE","Triage",
"www.sahanafoundation.org/HOSPITAL-TYPE-HOLDING-CENTER","Holding Center",
"www.sahanafoundation.org/HOSPITAL-TYPE-TRANSIT-CENTER","Transit Center",
"www.sahanafoundation.org/HOSPITAL-TYPE-DOCTORS-OFFICE","Doctor's Office",
"www.sahanafoundation.org/HOSPITAL-TYPE-OTHER","Other",
"www.sahanafoundation.org/HOSPITAL-TYPE-UNKNOWN","Unknown",
