"Template","Template Description","Complete Question","Date Question","Time Question","Location Detail","Priority Question","Section","Section Position","Question","Question Type","Question Notes","Question Position","Question Code","Meta Data"
"MCRS","Annex 1","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","MCRS-6-1","Background Information",1,"Type of disasters and time of occurrence and reasons:","Text",,1,"MCRS-2",
"MCRS","Annex 1","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","MCRS-6-1","Descriptions",2,"Affected VDC and population descriptions","Grid",,2,"MCRS-6-","{'QuestionNo': 1, 'col-cnt': '6', 'row-cnt': '3', 'rows': ['Qstn 1', 'Qstn 2', 'Qstn 3'], 'data': [['Numeric', 'String', 'String', 'Numeric', 'Numeric', 'Numeric'], ['Numeric', 'String', 'String', 'Numeric', 'Numeric', 'Numeric'], ['Numeric', 'String', 'String', 'Numeric', 'Numeric', 'Numeric']], 'columns': ['S. No.', 'Name of States/Division/Township/Village Tract', 'Name of affected sites/community', 'Estimated population: Male', 'Estimated population: Female', 'Estimated population: Total']}"
"MCRS","Annex 1","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","MCRS-6-1","Volunteers",3,"Number of volunteers mobilized for FA, PSP as well as rapid assessment","Grid",,20,"MCRS-7-","{'QuestionNo': 1, 'col-cnt': '5', 'row-cnt': '4', 'rows': ['First Aid', 'PSP Support', 'Assessment', 'Others'], 'data': [['Numeric', 'String', 'Numeric', 'Numeric', 'Numeric'], ['Numeric', 'String', 'Numeric', 'Numeric', 'Numeric'], ['Numeric', 'String', 'Numeric', 'Numeric', 'Numeric'], ['Numeric', 'String', 'Numeric', 'Numeric', 'Numeric']], 'columns': ['S. No.', 'Service', 'Volunteers mobilization: Male', 'Volunteers mobilization: Female', 'Volunteers mobilization: Total']}"
"MCRS","Annex 1","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","MCRS-6-1","Damage",4,"Damaged community and individual property","Grid",,40,"MCRS-8-","{'QuestionNo': 1, 'col-cnt': '5', 'row-cnt': '9', 'rows': ['Completely destroyed houses', 'Partially destroyed houses', 'School building', 'Bridges/Roads', 'Community resource centre (VDC, Library, evacuation shelter)', 'Health post', 'Cultivated crops (in Acres)', 'Fertile lands (in Acres)', 'Livelihood scopes'], 'data': [['Numeric', 'String', 'Numeric', 'Numeric', 'String'], ['Numeric', 'String', 'Numeric', 'Numeric', 'String'], ['Numeric', 'String', 'Numeric', 'Numeric', 'String'], ['Numeric', 'String', 'Numeric', 'Numeric', 'String'], ['Numeric', 'String', 'Numeric', 'Numeric', 'String'], ['Numeric', 'String', 'Numeric', 'Numeric', 'String'], ['Numeric', 'String', 'Numeric', 'Numeric', 'String'], ['Numeric', 'String', 'Numeric', 'Numeric', 'String'], ['Numeric', 'String', 'Numeric', 'Numeric', 'String']], 'columns': ['S. No.', 'Descriptions of damages', 'Number', 'Total estimated loss (in amount)', 'Approach to collect information']}"
"MCRS","Annex 1","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","MCRS-6-1","Health",5,"Possible health hazards","Grid",,85,"MCRS-9-","{'QuestionNo': 1, 'col-cnt': '5', 'row-cnt': '6', 'rows': ['Cholera', 'Malaria', 'Diarrhoea', 'Snake Bites', 'Encephalitis', 'More'], 'data': [['Numeric', 'String', 'String', 'String', 'String'], ['Numeric', 'String', 'String', 'String', 'String'], ['Numeric', 'String', 'String', 'String', 'String'], ['Numeric', 'String', 'String', 'String', 'String'], ['Numeric', 'String', 'String', 'String', 'String'], ['Numeric', 'String', 'String', 'String', 'String']], 'columns': ['S. No.', 'Diseases', 'VDC', 'Sites/community', 'Estimated population at that site']}"
"MCRS","Annex 1","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","MCRS-6-1","Access",6,"Access (what means can be used to reach beneficiaries, general security situation, people perceptions on relief management)","Text",,115,"MCRS-10",
"MCRS","Annex 1","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","MCRS-6-1","Recommendations",7,"Recommendations for immediate actions","Text",,116,"MCRS-11",
"MCRS","Annex 1","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","MCRS-6-1","Problems",8,"Constraints/Problems","Text",,117,"MCRS-12",
"MCRS","Annex 1","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","MCRS-6-1","Conclusions",9,"Conclusions","Text",,118,"MCRS-13",
"MCRS","Annex 1","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","MCRS-6-1","Conclusions",9,"Team Leader","String",,119,"MCRS-4",
"MCRS","Annex 1","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","MCRS-6-1","Conclusions",9,"Team Member","String",,120,"MCRS-5",
